Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
17:06:43.653456     ,0.100       ,0.000       ,1.851       ,5.370       ,0.000       ,0.000       ,0.90236       ,4165          ,6.064           ,-16.000       ,0.056               ,0.000               ,-3838.201       ,0.00000           ,0.00000               
17:06:43.673413     ,0.100       ,0.000       ,1.851       ,5.360       ,0.000       ,0.000       ,0.90129       ,4151          ,4.834           ,-16.000       ,0.056               ,0.000               ,-3838.206       ,0.00000           ,0.00000               
17:06:43.693395     ,0.100       ,0.000       ,1.868       ,5.360       ,0.000       ,0.000       ,0.90022       ,4137          ,3.604           ,-16.000       ,0.056               ,0.000               ,-3838.211       ,0.00000           ,0.00000               
17:06:43.713406     ,0.100       ,0.000       ,1.819       ,5.360       ,0.000       ,0.000       ,0.89914       ,4123          ,2.373           ,-15.600       ,0.054               ,0.000               ,-3838.216       ,0.00000           ,0.00000               
17:06:43.733596     ,0.100       ,0.000       ,1.819       ,5.360       ,0.000       ,0.000       ,0.89914       ,4123          ,2.373           ,-15.200       ,0.053               ,0.000               ,-3838.220       ,0.00000           ,0.00000               
17:06:43.753494     ,0.100       ,0.000       ,1.868       ,5.360       ,0.000       ,0.000       ,0.89707       ,4096          ,0.000           ,-15.000       ,0.052               ,0.000               ,-3838.225       ,0.00000           ,0.00000               
17:06:43.773418     ,0.100       ,0.000       ,1.868       ,5.370       ,0.000       ,0.000       ,0.89600       ,4082          ,358.770         ,-15.000       ,0.052               ,0.000               ,-3838.229       ,0.00000           ,0.00000               
17:06:43.793449     ,0.100       ,0.000       ,1.868       ,5.370       ,0.000       ,0.000       ,0.89600       ,4082          ,358.770         ,-15.000       ,0.052               ,0.000               ,-3838.234       ,0.00000           ,0.00000               
17:06:43.813443     ,0.100       ,0.000       ,1.851       ,5.370       ,0.000       ,0.000       ,0.89400       ,4056          ,356.484         ,-15.000       ,0.052               ,0.000               ,-3838.239       ,0.00000           ,0.00000               
17:06:43.833541     ,0.100       ,0.000       ,1.868       ,5.370       ,0.000       ,0.000       ,0.89301       ,4043          ,355.342         ,-14.800       ,0.052               ,0.000               ,-3838.244       ,0.00000           ,0.00000               
17:06:43.853466     ,0.100       ,0.000       ,1.868       ,5.370       ,0.000       ,0.000       ,0.89193       ,4029          ,354.111         ,-14.400       ,0.050               ,0.000               ,-3838.249       ,0.00000           ,0.00000               
17:06:43.873414     ,0.100       ,0.000       ,1.868       ,5.380       ,0.000       ,0.000       ,0.89094       ,4016          ,352.969         ,-14.000       ,0.049               ,0.000               ,-3838.253       ,0.00000           ,0.00000               
17:06:43.893734     ,0.100       ,0.000       ,1.868       ,5.380       ,0.000       ,0.000       ,0.88994       ,4003          ,351.826         ,-14.000       ,0.049               ,0.000               ,-3838.258       ,0.00000           ,0.00000               
17:06:43.914438     ,0.100       ,0.000       ,1.868       ,5.380       ,0.000       ,0.000       ,0.88894       ,3990          ,350.684         ,-14.000       ,0.049               ,0.000               ,-3838.264       ,0.00000           ,0.00000               
17:06:43.935300     ,0.100       ,0.000       ,1.868       ,5.380       ,0.000       ,0.000       ,0.88802       ,3978          ,349.629         ,-14.000       ,0.049               ,0.000               ,-3838.268       ,0.00000           ,0.00000               
17:06:43.956016     ,0.100       ,0.000       ,1.868       ,5.380       ,0.000       ,0.000       ,0.88702       ,3965          ,348.486         ,-14.000       ,0.049               ,0.000               ,-3838.273       ,0.00000           ,0.00000               
17:06:43.975708     ,0.100       ,0.000       ,1.868       ,5.380       ,0.000       ,0.000       ,0.88610       ,3953          ,347.432         ,-14.000       ,0.049               ,0.000               ,-3838.277       ,0.00000           ,0.00000               
17:06:43.996552     ,0.100       ,0.000       ,1.868       ,5.380       ,0.000       ,0.000       ,0.88511       ,3940          ,346.289         ,-14.000       ,0.049               ,0.000               ,-3838.281       ,0.00000           ,0.00000               
17:06:44.017560     ,0.100       ,0.000       ,1.868       ,5.380       ,0.000       ,0.000       ,0.88411       ,3927          ,345.146         ,-13.800       ,0.048               ,0.000               ,-3838.286       ,0.00000           ,0.00000               
17:06:44.038386     ,0.100       ,0.000       ,1.868       ,5.380       ,0.000       ,0.000       ,0.88319       ,3915          ,344.092         ,-13.400       ,0.047               ,0.000               ,-3838.290       ,0.00000           ,0.00000               
17:06:44.059086     ,0.100       ,0.000       ,1.868       ,5.380       ,0.000       ,0.000       ,0.88319       ,3915          ,344.092         ,-13.200       ,0.046               ,0.000               ,-3838.295       ,0.00000           ,0.00000               
17:06:44.079981     ,0.100       ,0.000       ,1.868       ,5.420       ,0.000       ,0.000       ,0.88112       ,3888          ,341.719         ,-13.600       ,0.047               ,0.000               ,-3838.300       ,0.00000           ,0.00000               
17:06:44.100754     ,0.100       ,0.000       ,1.868       ,5.420       ,0.000       ,0.000       ,0.88004       ,3874          ,340.488         ,-14.000       ,0.049               ,0.000               ,-3838.305       ,0.00000           ,0.00000               
17:06:44.121609     ,0.100       ,0.000       ,1.868       ,5.420       ,0.000       ,0.000       ,0.87897       ,3860          ,339.258         ,-14.000       ,0.049               ,0.000               ,-3838.310       ,0.00000           ,0.00000               
