Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
08:44:59.732106     ,0.000       ,0.000       ,0.000       ,23.670      ,23.670      ,0.000       ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:44:59.752103     ,0.000       ,0.000       ,0.000       ,23.670      ,23.670      ,0.000       ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:44:59.772101     ,0.000       ,0.000       ,0.000       ,23.690      ,23.674      ,0.016       ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:44:59.792104     ,0.000       ,0.000       ,0.000       ,23.730      ,23.684      ,0.046       ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:44:59.812105     ,0.000       ,0.000       ,0.000       ,23.720      ,23.693      ,0.027       ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:44:59.832098     ,0.000       ,0.000       ,0.000       ,23.710      ,23.697      ,0.013       ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:44:59.852164     ,0.000       ,0.000       ,0.000       ,23.670      ,23.696      ,-0.026      ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:44:59.872119     ,0.000       ,0.000       ,0.000       ,23.630      ,23.690      ,-0.060      ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:44:59.892131     ,0.000       ,0.000       ,0.000       ,23.630      ,23.683      ,-0.053      ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:44:59.912121     ,0.000       ,0.000       ,0.000       ,23.670      ,23.679      ,-0.009      ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:44:59.932095     ,0.000       ,0.000       ,0.000       ,23.680      ,23.679      ,0.001       ,0.000       ,0.000       ,0.00000       ,40            ,3.516           ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
