Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m)   ,EncoderValue  ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
10:55:03.483694     ,0.879       ,0.880       ,19.471      ,5.730       ,5.730       ,5.889       ,0.121       ,0.006       ,0.006          ,0.040       ,-0.110      ,0.000       ,-0.104      ,880.000     ,0.000       ,0.121       ,6.01000       ,2147483612    ,-0.002          ,356.836       ,0.000               ,-0.000              ,-0.000          ,25002.66797       ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.104        ,-0.108        
10:55:03.497225     ,0.878       ,0.880       ,19.471      ,5.980       ,5.980       ,5.889       ,-0.159      ,-0.012      ,-0.012         ,-0.053      ,-0.113      ,-0.000      ,-0.114      ,880.000     ,0.000       ,-0.159      ,5.73000       ,2147483612    ,-0.002          ,356.836       ,0.000               ,-0.000              ,-0.000          ,25002.66797       ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.114        ,-0.114        
10:55:03.503699     ,0.878       ,0.880       ,19.471      ,5.740       ,5.740       ,5.889       ,0.091       ,0.001       ,0.001          ,0.030       ,-0.111      ,0.000       ,-0.110      ,880.000     ,0.000       ,0.091       ,5.98000       ,2147483612    ,-0.002          ,356.836       ,0.000               ,-0.000              ,-0.000          ,25002.66797       ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.110        ,-0.114        
10:55:03.513694     ,0.878       ,0.880       ,19.471      ,6.000       ,6.000       ,5.889       ,-0.149      ,-0.014      ,-0.014         ,-0.050      ,-0.114      ,-0.000      ,-0.120      ,880.000     ,0.000       ,-0.149      ,5.74000       ,2147483612    ,-0.002          ,356.836       ,0.000               ,-0.000              ,-0.000          ,25002.66797       ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.120        ,-0.109        
10:55:03.523682     ,0.878       ,0.880       ,19.471      ,5.750       ,5.750       ,5.889       ,0.111       ,0.001       ,0.001          ,0.037       ,-0.112      ,0.000       ,-0.111      ,880.000     ,0.000       ,0.111       ,6.00000       ,2147483612    ,-0.002          ,356.836       ,0.000               ,-0.000              ,-0.000          ,25002.66797       ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.111        ,-0.116        
10:55:03.533680     ,0.878       ,0.880       ,19.471      ,6.010       ,6.010       ,5.889       ,-0.139      ,-0.013      ,-0.013         ,-0.046      ,-0.114      ,-0.000      ,-0.121      ,880.000     ,0.000       ,-0.139      ,5.75000       ,2147483612    ,-0.002          ,356.836       ,0.000               ,-0.000              ,-0.000          ,25002.66797       ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.121        ,-0.108        
10:55:03.543718     ,0.878       ,0.880       ,19.471      ,5.770       ,5.770       ,5.889       ,0.121       ,0.003       ,0.003          ,0.040       ,-0.112      ,0.000       ,-0.111      ,880.000     ,0.000       ,0.121       ,6.01000       ,2147483612    ,-0.002          ,356.836       ,0.000               ,-0.000              ,-0.000          ,25002.66797       ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.111        ,-0.121        
10:55:03.553693     ,0.878       ,0.880       ,19.471      ,6.020       ,6.020       ,5.889       ,-0.119      ,-0.010      ,-0.010         ,-0.040      ,-0.114      ,-0.000      ,-0.121      ,880.000     ,0.000       ,-0.119      ,5.77000       ,2147483612    ,-0.002          ,356.836       ,0.000               ,-0.000              ,-0.000          ,25002.66797       ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.121        ,-0.112        
10:55:03.563719     ,0.878       ,0.880       ,19.471      ,5.750       ,5.750       ,5.889       ,0.131       ,0.006       ,0.006          ,0.044       ,-0.112      ,0.000       ,-0.111      ,880.000     ,0.000       ,0.131       ,6.02000       ,2147483613    ,-0.002          ,356.924       ,0.000               ,-0.000              ,-0.000          ,25002.66797       ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.111        ,-0.118        
10:55:03.573684     ,0.878       ,0.880       ,19.471      ,6.000       ,6.000       ,5.889       ,-0.139      ,-0.009      ,-0.009         ,-0.046      ,-0.114      ,-0.000      ,-0.121      ,880.000     ,0.000       ,-0.139      ,5.75000       ,2147483613    ,-0.002          ,356.924       ,0.000               ,-0.000              ,0.000           ,25002.66797       ,-0.00767              ,-0.000        ,0.000         ,0.000         ,-0.121        ,-0.110        
