Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
08:31:58.673513     ,0.439       ,0.000       ,9.384       ,21.020      ,21.020      ,0.000       ,0.000       ,0.000       ,0.00015       ,2147483639    ,359.209         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:31:58.693539     ,0.439       ,0.000       ,9.400       ,21.030      ,21.025      ,0.005       ,0.000       ,0.000       ,0.00015       ,2147483639    ,359.209         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:31:58.713511     ,0.441       ,0.000       ,9.400       ,21.020      ,21.023      ,-0.003      ,0.000       ,0.000       ,0.00015       ,2147483639    ,359.209         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:31:58.733511     ,0.441       ,0.000       ,9.417       ,21.020      ,21.023      ,-0.003      ,0.000       ,0.000       ,0.00015       ,2147483639    ,359.209         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:31:58.753516     ,0.441       ,0.000       ,9.400       ,21.030      ,21.024      ,0.006       ,0.000       ,0.000       ,0.00015       ,2147483639    ,359.209         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:31:58.773516     ,0.441       ,0.000       ,9.400       ,21.030      ,21.025      ,0.005       ,0.000       ,0.000       ,0.00015       ,2147483639    ,359.209         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:31:58.793509     ,0.441       ,0.000       ,9.368       ,21.030      ,21.026      ,0.004       ,0.000       ,0.000       ,0.00015       ,2147483639    ,359.209         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:31:58.813508     ,0.441       ,0.000       ,9.400       ,21.030      ,21.026      ,0.004       ,0.000       ,0.000       ,0.00015       ,2147483639    ,359.209         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:31:58.833522     ,0.441       ,0.000       ,9.400       ,21.030      ,21.027      ,0.003       ,0.000       ,0.000       ,0.00015       ,2147483639    ,359.209         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:31:58.853523     ,0.441       ,0.000       ,9.368       ,21.030      ,21.027      ,0.003       ,0.000       ,0.000       ,0.00015       ,2147483639    ,359.209         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
