Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
15:18:53.892819     ,0.883       ,0.880       ,19.831      ,14.510      ,14.510      ,14.473      ,0.117       ,0.084       ,0.000          ,0.000       ,2.343       ,0.000       ,0.170       ,880.000     ,0.000       ,0.117       ,14.59000      ,2147483505    ,0.000           ,347.432       ,0.000               ,-0.000              ,0.001           ,25758.83398       ,-0.00766              ,-0.000        ,5.220         ,5.220         ,0.170         ,0.137         
15:18:53.907340     ,0.883       ,0.880       ,19.831      ,14.670      ,14.670      ,14.473      ,0.117       ,0.084       ,0.000          ,0.000       ,2.343       ,0.000       ,0.170       ,880.000     ,0.000       ,0.117       ,14.59000      ,2147483507    ,0.000           ,347.607       ,0.000               ,-0.000              ,0.002           ,25758.83594       ,-0.00766              ,-0.001        ,5.220         ,5.220         ,0.170         ,0.173         
15:18:53.921541     ,0.883       ,0.880       ,19.831      ,14.560      ,14.560      ,14.473      ,0.257       ,0.182       ,0.000          ,0.000       ,5.407       ,0.000       ,0.180       ,880.000     ,0.000       ,0.257       ,14.73000      ,2147483508    ,0.000           ,347.695       ,0.400               ,-0.001              ,0.002           ,25758.83594       ,0.00000               ,-0.001        ,5.220         ,5.220         ,0.190         ,0.179         
15:18:53.944889     ,0.883       ,0.880       ,19.831      ,14.430      ,14.430      ,14.473      ,-0.043      ,-0.006      ,0.000          ,0.000       ,-2.687      ,0.000       ,0.170       ,880.000     ,0.000       ,-0.043      ,14.43000      ,2147483509    ,0.000           ,347.783       ,1.000               ,-0.003              ,0.004           ,25758.83594       ,-0.00767              ,-0.001        ,5.220         ,5.220         ,0.170         ,0.179         
15:18:53.960851     ,0.881       ,0.880       ,19.831      ,14.440      ,14.440      ,14.473      ,-0.033      ,-0.009      ,0.000          ,0.000       ,-1.820      ,0.000       ,0.160       ,880.000     ,0.000       ,-0.033      ,14.44000      ,2147483512    ,0.001           ,348.047       ,1.000               ,-0.003              ,0.007           ,25758.83594       ,-0.00768              ,-0.002        ,5.260         ,5.260         ,0.160         ,0.157         
15:18:53.977342     ,0.881       ,0.880       ,19.831      ,14.550      ,14.550      ,14.473      ,0.077       ,0.049       ,0.000          ,0.000       ,1.822       ,0.000       ,0.160       ,880.000     ,0.000       ,0.077       ,14.55000      ,2147483514    ,0.001           ,348.223       ,1.600               ,-0.006              ,0.010           ,25758.83789       ,-0.00766              ,-0.003        ,5.260         ,5.260         ,0.160         ,0.157         
15:18:53.991879     ,0.881       ,0.880       ,19.831      ,14.750      ,14.750      ,14.473      ,0.207       ,0.141       ,0.000          ,0.000       ,4.835       ,0.000       ,0.170       ,880.000     ,0.000       ,0.207       ,14.68000      ,2147483517    ,0.001           ,348.486       ,2.000               ,-0.007              ,0.013           ,25758.83984       ,-0.01535              ,-0.004        ,5.260         ,5.260         ,0.170         ,0.168         
15:18:54.007352     ,0.881       ,0.880       ,19.831      ,14.680      ,14.680      ,14.473      ,0.207       ,0.174       ,0.000          ,0.000       ,2.256       ,0.000       ,0.190       ,880.000     ,0.000       ,0.207       ,14.68000      ,2147483519    ,0.001           ,348.662       ,2.000               ,-0.007              ,0.017           ,25758.83984       ,-0.01534              ,-0.006        ,5.260         ,5.260         ,0.190         ,0.188         
15:18:54.027331     ,0.881       ,0.880       ,19.831      ,14.620      ,14.620      ,14.473      ,0.147       ,0.143       ,0.000          ,0.000       ,0.530       ,0.000       ,0.210       ,880.000     ,0.000       ,0.147       ,14.62000      ,2147483522    ,0.001           ,348.926       ,2.000               ,-0.007              ,0.021           ,25758.84180       ,-0.01534              ,-0.007        ,5.270         ,5.270         ,0.210         ,0.199         
15:18:54.047344     ,0.881       ,0.880       ,19.831      ,14.600      ,14.600      ,14.473      ,0.127       ,0.132       ,0.000          ,0.000       ,-0.129      ,0.000       ,0.230       ,880.000     ,0.000       ,0.127       ,14.60000      ,2147483526    ,0.002           ,349.277       ,2.600               ,-0.009              ,0.024           ,25758.84375       ,-0.01535              ,-0.008        ,5.270         ,5.270         ,0.230         ,0.231         
