Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
15:50:28.050065     ,0.881       ,0.880       ,20.306      ,15.560      ,15.560      ,15.639      ,-0.079      ,-0.063      ,0.000          ,0.000       ,-1.177      ,0.000       ,-0.050      ,880.000     ,0.000       ,-0.079      ,15.56000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.001          ,25133.85352       ,0.00000               ,0.000         ,5.680         ,5.680         ,-0.050        ,-0.047        
15:50:28.055377     ,0.881       ,0.880       ,20.306      ,15.610      ,15.610      ,15.639      ,-0.079      ,-0.063      ,0.000          ,0.000       ,-1.177      ,0.000       ,-0.050      ,880.000     ,0.000       ,-0.079      ,15.56000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.001          ,25133.85352       ,0.00000               ,0.000         ,5.680         ,5.680         ,-0.060        ,-0.047        
15:50:28.065519     ,0.881       ,0.880       ,20.306      ,15.710      ,15.710      ,15.639      ,-0.029      ,-0.035      ,0.000          ,0.000       ,0.311       ,0.000       ,-0.060      ,880.000     ,0.000       ,-0.029      ,15.61000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.002          ,25133.85352       ,0.00000               ,0.001         ,5.690         ,5.690         ,-0.050        ,-0.058        
15:50:28.080043     ,0.881       ,0.880       ,20.306      ,15.740      ,15.740      ,15.639      ,0.101       ,0.061       ,0.000          ,0.000       ,2.958       ,0.000       ,-0.040      ,880.000     ,0.000       ,0.101       ,15.74000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.002          ,25133.85352       ,0.00000               ,0.001         ,5.690         ,5.690         ,-0.040        ,-0.051        
15:50:28.093496     ,0.879       ,0.880       ,20.339      ,15.730      ,15.730      ,15.639      ,0.091       ,0.064       ,0.000          ,0.000       ,1.999       ,0.000       ,-0.030      ,880.000     ,0.000       ,0.091       ,15.73000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.002          ,25133.85352       ,0.00000               ,0.001         ,5.690         ,5.690         ,-0.030        ,-0.033        
15:50:28.100046     ,0.879       ,0.880       ,20.339      ,15.720      ,15.720      ,15.639      ,0.081       ,0.065       ,0.000          ,0.000       ,1.315       ,0.000       ,-0.020      ,880.000     ,0.000       ,0.081       ,15.72000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.002          ,25133.85352       ,0.00000               ,0.001         ,5.690         ,5.690         ,-0.020        ,-0.022        
15:50:28.105431     ,0.879       ,0.880       ,20.339      ,15.630      ,15.630      ,15.639      ,-0.009      ,0.011       ,0.000          ,0.000       ,-1.249      ,0.000       ,-0.010      ,880.000     ,0.000       ,-0.009      ,15.63000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.002          ,25133.85352       ,0.00000               ,0.001         ,5.690         ,5.690         ,-0.010        ,-0.022        
15:50:28.120019     ,0.879       ,0.880       ,20.339      ,15.590      ,15.590      ,15.639      ,-0.049      ,-0.018      ,0.000          ,0.000       ,-1.831      ,0.000       ,-0.020      ,880.000     ,0.000       ,-0.049      ,15.59000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.002          ,25133.85352       ,0.00000               ,0.001         ,5.690         ,5.690         ,-0.020        ,-0.018        
15:50:28.130041     ,0.879       ,0.880       ,20.339      ,15.540      ,15.540      ,15.639      ,-0.099      ,-0.060      ,0.000          ,0.000       ,-2.870      ,0.000       ,-0.030      ,880.000     ,0.000       ,-0.099      ,15.54000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.002          ,25133.85352       ,0.00000               ,0.001         ,5.690         ,5.690         ,-0.030        ,-0.027        
15:50:28.135413     ,0.879       ,0.880       ,20.339      ,15.540      ,15.540      ,15.639      ,-0.099      ,-0.069      ,0.000          ,0.000       ,-2.171      ,0.000       ,-0.040      ,880.000     ,0.000       ,-0.099      ,15.54000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.002          ,25133.85352       ,0.00000               ,0.001         ,5.690         ,5.690         ,-0.040        ,-0.027        
15:50:28.150013     ,0.879       ,0.880       ,20.339      ,15.600      ,15.600      ,15.639      ,-0.039      ,-0.038      ,0.000          ,0.000       ,-0.157      ,0.000       ,-0.050      ,880.000     ,0.000       ,-0.039      ,15.60000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.001          ,25133.85352       ,0.00000               ,0.000         ,5.690         ,5.690         ,-0.050        ,-0.050        
15:50:28.160012     ,0.879       ,0.880       ,20.339      ,15.650      ,15.650      ,15.639      ,0.011       ,-0.007      ,0.000          ,0.000       ,1.055       ,0.000       ,-0.060      ,880.000     ,0.000       ,0.011       ,15.65000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.001          ,25133.85352       ,0.00000               ,0.000         ,5.690         ,5.690         ,-0.060        ,-0.061        
15:50:28.170016     ,0.879       ,0.880       ,20.339      ,15.720      ,15.720      ,15.639      ,0.081       ,0.042       ,0.000          ,0.000       ,2.487       ,0.000       ,-0.050      ,880.000     ,0.000       ,0.081       ,15.72000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.001          ,25133.85352       ,0.00000               ,0.000         ,5.690         ,5.690         ,-0.050        ,-0.050        
15:50:28.180052     ,0.879       ,0.880       ,20.339      ,15.740      ,15.740      ,15.639      ,0.101       ,0.066       ,0.000          ,0.000       ,2.570       ,0.000       ,-0.040      ,880.000     ,0.000       ,0.101       ,15.74000      ,2147483601    ,-0.004          ,355.869       ,0.000               ,-0.000              ,-0.001          ,25133.85352       ,0.00000               ,0.000         ,5.690         ,5.690         ,-0.040        ,-0.042        
