Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,ADRC_KP     ,ADRC_PGain     ,ADRC_U0(Nm) ,ADRC_Z1(kg) ,ADRC_Z2(Nm) ,ADRC_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
09:31:37.770607     ,0.000       ,0.880       ,0.000       ,16.020      ,15.729      ,15.742      ,-0.008      ,500.000     ,1.000          ,3.696       ,-0.007      ,0.437       ,-0.100      ,880.000     ,0.000       ,-0.008      ,15.73390      ,0             ,0.000           ,0.000         ,1.000               ,-0.003              ,-0.000          ,24986.43750       ,0.00000               ,0.000         ,5.550         ,5.550         ,-0.100        ,-0.091        
09:31:37.774997     ,0.000       ,0.880       ,0.000       ,16.030      ,15.740      ,15.742      ,-0.002      ,500.000     ,1.000          ,0.792       ,-0.002      ,0.535       ,-0.105      ,880.000     ,0.000       ,-0.002      ,15.73970      ,0             ,0.000           ,0.000         ,1.000               ,-0.003              ,-0.000          ,24986.43750       ,0.00000               ,0.000         ,5.550         ,5.550         ,-0.105        ,-0.094        
09:31:37.781028     ,0.000       ,0.880       ,0.000       ,16.070      ,15.746      ,15.742      ,0.005       ,500.000     ,1.000          ,-2.636      ,0.005       ,0.655       ,-0.100      ,880.000     ,0.000       ,0.005       ,15.74650      ,0             ,0.000           ,0.000         ,0.600               ,-0.002              ,-0.000          ,24986.43750       ,0.00000               ,0.000         ,5.550         ,5.550         ,-0.100        ,-0.098        
09:31:37.787061     ,0.000       ,0.880       ,0.000       ,16.000      ,15.752      ,15.742      ,0.011       ,500.000     ,1.000          ,-5.381      ,0.011       ,0.791       ,-0.095      ,880.000     ,0.000       ,0.011       ,15.75230      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24986.43750       ,0.00000               ,0.000         ,5.550         ,5.550         ,-0.095        ,-0.102        
09:31:37.788248     ,0.000       ,0.880       ,0.000       ,15.960      ,15.758      ,15.742      ,0.011       ,500.000     ,1.000          ,-5.381      ,0.011       ,0.791       ,-0.095      ,880.000     ,0.000       ,0.011       ,15.75230      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24986.43750       ,0.00000               ,0.000         ,5.550         ,5.550         ,-0.095        ,-0.102        
09:31:37.788310     ,0.000       ,0.880       ,0.000       ,15.960      ,15.758      ,15.742      ,0.016       ,500.000     ,1.000          ,-8.247      ,0.016       ,0.909       ,-0.090      ,880.000     ,0.000       ,0.016       ,15.75790      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24986.43750       ,0.00000               ,0.000         ,5.550         ,5.550         ,-0.090        ,-0.102        
09:31:37.793317     ,0.000       ,0.880       ,0.000       ,16.020      ,15.764      ,15.742      ,0.023       ,500.000     ,1.000          ,-11.589     ,0.023       ,1.042       ,-0.085      ,880.000     ,0.000       ,0.023       ,15.76450      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24986.43750       ,0.00000               ,0.000         ,5.550         ,5.550         ,-0.085        ,-0.094        
09:31:37.799057     ,0.000       ,0.880       ,0.000       ,16.020      ,15.771      ,15.742      ,0.030       ,500.000     ,1.000          ,-15.149     ,0.030       ,1.166       ,-0.080      ,880.000     ,0.000       ,0.030       ,15.77150      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24986.43750       ,0.00000               ,0.000         ,5.550         ,5.550         ,-0.080        ,-0.093        
09:31:37.805058     ,0.000       ,0.880       ,0.000       ,15.930      ,15.777      ,15.742      ,0.036       ,500.000     ,1.000          ,-18.234     ,0.036       ,1.227       ,-0.075      ,880.000     ,0.000       ,0.036       ,15.77750      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24986.43750       ,0.00000               ,0.000         ,5.550         ,5.550         ,-0.075        ,-0.086        
09:31:37.808309     ,0.000       ,0.880       ,0.000       ,15.900      ,15.783      ,15.742      ,0.041       ,500.000     ,1.000          ,-20.932     ,0.042       ,1.244       ,-0.070      ,880.000     ,0.000       ,0.041       ,15.78280      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24986.43555       ,0.00000               ,0.000         ,5.550         ,5.550         ,-0.070        ,-0.080        
