Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
11:30:51.902427     ,0.000       ,0.050       ,0.000       ,20.920      ,20.923      ,20.931      ,-0.008      ,-0.065      ,-0.121      ,0.00000       ,8851          ,57.920          ,0.000         ,-0.000              ,0.000               ,-1723.914       ,0.00000           ,0.00000               
11:30:51.922369     ,0.000       ,0.050       ,0.000       ,20.930      ,20.929      ,20.931      ,-0.002      ,-0.064      ,-0.125      ,0.00000       ,8851          ,57.920          ,0.000         ,-0.000              ,0.000               ,-1723.914       ,0.00000           ,0.00000               
11:30:51.943293     ,0.000       ,0.050       ,0.000       ,20.920      ,20.919      ,20.931      ,-0.013      ,-0.065      ,-0.133      ,0.00000       ,8851          ,57.920          ,0.000         ,-0.000              ,0.000               ,-1723.914       ,0.00000           ,0.00000               
11:30:51.964075     ,0.000       ,0.050       ,0.000       ,20.930      ,20.930      ,20.931      ,-0.001      ,-0.065      ,-0.140      ,0.00000       ,8851          ,57.920          ,0.000         ,-0.000              ,0.000               ,-1723.914       ,0.00000           ,0.00000               
11:30:51.984151     ,0.000       ,0.050       ,0.000       ,20.930      ,20.928      ,20.931      ,-0.003      ,-0.063      ,-0.147      ,0.00000       ,8851          ,57.920          ,0.000         ,-0.000              ,0.000               ,-1723.914       ,0.00000           ,0.00000               
11:30:52.003836     ,0.000       ,0.050       ,0.000       ,20.920      ,20.922      ,20.931      ,-0.009      ,-0.063      ,-0.153      ,0.00000       ,8851          ,57.920          ,0.000         ,-0.000              ,0.000               ,-1723.914       ,0.00000           ,0.00000               
11:30:52.024812     ,0.000       ,0.050       ,0.000       ,20.930      ,20.932      ,20.931      ,0.001       ,-0.062      ,-0.160      ,0.00000       ,8851          ,57.920          ,0.000         ,-0.000              ,0.000               ,-1723.914       ,0.00000           ,0.00000               
11:30:52.044443     ,0.000       ,0.050       ,0.000       ,20.920      ,20.919      ,20.931      ,-0.012      ,-0.062      ,-0.168      ,0.00000       ,8851          ,57.920          ,0.000         ,-0.000              ,0.000               ,-1723.914       ,0.00000           ,0.00000               
11:30:52.064998     ,0.000       ,0.050       ,0.000       ,20.930      ,20.929      ,20.931      ,-0.002      ,-0.061      ,-0.171      ,0.00000       ,8851          ,57.920          ,0.000         ,-0.000              ,0.000               ,-1723.914       ,0.00000           ,0.00000               
11:30:52.085551     ,0.000       ,0.050       ,0.000       ,20.930      ,20.927      ,20.931      ,-0.004      ,-0.060      ,-0.176      ,0.00000       ,8851          ,57.920          ,0.000         ,-0.000              ,0.000               ,-1723.914       ,0.00000           ,0.00000               
