Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
14:37:14.454008     ,0.883       ,0.880       ,19.013      ,16.210      ,16.196      ,16.197      ,-0.001      ,-0.000      ,-0.004      ,-0.000      ,-0.005      ,880.000     ,0.000       ,-0.001      ,16.196      ,0.00015       ,2147483535    ,350.068         ,0.000         ,-0.000              ,0.000               ,24410.500       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.005        ,-0.006        
14:37:14.464082     ,0.883       ,0.880       ,19.013      ,16.200      ,16.197      ,16.197      ,-0.000      ,0.000       ,-0.004      ,0.000       ,-0.004      ,880.000     ,0.000       ,-0.000      ,16.196      ,0.00015       ,2147483535    ,350.068         ,0.000         ,-0.000              ,0.000               ,24410.500       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.004        ,-0.006        
14:37:14.477652     ,0.881       ,0.880       ,19.045      ,16.200      ,16.196      ,16.197      ,-0.000      ,0.000       ,-0.004      ,-0.000      ,-0.004      ,880.000     ,0.000       ,-0.000      ,16.197      ,0.00015       ,2147483535    ,350.068         ,0.000         ,-0.000              ,0.000               ,24410.500       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.004        ,-0.006        
14:37:14.483999     ,0.881       ,0.880       ,19.045      ,16.200      ,16.196      ,16.197      ,-0.001      ,0.000       ,-0.004      ,0.000       ,-0.004      ,880.000     ,0.000       ,-0.001      ,16.196      ,0.00015       ,2147483535    ,350.068         ,0.000         ,-0.000              ,0.000               ,24410.500       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.004        ,-0.006        
14:37:14.493997     ,0.881       ,0.880       ,19.045      ,16.210      ,16.198      ,16.197      ,-0.001      ,0.000       ,-0.004      ,0.000       ,-0.004      ,880.000     ,0.000       ,-0.001      ,16.196      ,0.00015       ,2147483535    ,350.068         ,0.000         ,-0.000              ,0.000               ,24410.500       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.004        ,-0.013        
14:37:14.504001     ,0.881       ,0.880       ,19.045      ,16.200      ,16.196      ,16.197      ,0.001       ,0.000       ,-0.003      ,0.000       ,-0.003      ,880.000     ,0.000       ,0.001       ,16.198      ,0.00015       ,2147483535    ,350.068         ,0.000         ,-0.000              ,0.000               ,24410.500       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.003        ,-0.006        
14:37:14.513996     ,0.881       ,0.880       ,19.045      ,16.200      ,16.196      ,16.197      ,-0.001      ,0.000       ,-0.003      ,-0.000      ,-0.003      ,880.000     ,0.000       ,-0.001      ,16.196      ,0.00015       ,2147483535    ,350.068         ,0.000         ,-0.000              ,0.000               ,24410.500       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.003        ,-0.005        
14:37:14.524022     ,0.881       ,0.880       ,19.045      ,16.210      ,16.196      ,16.197      ,-0.001      ,0.000       ,-0.003      ,0.000       ,-0.003      ,880.000     ,0.000       ,-0.001      ,16.196      ,0.00015       ,2147483535    ,350.068         ,0.000         ,-0.000              ,0.000               ,24410.500       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.003        ,-0.004        
14:37:14.534001     ,0.881       ,0.880       ,19.045      ,16.210      ,16.196      ,16.197      ,-0.000      ,0.000       ,-0.003      ,0.000       ,-0.003      ,880.000     ,0.000       ,-0.000      ,16.196      ,0.00015       ,2147483535    ,350.068         ,0.000         ,-0.000              ,0.000               ,24410.500       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.003        ,-0.004        
14:37:14.544004     ,0.881       ,0.880       ,19.045      ,16.200      ,16.193      ,16.197      ,-0.000      ,0.000       ,-0.003      ,-0.000      ,-0.003      ,880.000     ,0.000       ,-0.000      ,16.196      ,0.00015       ,2147483535    ,350.068         ,0.000         ,-0.000              ,0.000               ,24410.500       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.003        ,-0.006        
