Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,ADRC_KP     ,ADRC_PGain     ,ADRC_U0(Nm) ,ADRC_Z1(kg) ,ADRC_Z2(Nm) ,ADRC_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
20:32:30.020683     ,0.000       ,0.000       ,0.000       ,14.430      ,14.421      ,14.421      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,114.200             ,-0.399              ,0.000           ,24737.67383       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.099         
20:32:30.032888     ,0.000       ,0.000       ,0.000       ,14.440      ,14.422      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,116.400             ,-0.406              ,0.000           ,24737.71094       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.098         
20:32:30.039127     ,0.000       ,0.000       ,0.000       ,14.450      ,14.422      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,117.800             ,-0.411              ,0.000           ,24737.72461       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.099         
20:32:30.040431     ,0.000       ,0.000       ,0.000       ,14.430      ,14.422      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,118.600             ,-0.414              ,0.000           ,24737.72461       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.099         
20:32:30.045147     ,0.000       ,0.000       ,0.000       ,14.430      ,14.422      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,119.800             ,-0.418              ,0.000           ,24737.73828       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.104         
20:32:30.045694     ,0.000       ,0.000       ,0.000       ,14.420      ,14.423      ,14.422      ,0.001       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,120.400             ,-0.420              ,0.000           ,24737.73828       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.104         
20:32:30.051153     ,0.000       ,0.000       ,0.000       ,14.420      ,14.423      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,122.600             ,-0.428              ,0.000           ,24737.76562       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.098         
20:32:30.057118     ,0.000       ,0.000       ,0.000       ,14.420      ,14.423      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,124.600             ,-0.435              ,0.000           ,24737.78320       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.099         
20:32:30.060695     ,0.000       ,0.000       ,0.000       ,14.400      ,14.422      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,125.400             ,-0.438              ,0.000           ,24737.78320       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.099         
20:32:30.067199     ,0.000       ,0.000       ,0.000       ,14.430      ,14.423      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,128.000             ,-0.447              ,0.000           ,24737.80859       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.098         
20:32:30.073186     ,0.000       ,0.000       ,0.000       ,14.430      ,14.423      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,129.600             ,-0.452              ,0.000           ,24737.82227       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.097         
20:32:30.085005     ,0.000       ,0.000       ,0.000       ,14.390      ,14.422      ,14.422      ,-0.000      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,132.800             ,-0.464              ,0.000           ,24737.85352       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.100         
20:32:30.085794     ,0.000       ,0.000       ,0.000       ,14.400      ,14.421      ,14.422      ,-0.001      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,134.400             ,-0.469              ,0.000           ,24737.87109       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.099         
20:32:30.085831     ,0.000       ,0.000       ,0.000       ,14.400      ,14.421      ,14.422      ,-0.001      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,136.800             ,-0.478              ,0.000           ,24737.87109       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.099         
20:32:30.091132     ,0.000       ,0.000       ,0.000       ,14.400      ,14.421      ,14.422      ,-0.001      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,138.400             ,-0.483              ,0.000           ,24737.88281       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.097         
20:32:30.097081     ,0.000       ,0.000       ,0.000       ,14.420      ,14.421      ,14.422      ,-0.001      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,139.600             ,-0.487              ,0.000           ,24737.89844       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.102         
20:32:30.103125     ,0.000       ,0.000       ,0.000       ,14.440      ,14.421      ,14.422      ,-0.001      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,141.600             ,-0.494              ,0.000           ,24737.91406       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.098         
20:32:30.105693     ,0.000       ,0.000       ,0.000       ,14.430      ,14.421      ,14.422      ,-0.001      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,142.400             ,-0.497              ,0.000           ,24737.91406       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.098         
20:32:30.113191     ,0.000       ,0.000       ,0.000       ,14.430      ,14.421      ,14.422      ,-0.001      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,145.800             ,-0.509              ,0.000           ,24737.95117       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.099         
20:32:30.119177     ,0.000       ,0.000       ,0.000       ,14.430      ,14.421      ,14.422      ,-0.001      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,148.000             ,-0.517              ,0.000           ,24737.96289       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.100         
20:32:30.120694     ,0.000       ,0.000       ,0.000       ,14.430      ,14.422      ,14.422      ,-0.000      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,148.800             ,-0.519              ,0.000           ,24737.96289       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.100         
20:32:30.131620     ,0.000       ,0.000       ,0.000       ,14.430      ,14.422      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,153.600             ,-0.536              ,0.000           ,24738.01367       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.095         
20:32:30.131687     ,0.000       ,0.000       ,0.000       ,14.430      ,14.422      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,155.000             ,-0.541              ,0.000           ,24738.01367       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.095         
20:32:30.137205     ,0.000       ,0.000       ,0.000       ,14.430      ,14.423      ,14.422      ,0.001       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,157.000             ,-0.548              ,0.000           ,24738.03125       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.095         
20:32:30.143173     ,0.000       ,0.000       ,0.000       ,14.430      ,14.423      ,14.422      ,0.001       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,158.800             ,-0.554              ,0.000           ,24738.05078       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.097         
20:32:30.145689     ,0.000       ,0.000       ,0.000       ,14.400      ,14.423      ,14.422      ,0.001       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,159.800             ,-0.558              ,0.000           ,24738.05078       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.097         
20:32:30.153312     ,0.000       ,0.000       ,0.000       ,14.400      ,14.423      ,14.422      ,0.001       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,163.400             ,-0.570              ,0.000           ,24738.08203       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.100         ,0.098         
20:32:30.159289     ,0.000       ,0.000       ,0.000       ,14.420      ,14.423      ,14.422      ,0.001       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,165.000             ,-0.576              ,0.000           ,24738.10156       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.100         
20:32:30.160689     ,0.000       ,0.000       ,0.000       ,14.420      ,14.423      ,14.422      ,0.001       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,165.600             ,-0.578              ,0.000           ,24738.10156       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.100         
20:32:30.165817     ,0.000       ,0.000       ,0.000       ,14.420      ,14.423      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,168.400             ,-0.588              ,0.000           ,24738.13086       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.094         
20:32:30.171283     ,0.000       ,0.000       ,0.000       ,14.420      ,14.423      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,169.800             ,-0.593              ,0.000           ,24738.14648       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.099         
20:32:30.183052     ,0.000       ,0.000       ,0.000       ,14.420      ,14.422      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,171.800             ,-0.600              ,0.000           ,24738.18164       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.095         
20:32:30.185835     ,0.000       ,0.000       ,0.000       ,14.430      ,14.422      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,173.600             ,-0.606              ,0.000           ,24738.19922       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.103         
20:32:30.185889     ,0.000       ,0.000       ,0.000       ,14.430      ,14.422      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,174.400             ,-0.609              ,0.000           ,24738.19922       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.103         
20:32:30.193343     ,0.000       ,0.000       ,0.000       ,14.430      ,14.423      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,175.400             ,-0.612              ,0.000           ,24738.21484       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.098         
20:32:30.199300     ,0.000       ,0.000       ,0.000       ,14.440      ,14.423      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,176.400             ,-0.616              ,0.000           ,24738.23242       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.099         
20:32:30.200682     ,0.000       ,0.000       ,0.000       ,14.430      ,14.423      ,14.422      ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,177.000             ,-0.618              ,0.000           ,24738.23242       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.099         
20:32:30.205740     ,0.000       ,0.000       ,0.000       ,14.440      ,14.423      ,14.422      ,0.001       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,178.200             ,-0.622              ,0.000           ,24738.25000       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.099         
20:32:30.211224     ,0.000       ,0.000       ,0.000       ,14.440      ,14.423      ,14.422      ,0.001       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,179.800             ,-0.628              ,0.000           ,24738.28320       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.113         
20:32:30.217219     ,0.000       ,0.000       ,0.000       ,14.420      ,14.423      ,14.422      ,0.001       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,181.000             ,-0.632              ,0.000           ,24738.30078       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.100         ,0.097         
