Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
14:28:56.529145     ,0.879       ,0.880       ,19.487      ,15.380      ,15.380      ,15.634      ,-0.254      ,-0.264      ,0.000          ,0.000       ,0.372       ,0.000       ,-0.120      ,880.000     ,0.000       ,-0.254      ,15.38000      ,2147483543    ,-0.008          ,350.771       ,-3.800              ,0.013               ,-0.035          ,25737.48828       ,0.03832               ,0.012         ,5.600         ,5.600         ,-0.120        ,-0.100        
14:28:56.539143     ,0.879       ,0.880       ,19.487      ,15.440      ,15.440      ,15.634      ,-0.194      ,-0.223      ,0.000          ,0.000       ,1.765       ,0.000       ,-0.130      ,880.000     ,0.000       ,-0.194      ,15.44000      ,2147483537    ,-0.008          ,350.244       ,-4.400              ,0.015               ,-0.042          ,25737.48633       ,0.04612               ,0.014         ,5.600         ,5.600         ,-0.130        ,-0.109        
14:28:56.549138     ,0.879       ,0.880       ,19.487      ,15.510      ,15.510      ,15.634      ,-0.124      ,-0.172      ,0.000          ,0.000       ,3.011       ,0.000       ,-0.140      ,880.000     ,0.000       ,-0.124      ,15.51000      ,2147483531    ,-0.009          ,349.717       ,-5.200              ,0.018               ,-0.049          ,25737.48438       ,0.04597               ,0.016         ,5.600         ,5.600         ,-0.140        ,-0.119        
14:28:56.559137     ,0.879       ,0.880       ,19.487      ,15.480      ,15.480      ,15.634      ,-0.154      ,-0.180      ,0.000          ,0.000       ,1.382       ,0.000       ,-0.150      ,880.000     ,0.000       ,-0.154      ,15.48000      ,2147483523    ,-0.009          ,349.014       ,-6.200              ,0.022               ,-0.057          ,25737.48242       ,0.06143               ,0.019         ,5.600         ,5.600         ,-0.150        ,-0.132        
14:28:56.572637     ,0.881       ,0.880       ,19.504      ,15.480      ,15.480      ,15.634      ,-0.154      ,-0.173      ,0.000          ,0.000       ,1.007       ,0.000       ,-0.160      ,880.000     ,0.000       ,-0.154      ,15.48000      ,2147483515    ,-0.010          ,348.311       ,-7.200              ,0.025               ,-0.066          ,25737.47852       ,0.06130               ,0.022         ,5.600         ,5.600         ,-0.160        ,-0.151        
14:28:56.579139     ,0.881       ,0.880       ,19.504      ,15.500      ,15.500      ,15.634      ,-0.134      ,-0.155      ,0.000          ,0.000       ,1.209       ,0.000       ,-0.170      ,880.000     ,0.000       ,-0.134      ,15.50000      ,2147483505    ,-0.011          ,347.432       ,-7.800              ,0.027               ,-0.076          ,25737.47461       ,0.07659               ,0.025         ,5.600         ,5.600         ,-0.170        ,-0.151        
14:28:56.589141     ,0.881       ,0.880       ,19.504      ,15.570      ,15.570      ,15.634      ,-0.064      ,-0.106      ,0.000          ,0.000       ,2.627       ,0.000       ,-0.180      ,880.000     ,0.000       ,-0.064      ,15.57000      ,2147483495    ,-0.011          ,346.553       ,-8.800              ,0.031               ,-0.088          ,25737.47070       ,0.07688               ,0.029         ,5.590         ,5.590         ,-0.180        ,-0.173        
14:28:56.599149     ,0.881       ,0.880       ,19.504      ,15.650      ,15.650      ,15.634      ,0.016       ,-0.045      ,0.000          ,0.000       ,3.908       ,0.000       ,-0.170      ,880.000     ,0.000       ,0.016       ,15.65000      ,2147483484    ,-0.012          ,345.586       ,-10.000             ,0.035               ,-0.100          ,25737.46680       ,0.08423               ,0.033         ,5.590         ,5.590         ,-0.170        ,-0.169        
14:28:56.609149     ,0.881       ,0.880       ,19.504      ,15.680      ,15.680      ,15.634      ,0.046       ,-0.009      ,0.000          ,0.000       ,3.886       ,0.000       ,-0.160      ,880.000     ,0.000       ,0.046       ,15.68000      ,2147483472    ,-0.013          ,344.531       ,-11.200             ,0.039               ,-0.113          ,25737.46289       ,0.09208               ,0.038         ,5.590         ,5.590         ,-0.160        ,-0.169        
14:28:56.619151     ,0.881       ,0.880       ,19.504      ,15.740      ,15.740      ,15.634      ,0.106       ,0.043       ,0.000          ,0.000       ,4.488       ,0.000       ,-0.150      ,880.000     ,0.000       ,0.106       ,15.74000      ,2147483459    ,-0.014          ,343.389       ,-12.200             ,0.043               ,-0.127          ,25737.45703       ,0.09971               ,0.042         ,5.590         ,5.590         ,-0.150        ,-0.160        
