Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
08:42:50.477729     ,0.000       ,0.880       ,0.000       ,15.370      ,15.370      ,15.371      ,-0.001      ,0.000       ,0.000       ,-0.002      ,-0.000      ,-0.002      ,880.000     ,0.000       ,-0.001      ,15.370      ,0.00008       ,2147483638    ,359.121         ,0.000         ,-0.000              ,-0.000              ,24804.547       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.002        ,-0.005        
08:42:50.493434     ,0.000       ,0.880       ,0.000       ,15.370      ,15.370      ,15.371      ,-0.001      ,0.000       ,0.000       ,-0.002      ,0.000       ,-0.002      ,880.000     ,0.000       ,-0.001      ,15.370      ,0.00008       ,2147483638    ,359.121         ,0.000         ,-0.000              ,-0.000              ,24804.547       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.002        ,-0.001        
08:42:50.497723     ,0.000       ,0.880       ,0.000       ,15.380      ,15.380      ,15.371      ,0.009       ,0.003       ,0.003       ,-0.001      ,0.000       ,0.002       ,880.000     ,0.000       ,0.009       ,15.380      ,0.00008       ,2147483638    ,359.121         ,0.000         ,-0.000              ,-0.000              ,24804.547       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.001        
08:42:50.507726     ,0.000       ,0.880       ,0.000       ,15.380      ,15.380      ,15.371      ,0.009       ,0.003       ,0.003       ,-0.001      ,-0.000      ,0.002       ,880.000     ,0.000       ,0.009       ,15.380      ,0.00008       ,2147483638    ,359.121         ,0.000         ,-0.000              ,-0.000              ,24804.547       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.001        
08:42:50.517723     ,0.000       ,0.880       ,0.000       ,15.370      ,15.370      ,15.371      ,-0.001      ,0.000       ,0.000       ,-0.001      ,-0.000      ,-0.001      ,880.000     ,0.000       ,-0.001      ,15.370      ,0.00008       ,2147483638    ,359.121         ,0.000         ,-0.000              ,-0.000              ,24804.547       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,0.000         
08:42:50.527721     ,0.000       ,0.880       ,0.000       ,15.370      ,15.370      ,15.371      ,-0.001      ,0.000       ,0.000       ,-0.001      ,0.000       ,-0.001      ,880.000     ,0.000       ,-0.001      ,15.370      ,0.00008       ,2147483638    ,359.121         ,0.000         ,-0.000              ,-0.000              ,24804.547       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.003        
08:42:50.537726     ,0.000       ,0.880       ,0.000       ,15.370      ,15.370      ,15.371      ,-0.001      ,0.000       ,0.000       ,-0.001      ,0.000       ,-0.001      ,880.000     ,0.000       ,-0.001      ,15.370      ,0.00008       ,2147483638    ,359.121         ,0.000         ,-0.000              ,-0.000              ,24804.547       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.001        
08:42:50.547736     ,0.000       ,0.880       ,0.000       ,15.380      ,15.380      ,15.371      ,0.009       ,0.003       ,0.003       ,-0.001      ,0.000       ,0.002       ,880.000     ,0.000       ,0.009       ,15.380      ,0.00008       ,2147483638    ,359.121         ,0.000         ,-0.000              ,-0.000              ,24804.547       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.001        
08:42:50.557727     ,0.000       ,0.880       ,0.000       ,15.370      ,15.370      ,15.371      ,-0.001      ,0.000       ,0.000       ,-0.001      ,-0.000      ,-0.001      ,880.000     ,0.000       ,-0.001      ,15.370      ,0.00008       ,2147483638    ,359.121         ,0.000         ,-0.000              ,-0.000              ,24804.547       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,0.000         
08:42:50.567727     ,0.000       ,0.880       ,0.000       ,15.370      ,15.370      ,15.371      ,-0.001      ,0.000       ,0.000       ,-0.001      ,0.000       ,-0.001      ,880.000     ,0.000       ,-0.001      ,15.370      ,0.00008       ,2147483638    ,359.121         ,0.000         ,-0.000              ,-0.000              ,24804.547       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.003        
