Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
10:47:58.489340     ,0.878       ,0.880       ,21.092      ,14.440      ,14.440      ,14.428      ,0.012       ,0.022       ,0.000          ,0.000       ,-0.662      ,0.000       ,0.017       ,880.000     ,0.000       ,0.012       ,14.44000      ,41            ,0.000           ,3.604         ,0.000               ,-0.000              ,-0.000          ,24973.40625       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.017         ,-0.001        
10:47:58.499318     ,0.878       ,0.880       ,21.092      ,14.390      ,14.390      ,14.428      ,-0.038      ,-0.011      ,0.000          ,0.000       ,-1.629      ,0.000       ,0.007       ,880.000     ,0.000       ,-0.038      ,14.39000      ,41            ,0.000           ,3.604         ,0.000               ,-0.000              ,-0.000          ,24973.40625       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.007         ,0.013         
10:47:58.509317     ,0.878       ,0.880       ,21.092      ,14.340      ,14.340      ,14.428      ,-0.088      ,-0.052      ,0.000          ,0.000       ,-2.711      ,0.000       ,-0.003      ,880.000     ,0.000       ,-0.088      ,14.34000      ,41            ,0.000           ,3.604         ,0.000               ,-0.000              ,-0.000          ,24973.40625       ,0.00000               ,0.000         ,5.240         ,5.240         ,-0.003        ,0.006         
10:47:58.522875     ,0.883       ,0.880       ,21.092      ,14.310      ,14.310      ,14.428      ,-0.118      ,-0.080      ,0.000          ,0.000       ,-2.819      ,0.000       ,-0.013      ,880.000     ,0.000       ,-0.118      ,14.31000      ,41            ,0.000           ,3.604         ,0.000               ,-0.000              ,-0.000          ,24973.40625       ,0.00000               ,0.000         ,5.240         ,5.240         ,-0.013        ,-0.013        
10:47:58.529314     ,0.883       ,0.880       ,21.092      ,14.340      ,14.340      ,14.428      ,-0.088      ,-0.070      ,0.000          ,0.000       ,-1.388      ,0.000       ,-0.023      ,880.000     ,0.000       ,-0.088      ,14.34000      ,41            ,0.000           ,3.604         ,0.000               ,-0.000              ,-0.000          ,24973.40625       ,0.00000               ,0.000         ,5.240         ,5.240         ,-0.023        ,-0.013        
10:47:58.539338     ,0.883       ,0.880       ,21.092      ,14.390      ,14.390      ,14.428      ,-0.038      ,-0.043      ,0.000          ,0.000       ,0.153       ,0.000       ,-0.033      ,880.000     ,0.000       ,-0.038      ,14.39000      ,41            ,0.000           ,3.604         ,0.000               ,-0.000              ,-0.000          ,24973.40625       ,0.00000               ,0.000         ,5.240         ,5.240         ,-0.033        ,-0.020        
10:47:58.549761     ,0.883       ,0.880       ,21.092      ,14.490      ,14.490      ,14.428      ,0.062       ,0.022       ,0.000          ,0.000       ,2.576       ,0.000       ,-0.023      ,880.000     ,0.000       ,0.062       ,14.49000      ,41            ,0.000           ,3.604         ,0.000               ,-0.000              ,-0.000          ,24973.40625       ,0.00000               ,0.000         ,5.240         ,5.240         ,-0.023        ,-0.032        
10:47:58.559327     ,0.883       ,0.880       ,21.092      ,14.530      ,14.530      ,14.428      ,0.102       ,0.059       ,0.000          ,0.000       ,3.124       ,0.000       ,-0.013      ,880.000     ,0.000       ,0.102       ,14.53000      ,41            ,0.000           ,3.604         ,0.000               ,-0.000              ,-0.000          ,24973.40625       ,0.00000               ,0.000         ,5.240         ,5.240         ,-0.013        ,-0.032        
10:47:58.569321     ,0.883       ,0.880       ,21.092      ,14.510      ,14.510      ,14.428      ,0.082       ,0.056       ,0.000          ,0.000       ,1.860       ,0.000       ,-0.003      ,880.000     ,0.000       ,0.082       ,14.51000      ,41            ,0.000           ,3.604         ,0.000               ,-0.000              ,-0.000          ,24973.40625       ,0.00000               ,0.000         ,5.220         ,5.220         ,-0.003        ,-0.015        
10:47:58.579330     ,0.883       ,0.880       ,21.092      ,14.490      ,14.490      ,14.428      ,0.062       ,0.050       ,0.000          ,0.000       ,0.963       ,0.000       ,0.007       ,880.000     ,0.000       ,0.062       ,14.49000      ,41            ,0.000           ,3.604         ,0.000               ,-0.000              ,-0.000          ,24973.40625       ,0.00000               ,0.000         ,5.220         ,5.220         ,0.007         ,-0.010        
