Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
08:35:00.360900     ,0.000       ,0.000       ,0.000       ,21.060      ,21.060      ,0.000       ,0.000       ,0.000       ,0.00000       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,-1723.913       ,0.00000           ,0.00000               
08:35:00.380879     ,0.000       ,0.000       ,0.000       ,21.040      ,21.050      ,-0.010      ,0.000       ,0.000       ,0.00000       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,-1723.913       ,0.00000           ,0.00000               
08:35:00.400871     ,0.000       ,0.000       ,0.000       ,21.010      ,21.037      ,-0.027      ,0.000       ,0.000       ,0.00000       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,-1723.913       ,0.00000           ,0.00000               
08:35:00.420874     ,0.000       ,0.000       ,0.000       ,21.010      ,21.030      ,-0.020      ,0.000       ,0.000       ,0.00000       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,-1723.913       ,0.00000           ,0.00000               
08:35:00.440871     ,0.000       ,0.000       ,0.000       ,21.020      ,21.028      ,-0.008      ,0.000       ,0.000       ,0.00000       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,-1723.913       ,0.00000           ,0.00000               
08:35:00.460870     ,0.000       ,0.000       ,0.000       ,21.040      ,21.030      ,0.010       ,0.000       ,0.000       ,0.00000       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,-1723.913       ,0.00000           ,0.00000               
08:35:00.480867     ,0.000       ,0.000       ,0.000       ,21.030      ,21.030      ,0.000       ,0.000       ,0.000       ,0.00000       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,-1723.913       ,0.00000           ,0.00000               
08:35:00.500868     ,0.000       ,0.000       ,0.000       ,21.060      ,21.034      ,0.026       ,0.000       ,0.000       ,0.00000       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,-1723.913       ,0.00000           ,0.00000               
08:35:00.520866     ,0.000       ,0.000       ,0.000       ,21.070      ,21.038      ,0.032       ,0.000       ,0.000       ,0.00000       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,-1723.913       ,0.00000           ,0.00000               
08:35:00.540866     ,0.000       ,0.000       ,0.000       ,21.080      ,21.042      ,0.038       ,0.000       ,0.000       ,0.00000       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,-1723.913       ,0.00000           ,0.00000               
