Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
09:35:38.549948     ,0.881       ,0.880       ,19.930      ,15.710      ,15.710      ,15.725      ,-0.015      ,0.001       ,0.000          ,0.000       ,-1.291      ,0.000       ,-0.030      ,880.000     ,0.000       ,-0.015      ,15.71000      ,2147479813    ,-0.005          ,22.939        ,0.000               ,-0.000              ,-0.001          ,25577.28711       ,0.00000               ,0.000         ,5.690         ,5.690         ,-0.030        ,-0.019        
09:35:38.559936     ,0.881       ,0.880       ,19.930      ,15.780      ,15.780      ,15.725      ,0.055       ,0.042       ,0.000          ,0.000       ,0.775       ,0.000       ,-0.020      ,880.000     ,0.000       ,0.055       ,15.78000      ,2147479813    ,-0.005          ,22.939        ,0.000               ,-0.000              ,-0.001          ,25577.28711       ,0.00000               ,0.000         ,5.690         ,5.690         ,-0.020        ,-0.020        
09:35:38.569940     ,0.881       ,0.880       ,19.930      ,15.850      ,15.850      ,15.725      ,0.125       ,0.092       ,0.000          ,0.000       ,2.561       ,0.000       ,-0.010      ,880.000     ,0.000       ,0.125       ,15.85000      ,2147479813    ,-0.005          ,22.939        ,0.000               ,-0.000              ,-0.001          ,25577.28711       ,0.00000               ,0.000         ,5.690         ,5.690         ,-0.010        ,-0.020        
09:35:38.579946     ,0.881       ,0.880       ,19.930      ,15.920      ,15.920      ,15.725      ,0.195       ,0.144       ,0.000          ,0.000       ,3.715       ,0.000       ,0.000       ,880.000     ,0.000       ,0.195       ,15.92000      ,2147479813    ,-0.005          ,22.939        ,0.000               ,-0.000              ,-0.001          ,25577.28711       ,0.00000               ,0.000         ,5.690         ,5.690         ,0.000         ,-0.019        
09:35:38.589940     ,0.881       ,0.880       ,19.930      ,15.960      ,15.960      ,15.725      ,0.235       ,0.181       ,0.000          ,0.000       ,3.821       ,0.000       ,0.010       ,880.000     ,0.000       ,0.235       ,15.96000      ,2147479813    ,-0.005          ,22.939        ,0.000               ,-0.000              ,-0.001          ,25577.28711       ,0.00000               ,0.000         ,5.690         ,5.690         ,0.010         ,-0.010        
09:35:38.609585     ,0.881       ,0.880       ,19.930      ,16.000      ,16.000      ,15.725      ,0.275       ,0.220       ,0.000          ,0.000       ,3.924       ,0.000       ,0.020       ,880.000     ,0.000       ,0.275       ,16.00000      ,2147479813    ,-0.005          ,22.939        ,0.000               ,-0.000              ,-0.001          ,25577.28711       ,0.00000               ,0.000         ,5.690         ,5.690         ,0.020         ,0.005         
09:35:38.613380     ,0.883       ,0.880       ,19.897      ,16.010      ,16.010      ,15.725      ,0.285       ,0.239       ,0.000          ,0.000       ,3.234       ,0.000       ,0.030       ,880.000     ,0.000       ,0.285       ,16.01000      ,2147479814    ,-0.005          ,23.027        ,0.000               ,-0.000              ,-0.000          ,25577.28711       ,-0.00767              ,0.000         ,5.690         ,5.690         ,0.030         ,0.018         
09:35:38.648199     ,0.883       ,0.880       ,19.897      ,15.770      ,15.770      ,15.725      ,0.185       ,0.186       ,0.000          ,0.000       ,-0.077      ,0.000       ,0.040       ,880.000     ,0.000       ,0.185       ,15.91000      ,2147479817    ,-0.005          ,23.291        ,0.400               ,-0.001              ,0.001           ,25577.28711       ,-0.00767              ,-0.000        ,5.700         ,5.700         ,0.040         ,0.028         
09:35:38.649741     ,0.883       ,0.880       ,19.897      ,15.650      ,15.650      ,15.725      ,0.045       ,0.098       ,0.000          ,0.000       ,-3.501      ,0.000       ,0.050       ,880.000     ,0.000       ,0.045       ,15.77000      ,2147479817    ,-0.005          ,23.291        ,0.800               ,-0.003              ,0.002           ,25577.28711       ,-0.00767              ,-0.001        ,5.700         ,5.700         ,0.050         ,0.028         
09:35:38.669731     ,0.883       ,0.880       ,19.897      ,15.460      ,15.460      ,15.725      ,-0.215      ,-0.080      ,0.000          ,0.000       ,-9.118      ,0.000       ,0.040       ,880.000     ,0.000       ,-0.215      ,15.51000      ,2147479818    ,-0.005          ,23.379        ,1.000               ,-0.003              ,0.003           ,25577.28906       ,-0.00766              ,-0.001        ,5.700         ,5.700         ,0.040         ,0.048         
