Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
16:42:56.792140     ,0.876       ,0.880       ,19.487      ,15.480      ,15.461      ,15.490      ,-0.029      ,-0.010      ,-0.017      ,0.000       ,-0.027      ,880.000     ,0.000       ,-0.029      ,15.461      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00012               ,0.000         ,0.000         ,-0.027        ,-0.027        
16:42:56.802149     ,0.876       ,0.880       ,19.487      ,15.500      ,15.468      ,15.490      ,-0.023      ,-0.009      ,-0.017      ,0.000       ,-0.026      ,880.000     ,0.000       ,-0.023      ,15.468      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00010               ,0.000         ,0.000         ,-0.026        ,-0.027        
16:42:56.812130     ,0.876       ,0.880       ,19.487      ,15.500      ,15.468      ,15.490      ,-0.023      ,-0.009      ,-0.017      ,-0.000      ,-0.026      ,880.000     ,0.000       ,-0.023      ,15.468      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00009               ,0.000         ,0.000         ,-0.026        ,-0.027        
16:42:56.822125     ,0.876       ,0.880       ,19.487      ,15.500      ,15.468      ,15.490      ,-0.023      ,-0.008      ,-0.017      ,0.000       ,-0.026      ,880.000     ,0.000       ,-0.023      ,15.468      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00007               ,0.000         ,0.000         ,-0.026        ,-0.025        
16:42:56.835585     ,0.879       ,0.880       ,19.455      ,15.500      ,15.468      ,15.490      ,-0.023      ,-0.008      ,-0.018      ,0.000       ,-0.026      ,880.000     ,0.000       ,-0.023      ,15.468      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00006               ,0.000         ,0.000         ,-0.026        ,-0.025        
16:42:56.842127     ,0.879       ,0.880       ,19.455      ,15.480      ,15.466      ,15.490      ,-0.025      ,-0.008      ,-0.018      ,-0.000      ,-0.026      ,880.000     ,0.000       ,-0.025      ,15.466      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00005               ,0.000         ,0.000         ,-0.026        ,-0.025        
16:42:56.852191     ,0.879       ,0.880       ,19.455      ,15.480      ,15.466      ,15.490      ,-0.025      ,-0.008      ,-0.018      ,0.000       ,-0.026      ,880.000     ,0.000       ,-0.025      ,15.466      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00005               ,0.000         ,0.000         ,-0.026        ,-0.027        
16:42:56.862178     ,0.879       ,0.880       ,19.455      ,15.480      ,15.466      ,15.490      ,-0.025      ,-0.008      ,-0.018      ,0.000       ,-0.026      ,880.000     ,0.000       ,-0.025      ,15.466      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00004               ,0.000         ,0.000         ,-0.026        ,-0.025        
16:42:56.872147     ,0.879       ,0.880       ,19.455      ,15.480      ,15.468      ,15.490      ,-0.022      ,-0.008      ,-0.018      ,0.000       ,-0.026      ,880.000     ,0.000       ,-0.022      ,15.468      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00003               ,0.000         ,0.000         ,-0.026        ,-0.025        
16:42:56.882134     ,0.879       ,0.880       ,19.455      ,15.480      ,15.468      ,15.490      ,-0.022      ,-0.008      ,-0.018      ,-0.000      ,-0.026      ,880.000     ,0.000       ,-0.022      ,15.468      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00003               ,0.000         ,0.000         ,-0.026        ,-0.027        
16:42:56.892135     ,0.879       ,0.880       ,19.455      ,15.500      ,15.475      ,15.490      ,-0.016      ,-0.007      ,-0.018      ,0.000       ,-0.025      ,880.000     ,0.000       ,-0.016      ,15.475      ,0.00184       ,2147483600    ,355.781         ,0.000         ,-0.000              ,-0.000              ,24476.887       ,0.00000           ,0.00002               ,0.000         ,0.000         ,-0.025        ,-0.025        
