Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
08:36:46.695510     ,0.000       ,0.000       ,0.000       ,21.130      ,21.130      ,0.000       ,0.000       ,0.000       ,0.00015       ,2147478482    ,265.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:36:46.715505     ,0.000       ,0.000       ,0.000       ,21.140      ,21.132      ,0.007       ,0.000       ,0.000       ,0.00015       ,2147478482    ,265.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:36:46.735503     ,0.000       ,0.000       ,0.000       ,21.140      ,21.135      ,0.005       ,0.000       ,0.000       ,0.00015       ,2147478482    ,265.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:36:46.755516     ,0.000       ,0.000       ,0.000       ,21.150      ,21.137      ,0.013       ,0.000       ,0.000       ,0.00015       ,2147478482    ,265.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:36:46.775501     ,0.000       ,0.000       ,0.000       ,21.150      ,21.140      ,0.010       ,0.000       ,0.000       ,0.00015       ,2147478482    ,265.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:36:46.795506     ,0.000       ,0.000       ,0.000       ,21.140      ,21.141      ,-0.001      ,0.000       ,0.000       ,0.00015       ,2147478482    ,265.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:36:46.815498     ,0.000       ,0.000       ,0.000       ,21.150      ,21.141      ,0.009       ,0.000       ,0.000       ,0.00015       ,2147478482    ,265.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:36:46.835528     ,0.000       ,0.000       ,0.000       ,21.180      ,21.144      ,0.036       ,0.000       ,0.000       ,0.00015       ,2147478482    ,265.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:36:46.855519     ,0.000       ,0.000       ,0.000       ,21.140      ,21.146      ,-0.006      ,0.000       ,0.000       ,0.00015       ,2147478482    ,265.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
08:36:46.875518     ,0.000       ,0.000       ,0.000       ,21.150      ,21.146      ,0.004       ,0.000       ,0.000       ,0.00015       ,2147478482    ,265.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
