Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastCurrent(mA),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
17:58:18.259619     ,0.881       ,0.880       ,19.176      ,16.210      ,16.203      ,16.213      ,-0.011      ,-0.007      ,-0.002      ,0.000       ,-0.009      ,880.000     ,0.000       ,-0.011      ,16.202      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.009        ,-0.001        
17:58:18.269666     ,0.881       ,0.880       ,19.176      ,16.210      ,16.203      ,16.213      ,-0.010      ,-0.007      ,-0.002      ,0.000       ,-0.009      ,880.000     ,0.000       ,-0.010      ,16.203      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.009        ,0.001         
17:58:18.279526     ,0.881       ,0.880       ,19.176      ,16.220      ,16.204      ,16.213      ,-0.010      ,-0.007      ,-0.002      ,-0.000      ,-0.009      ,880.000     ,0.000       ,-0.010      ,16.203      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.009        ,0.001         
17:58:18.289661     ,0.881       ,0.880       ,19.176      ,16.220      ,16.205      ,16.213      ,-0.009      ,-0.006      ,-0.002      ,0.000       ,-0.008      ,880.000     ,0.000       ,-0.009      ,16.204      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.008        ,0.001         
17:58:18.308917     ,0.879       ,0.880       ,19.176      ,16.220      ,16.205      ,16.213      ,-0.008      ,-0.005      ,-0.002      ,0.000       ,-0.007      ,880.000     ,0.000       ,-0.008      ,16.205      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.007        ,0.003         
17:58:18.309612     ,0.879       ,0.880       ,19.176      ,16.210      ,16.205      ,16.213      ,-0.008      ,-0.005      ,-0.002      ,0.000       ,-0.007      ,880.000     ,0.000       ,-0.008      ,16.205      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.007        ,0.003         
17:58:18.324358     ,0.879       ,0.880       ,19.176      ,16.210      ,16.206      ,16.213      ,-0.008      ,-0.005      ,-0.002      ,-0.000      ,-0.008      ,880.000     ,0.000       ,-0.008      ,16.205      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.007        ,0.003         
17:58:18.329567     ,0.879       ,0.880       ,19.176      ,16.220      ,16.207      ,16.213      ,-0.008      ,-0.005      ,-0.002      ,0.000       ,-0.007      ,880.000     ,0.000       ,-0.008      ,16.206      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.007        ,0.003         
17:58:18.343161     ,0.879       ,0.880       ,19.176      ,16.220      ,16.208      ,16.213      ,-0.006      ,-0.004      ,-0.002      ,0.000       ,-0.006      ,880.000     ,0.000       ,-0.006      ,16.207      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.006        ,0.001         
17:58:18.349581     ,0.879       ,0.880       ,19.176      ,16.220      ,16.208      ,16.213      ,-0.005      ,-0.004      ,-0.002      ,-0.000      ,-0.006      ,880.000     ,0.000       ,-0.005      ,16.208      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.006        ,0.001         
17:58:18.363732     ,0.879       ,0.880       ,19.176      ,16.210      ,16.208      ,16.213      ,-0.005      ,-0.003      ,-0.002      ,-0.000      ,-0.005      ,880.000     ,0.000       ,-0.005      ,16.208      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.005        ,-0.000        
17:58:18.369533     ,0.879       ,0.880       ,19.176      ,16.220      ,16.210      ,16.213      ,-0.005      ,-0.003      ,-0.002      ,-0.000      ,-0.005      ,880.000     ,0.000       ,-0.005      ,16.208      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.005        ,-0.000        
17:58:18.382261     ,0.879       ,0.880       ,19.176      ,16.210      ,16.207      ,16.213      ,-0.003      ,-0.002      ,-0.002      ,0.000       ,-0.004      ,880.000     ,0.000       ,-0.003      ,16.210      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,23925.562       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.004        ,0.001         
