Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
16:32:26.105498     ,0.879       ,0.880       ,18.718      ,15.440      ,15.439      ,15.469      ,-0.030      ,-0.008      ,0.015       ,-0.000      ,0.007       ,880.000     ,0.000       ,-0.030      ,15.439      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.007         ,0.006         
16:32:26.115542     ,0.879       ,0.880       ,18.718      ,15.450      ,15.439      ,15.469      ,-0.030      ,-0.008      ,0.015       ,0.000       ,0.006       ,880.000     ,0.000       ,-0.030      ,15.439      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.006         ,0.005         
16:32:26.125491     ,0.879       ,0.880       ,18.718      ,15.450      ,15.438      ,15.469      ,-0.031      ,-0.009      ,0.015       ,-0.000      ,0.006       ,880.000     ,0.000       ,-0.031      ,15.438      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.006         ,0.005         
16:32:26.135476     ,0.879       ,0.880       ,18.718      ,15.460      ,15.440      ,15.469      ,-0.030      ,-0.009      ,0.014       ,0.000       ,0.005       ,880.000     ,0.000       ,-0.030      ,15.440      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.005         ,0.008         
16:32:26.145542     ,0.879       ,0.880       ,18.718      ,15.450      ,15.440      ,15.469      ,-0.029      ,-0.009      ,0.014       ,-0.000      ,0.005       ,880.000     ,0.000       ,-0.029      ,15.440      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.005         ,0.006         
16:32:26.158994     ,0.878       ,0.880       ,18.734      ,15.450      ,15.442      ,15.469      ,-0.028      ,-0.009      ,0.014       ,0.000       ,0.005       ,880.000     ,0.000       ,-0.028      ,15.442      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.005         ,0.005         
16:32:26.165477     ,0.878       ,0.880       ,18.734      ,15.450      ,15.442      ,15.469      ,-0.028      ,-0.009      ,0.014       ,-0.000      ,0.005       ,880.000     ,0.000       ,-0.028      ,15.442      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.005         ,0.005         
16:32:26.175503     ,0.878       ,0.880       ,18.734      ,15.440      ,15.441      ,15.469      ,-0.028      ,-0.009      ,0.014       ,-0.000      ,0.005       ,880.000     ,0.000       ,-0.028      ,15.441      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.005         ,0.004         
16:32:26.185499     ,0.878       ,0.880       ,18.734      ,15.450      ,15.441      ,15.469      ,-0.029      ,-0.009      ,0.013       ,0.000       ,0.004       ,880.000     ,0.000       ,-0.029      ,15.441      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.004         ,0.003         
16:32:26.195497     ,0.878       ,0.880       ,18.734      ,15.450      ,15.442      ,15.469      ,-0.027      ,-0.009      ,0.013       ,0.000       ,0.004       ,880.000     ,0.000       ,-0.027      ,15.442      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.004         ,0.004         
16:32:26.205516     ,0.878       ,0.880       ,18.734      ,15.430      ,15.439      ,15.469      ,-0.031      ,-0.009      ,0.013       ,-0.000      ,0.004       ,880.000     ,0.000       ,-0.031      ,15.439      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.004         ,0.000         
16:32:26.215497     ,0.878       ,0.880       ,18.734      ,15.440      ,15.437      ,15.469      ,-0.032      ,-0.009      ,0.013       ,0.000       ,0.003       ,880.000     ,0.000       ,-0.032      ,15.437      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.003         ,0.000         
16:32:26.225495     ,0.878       ,0.880       ,18.734      ,15.430      ,15.435      ,15.469      ,-0.034      ,-0.010      ,0.013       ,-0.000      ,0.003       ,880.000     ,0.000       ,-0.034      ,15.435      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.003         ,0.004         
16:32:26.235514     ,0.878       ,0.880       ,18.734      ,15.430      ,15.430      ,15.469      ,-0.039      ,-0.011      ,0.012       ,-0.000      ,0.002       ,880.000     ,0.000       ,-0.039      ,15.430      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.002         ,0.005         
16:32:26.245506     ,0.878       ,0.880       ,18.734      ,15.420      ,15.425      ,15.469      ,-0.044      ,-0.012      ,0.012       ,-0.000      ,0.000       ,880.000     ,0.000       ,-0.044      ,15.425      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,0.000         ,0.005         
16:32:26.259041     ,0.876       ,0.880       ,18.734      ,15.420      ,15.423      ,15.469      ,-0.046      ,-0.013      ,0.012       ,0.000       ,-0.001      ,880.000     ,0.000       ,-0.046      ,15.423      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.001        ,-0.003        
16:32:26.265483     ,0.876       ,0.880       ,18.734      ,15.420      ,15.419      ,15.469      ,-0.050      ,-0.014      ,0.011       ,-0.000      ,-0.002      ,880.000     ,0.000       ,-0.050      ,15.419      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.002        ,-0.003        
16:32:26.275512     ,0.876       ,0.880       ,18.734      ,15.430      ,15.419      ,15.469      ,-0.051      ,-0.014      ,0.011       ,0.000       ,-0.003      ,880.000     ,0.000       ,-0.051      ,15.419      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.003        ,0.000         
16:32:26.285477     ,0.876       ,0.880       ,18.734      ,15.440      ,15.419      ,15.469      ,-0.050      ,-0.015      ,0.011       ,0.000       ,-0.004      ,880.000     ,0.000       ,-0.050      ,15.419      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.004        ,0.000         
16:32:26.295484     ,0.876       ,0.880       ,18.734      ,15.440      ,15.420      ,15.469      ,-0.049      ,-0.015      ,0.010       ,0.000       ,-0.005      ,880.000     ,0.000       ,-0.049      ,15.420      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.005        ,-0.005        
16:32:26.305536     ,0.876       ,0.880       ,18.734      ,15.440      ,15.422      ,15.469      ,-0.047      ,-0.015      ,0.010       ,0.000       ,-0.005      ,880.000     ,0.000       ,-0.047      ,15.422      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.005        ,0.004         
16:32:26.315486     ,0.876       ,0.880       ,18.734      ,15.440      ,15.425      ,15.469      ,-0.045      ,-0.015      ,0.010       ,0.000       ,-0.005      ,880.000     ,0.000       ,-0.045      ,15.425      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.005        ,0.004         
16:32:26.325567     ,0.876       ,0.880       ,18.734      ,15.440      ,15.427      ,15.469      ,-0.042      ,-0.014      ,0.009       ,-0.000      ,-0.005      ,880.000     ,0.000       ,-0.042      ,15.427      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.005        ,-0.006        
16:32:26.335479     ,0.876       ,0.880       ,18.734      ,15.440      ,15.428      ,15.469      ,-0.041      ,-0.014      ,0.009       ,-0.000      ,-0.005      ,880.000     ,0.000       ,-0.041      ,15.428      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.005        ,-0.006        
16:32:26.345504     ,0.876       ,0.880       ,18.734      ,15.430      ,15.429      ,15.469      ,-0.040      ,-0.014      ,0.009       ,-0.000      ,-0.005      ,880.000     ,0.000       ,-0.040      ,15.429      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.005        ,-0.008        
16:32:26.359058     ,0.000       ,0.880       ,0.000       ,15.420      ,15.428      ,15.469      ,-0.041      ,-0.013      ,0.009       ,-0.000      ,-0.005      ,880.000     ,0.000       ,-0.041      ,15.428      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.005        ,0.015         
16:32:26.365511     ,0.876       ,0.880       ,18.734      ,15.420      ,15.427      ,15.469      ,-0.042      ,-0.013      ,0.008       ,-0.000      ,-0.005      ,880.000     ,0.000       ,-0.042      ,15.427      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.005        ,0.015         
16:32:26.375500     ,0.876       ,0.880       ,18.734      ,15.400      ,15.420      ,15.469      ,-0.049      ,-0.014      ,0.008       ,-0.000      ,-0.006      ,880.000     ,0.000       ,-0.049      ,15.420      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.006        ,-0.005        
16:32:26.385479     ,0.876       ,0.880       ,18.734      ,15.400      ,15.414      ,15.469      ,-0.056      ,-0.015      ,0.008       ,-0.000      ,-0.007      ,880.000     ,0.000       ,-0.056      ,15.414      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.007        ,-0.005        
16:32:26.395522     ,0.876       ,0.880       ,18.734      ,15.400      ,15.408      ,15.469      ,-0.062      ,-0.016      ,0.007       ,0.000       ,-0.009      ,880.000     ,0.000       ,-0.062      ,15.408      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.009        ,-0.006        
16:32:26.405508     ,0.876       ,0.880       ,18.734      ,15.420      ,15.406      ,15.469      ,-0.064      ,-0.018      ,0.007       ,0.000       ,-0.011      ,880.000     ,0.000       ,-0.064      ,15.406      ,0.00015       ,3             ,0.264           ,0.000         ,-0.000              ,0.000               ,24464.479       ,0.00000           ,-0.00000              ,0.000         ,0.000         ,-0.011        ,-0.006        
