Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
10:54:45.306397     ,0.881       ,0.880       ,20.503      ,16.360      ,16.363      ,16.282      ,0.078       ,0.039       ,1.340       ,-0.001      ,1.379       ,880.000     ,0.078       ,16.360      ,0.01825       ,238           ,20.918          ,0.000         ,-0.000              ,-0.002              ,23922.039       ,0.00000           ,0.00072               ,0.000         ,0.000         ,1.270         ,-0.142        
10:54:45.314814     ,0.876       ,0.880       ,20.437      ,16.360      ,16.365      ,16.282      ,0.081       ,0.041       ,1.340       ,-0.000      ,1.381       ,880.000     ,0.081       ,16.363      ,0.01825       ,238           ,20.918          ,0.000         ,-0.000              ,-0.002              ,23922.039       ,0.00000           ,0.00061               ,0.000         ,0.000         ,1.270         ,-0.142        
10:54:45.328062     ,0.879       ,0.880       ,20.404      ,16.390      ,16.371      ,16.282      ,0.083       ,0.042       ,1.341       ,-0.000      ,1.382       ,880.000     ,0.083       ,16.365      ,0.01825       ,238           ,20.918          ,0.000         ,-0.000              ,-0.002              ,23922.039       ,0.00000           ,0.00052               ,0.000         ,0.000         ,1.270         ,-0.144        
10:54:45.334815     ,0.879       ,0.880       ,20.470      ,16.390      ,16.371      ,16.282      ,0.089       ,0.045       ,1.341       ,0.000       ,1.385       ,880.000     ,0.089       ,16.371      ,0.01825       ,238           ,20.918          ,0.000         ,-0.000              ,-0.001              ,23922.039       ,0.00000           ,0.00044               ,0.000         ,0.000         ,1.270         ,-0.144        
10:54:45.345583     ,0.879       ,0.880       ,20.437      ,16.390      ,16.370      ,16.282      ,0.089       ,0.044       ,1.341       ,-0.000      ,1.385       ,880.000     ,0.089       ,16.371      ,0.01825       ,238           ,20.918          ,0.000         ,-0.000              ,-0.001              ,23922.039       ,0.00000           ,0.00037               ,0.000         ,0.000         ,1.270         ,-0.144        
10:54:45.354823     ,0.881       ,0.880       ,20.470      ,16.400      ,16.373      ,16.282      ,0.088       ,0.044       ,1.341       ,-0.000      ,1.385       ,880.000     ,0.088       ,16.370      ,0.01825       ,238           ,20.918          ,0.000         ,-0.000              ,-0.001              ,23922.039       ,0.00000           ,0.00032               ,0.000         ,0.000         ,1.270         ,-0.144        
10:54:45.365296     ,0.878       ,0.880       ,20.486      ,16.430      ,16.381      ,16.282      ,0.091       ,0.045       ,1.341       ,0.000       ,1.386       ,880.000     ,0.091       ,16.373      ,0.01825       ,238           ,20.918          ,0.000         ,-0.000              ,-0.001              ,23922.039       ,0.00000           ,0.00027               ,0.000         ,0.000         ,1.270         ,-0.145        
10:54:45.374815     ,0.881       ,0.880       ,20.486      ,16.420      ,16.384      ,16.282      ,0.099       ,0.050       ,1.341       ,0.000       ,1.391       ,880.000     ,0.099       ,16.381      ,0.01825       ,238           ,20.918          ,0.000         ,-0.000              ,-0.001              ,23922.039       ,0.00000           ,0.00023               ,0.000         ,0.000         ,1.270         ,-0.145        
10:54:45.384813     ,0.881       ,0.880       ,20.486      ,16.420      ,16.391      ,16.282      ,0.102       ,0.051       ,1.341       ,-0.000      ,1.392       ,880.000     ,0.102       ,16.384      ,0.01825       ,238           ,20.918          ,0.000         ,-0.000              ,-0.001              ,23922.039       ,0.00000           ,0.00023               ,0.000         ,0.000         ,1.270         ,-0.144        
10:54:45.394812     ,0.879       ,0.880       ,20.470      ,16.400      ,16.397      ,16.282      ,0.115       ,0.058       ,1.341       ,0.000       ,1.399       ,880.000     ,0.115       ,16.397      ,0.01825       ,238           ,20.918          ,0.000         ,-0.000              ,-0.001              ,23922.039       ,0.00000           ,0.00020               ,0.000         ,0.000         ,1.270         ,-0.144        
