Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m)   ,EncoderValue  ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
09:41:43.399522     ,0.881       ,0.880       ,19.831      ,14.150      ,14.150      ,14.226      ,-0.076      ,-0.073      ,0.000          ,0.000       ,-1.086      ,0.000       ,-0.017      ,880.000     ,0.000       ,-0.076      ,14.15000      ,2147483574    ,0.000           ,353.496       ,0.000               ,-0.000              ,-0.000          ,25726.18555       ,0.00000               ,0.000         ,5.220         ,5.220         ,-0.017        ,-0.011        
09:41:43.430201     ,0.881       ,0.880       ,19.831      ,14.650      ,14.650      ,14.226      ,-0.076      ,-0.072      ,0.000          ,0.000       ,-1.503      ,0.000       ,-0.027      ,880.000     ,0.000       ,-0.076      ,14.15000      ,2147483574    ,0.000           ,353.496       ,0.000               ,-0.000              ,-0.000          ,25726.18555       ,0.00000               ,0.000         ,5.240         ,5.240         ,-0.027        ,-0.015        
09:41:43.441835     ,0.881       ,0.880       ,19.831      ,14.650      ,14.650      ,14.226      ,0.424       ,0.408       ,0.000          ,0.000       ,7.667       ,0.000       ,-0.017      ,880.000     ,0.000       ,0.424       ,14.65000      ,2147483574    ,0.000           ,353.496       ,0.000               ,-0.000              ,-0.000          ,25726.18555       ,0.00000               ,0.000         ,5.220         ,5.220         ,-0.017        ,-0.028        
09:41:43.466656     ,0.881       ,0.880       ,19.831      ,14.510      ,14.510      ,14.226      ,0.284       ,0.290       ,0.000          ,0.000       ,4.963       ,0.000       ,0.003       ,880.000     ,0.000       ,0.284       ,14.51000      ,2147483574    ,0.000           ,353.496       ,0.000               ,-0.000              ,-0.000          ,25726.18555       ,0.00000               ,0.000         ,5.220         ,5.220         ,0.003         ,-0.006        
09:41:43.488209     ,0.881       ,0.880       ,19.831      ,14.140      ,14.140      ,14.226      ,0.284       ,0.290       ,0.000          ,0.000       ,4.963       ,0.000       ,0.003       ,880.000     ,0.000       ,0.284       ,14.51000      ,2147483574    ,0.000           ,353.496       ,0.000               ,-0.000              ,-0.000          ,25726.18555       ,0.00000               ,0.000         ,5.220         ,5.220         ,-0.007        ,0.003         
09:41:43.496591     ,0.881       ,0.880       ,19.831      ,14.120      ,14.120      ,14.226      ,-0.106      ,-0.102      ,0.000          ,0.000       ,-2.574      ,0.000       ,-0.017      ,880.000     ,0.000       ,-0.106      ,14.12000      ,2147483574    ,0.000           ,353.496       ,0.000               ,-0.000              ,-0.000          ,25726.18555       ,0.00000               ,0.000         ,5.260         ,5.260         ,-0.017        ,-0.014        
09:41:43.526819     ,0.881       ,0.880       ,19.831      ,14.530      ,14.530      ,14.226      ,0.304       ,0.289       ,0.000          ,0.000       ,5.415       ,0.000       ,0.003       ,880.000     ,0.000       ,0.304       ,14.53000      ,2147483574    ,0.000           ,353.496       ,0.000               ,-0.000              ,-0.000          ,25726.18555       ,0.00000               ,0.000         ,5.260         ,5.260         ,0.003         ,-0.001        
09:41:43.556635     ,0.881       ,0.880       ,19.831      ,14.840      ,14.840      ,14.226      ,0.604       ,0.589       ,0.000          ,0.000       ,10.000      ,0.000       ,0.013       ,880.000     ,0.000       ,0.604       ,14.83000      ,2147483574    ,0.000           ,353.496       ,0.000               ,-0.000              ,-0.000          ,25726.18555       ,0.00000               ,0.000         ,5.260         ,5.260         ,0.013         ,0.004         
09:41:43.580167     ,0.876       ,0.880       ,19.815      ,14.750      ,14.750      ,14.226      ,0.514       ,0.523       ,0.000          ,0.000       ,8.034       ,0.000       ,0.023       ,880.000     ,0.000       ,0.514       ,14.74000      ,2147483575    ,0.000           ,353.584       ,0.000               ,-0.000              ,0.000           ,25726.18555       ,-0.00769              ,-0.000        ,5.270         ,5.270         ,0.023         ,0.013         
09:41:43.599100     ,0.876       ,0.880       ,19.815      ,14.780      ,14.780      ,14.226      ,0.554       ,0.555       ,0.000          ,0.000       ,8.403       ,0.000       ,0.033       ,880.000     ,0.000       ,0.554       ,14.78000      ,2147483575    ,0.000           ,353.584       ,0.000               ,-0.000              ,0.001           ,25726.18555       ,0.00000               ,-0.000        ,5.270         ,5.270         ,0.043         ,0.020         
09:41:43.610549     ,0.876       ,0.880       ,19.815      ,14.790      ,14.790      ,14.226      ,0.564       ,0.566       ,0.000          ,0.000       ,8.001       ,0.000       ,0.053       ,880.000     ,0.000       ,0.564       ,14.79000      ,2147483576    ,0.000           ,353.672       ,0.000               ,-0.000              ,0.001           ,25726.18750       ,-0.00767              ,-0.000        ,5.280         ,5.280         ,0.063         ,0.030         
09:41:43.626674     ,0.876       ,0.880       ,19.815      ,14.890      ,14.890      ,14.226      ,0.664       ,0.671       ,0.000          ,0.000       ,9.189       ,0.000       ,0.073       ,880.000     ,0.000       ,0.664       ,14.89000      ,2147483577    ,0.000           ,353.760       ,0.000               ,-0.000              ,0.003           ,25726.18750       ,-0.00767              ,-0.001        ,5.280         ,5.280         ,0.073         ,0.062         
09:41:43.646592     ,0.876       ,0.880       ,19.815      ,14.740      ,14.740      ,14.226      ,0.574       ,0.583       ,0.000          ,0.000       ,6.934       ,0.000       ,0.083       ,880.000     ,0.000       ,0.574       ,14.80000      ,2147483579    ,0.000           ,353.936       ,0.600               ,-0.002              ,0.004           ,25726.18945       ,-0.00766              ,-0.001        ,5.290         ,5.290         ,0.083         ,0.071         
09:41:43.666661     ,0.876       ,0.880       ,19.815      ,14.660      ,14.660      ,14.226      ,0.424       ,0.431       ,0.000          ,0.000       ,3.845       ,0.000       ,0.093       ,880.000     ,0.000       ,0.424       ,14.65000      ,2147483582    ,0.001           ,354.199       ,1.000               ,-0.003              ,0.005           ,25726.18945       ,-0.00766              ,-0.002        ,5.300         ,5.300         ,0.093         ,0.081         
09:41:43.686592     ,0.876       ,0.880       ,19.815      ,14.680      ,14.680      ,14.226      ,0.454       ,0.450       ,0.000          ,0.000       ,5.184       ,0.000       ,0.113       ,880.000     ,0.000       ,0.454       ,14.68000      ,2147483585    ,0.001           ,354.463       ,1.400               ,-0.005              ,0.008           ,25726.18945       ,-0.01537              ,-0.003        ,5.290         ,5.290         ,0.113         ,0.100         
09:41:43.710923     ,0.876       ,0.880       ,19.815      ,14.740      ,14.740      ,14.226      ,0.514       ,0.510       ,0.000          ,0.000       ,6.886       ,0.000       ,0.133       ,880.000     ,0.000       ,0.514       ,14.74000      ,2147483589    ,0.001           ,354.814       ,1.800               ,-0.006              ,0.012           ,25726.19141       ,-0.01534              ,-0.004        ,5.290         ,5.290         ,0.133         ,0.110         
09:41:43.736598     ,0.876       ,0.880       ,19.815      ,14.690      ,14.690      ,14.226      ,0.464       ,0.467       ,0.000          ,0.000       ,5.908       ,0.000       ,0.153       ,880.000     ,0.000       ,0.464       ,14.69000      ,2147483597    ,0.002           ,355.518       ,2.600               ,-0.009              ,0.018           ,25726.19531       ,-0.02300              ,-0.006        ,5.280         ,5.280         ,0.153         ,0.144         
09:41:43.756601     ,0.876       ,0.880       ,19.815      ,14.870      ,14.870      ,14.226      ,0.494       ,0.491       ,0.000          ,0.000       ,6.547       ,0.000       ,0.163       ,880.000     ,0.000       ,0.494       ,14.72000      ,2147483605    ,0.002           ,356.221       ,3.400               ,-0.012              ,0.022           ,25726.19922       ,-0.02298              ,-0.007        ,5.280         ,5.280         ,0.163         ,0.151         
