Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
15:17:52.794704     ,0.049       ,0.047       ,0.836       ,20.890      ,20.874      ,20.873      ,0.001       ,-0.005      ,-2.787      ,0.00008       ,18            ,1.582           ,149.400       ,-0.522              ,-0.000              ,-164.094        ,0.00000           ,-0.00000              
15:17:52.814693     ,0.051       ,0.047       ,0.836       ,20.870      ,20.865      ,20.873      ,-0.008      ,-0.006      ,-2.789      ,0.00008       ,18            ,1.582           ,149.000       ,-0.520              ,-0.000              ,-164.044        ,0.00000           ,-0.00000              
15:17:52.834626     ,0.049       ,0.047       ,0.853       ,20.870      ,20.881      ,20.873      ,0.008       ,-0.003      ,-2.791      ,0.00008       ,18            ,1.582           ,149.000       ,-0.520              ,-0.000              ,-163.997        ,0.00000           ,-0.00000              
15:17:52.854600     ,0.049       ,0.047       ,0.853       ,20.870      ,20.875      ,20.873      ,0.002       ,0.006       ,-2.792      ,0.00008       ,18            ,1.582           ,149.000       ,-0.520              ,-0.000              ,-163.946        ,0.00000           ,-0.00000              
15:17:52.875546     ,0.049       ,0.047       ,0.885       ,20.890      ,20.881      ,20.873      ,0.008       ,0.017       ,-2.788      ,0.00008       ,18            ,1.582           ,148.800       ,-0.519              ,-0.000              ,-163.900        ,0.00000           ,-0.00000              
15:17:52.895262     ,0.049       ,0.047       ,0.885       ,20.860      ,20.859      ,20.873      ,-0.014      ,0.020       ,-2.780      ,0.00008       ,18            ,1.582           ,148.400       ,-0.518              ,-0.000              ,-163.848        ,0.00000           ,-0.00000              
15:17:52.916314     ,0.049       ,0.047       ,0.885       ,20.850      ,20.865      ,20.873      ,-0.007      ,0.012       ,-2.772      ,0.00008       ,18            ,1.582           ,148.200       ,-0.517              ,-0.000              ,-163.797        ,0.00000           ,-0.00000              
15:17:52.928420     ,0.051       ,0.047       ,0.836       ,20.870      ,20.872      ,20.873      ,-0.001      ,0.005       ,-2.769      ,0.00008       ,18            ,1.582           ,148.600       ,-0.519              ,-0.000              ,-163.771        ,0.00000           ,-0.00000              
15:17:52.948444     ,0.051       ,0.047       ,0.836       ,20.890      ,20.872      ,20.873      ,-0.000      ,0.005       ,-2.767      ,0.00008       ,18            ,1.582           ,149.000       ,-0.520              ,-0.000              ,-163.722        ,0.00000           ,-0.00000              
15:17:52.968450     ,0.051       ,0.047       ,0.836       ,20.870      ,20.865      ,20.873      ,-0.008      ,0.004       ,-2.765      ,0.00008       ,18            ,1.582           ,149.000       ,-0.520              ,-0.000              ,-163.673        ,0.00000           ,-0.00000              
15:17:52.988428     ,0.051       ,0.047       ,0.853       ,20.840      ,20.861      ,20.873      ,-0.012      ,-0.007      ,-2.763      ,0.00008       ,18            ,1.582           ,148.600       ,-0.519              ,-0.000              ,-163.625        ,0.00000           ,-0.00000              
15:17:53.008430     ,0.051       ,0.047       ,0.836       ,20.870      ,20.878      ,20.873      ,0.005       ,-0.013      ,-2.768      ,0.00008       ,18            ,1.582           ,148.200       ,-0.517              ,-0.000              ,-163.574        ,0.00000           ,-0.00000              
15:17:53.028431     ,0.051       ,0.047       ,0.836       ,20.890      ,20.869      ,20.873      ,-0.004      ,-0.013      ,-2.773      ,0.00008       ,18            ,1.582           ,148.400       ,-0.518              ,-0.000              ,-163.523        ,0.00000           ,-0.00000              
15:17:53.048432     ,0.051       ,0.047       ,0.836       ,20.870      ,20.861      ,20.873      ,-0.011      ,-0.022      ,-2.778      ,0.00008       ,18            ,1.582           ,149.200       ,-0.521              ,-0.000              ,-163.473        ,0.00000           ,-0.00000              
15:17:53.068426     ,0.047       ,0.047       ,0.836       ,20.850      ,20.868      ,20.873      ,-0.004      ,-0.029      ,-2.788      ,0.00008       ,18            ,1.582           ,149.800       ,-0.523              ,-0.000              ,-163.423        ,0.00000           ,-0.00000              
15:17:53.088421     ,0.047       ,0.047       ,0.836       ,20.870      ,20.878      ,20.873      ,0.006       ,-0.029      ,-2.800      ,0.00008       ,18            ,1.582           ,149.600       ,-0.522              ,-0.000              ,-163.374        ,0.00000           ,-0.00000              
15:17:53.108456     ,0.051       ,0.047       ,0.853       ,20.890      ,20.873      ,20.873      ,0.000       ,-0.025      ,-2.812      ,0.00008       ,18            ,1.582           ,149.200       ,-0.521              ,-0.000              ,-163.323        ,0.00000           ,-0.00000              
15:17:53.128413     ,0.051       ,0.047       ,0.853       ,20.870      ,20.862      ,20.873      ,-0.010      ,-0.029      ,-2.821      ,0.00008       ,18            ,1.582           ,149.400       ,-0.522              ,-0.000              ,-163.272        ,0.00000           ,-0.00000              
15:17:53.148423     ,0.051       ,0.047       ,0.885       ,20.850      ,20.867      ,20.873      ,-0.006      ,-0.038      ,-2.834      ,0.00008       ,18            ,1.582           ,150.200       ,-0.524              ,-0.000              ,-163.221        ,0.00000           ,-0.00000              
15:17:53.168435     ,0.049       ,0.047       ,0.885       ,20.860      ,20.871      ,20.873      ,-0.002      ,-0.044      ,-2.849      ,0.00008       ,18            ,1.582           ,150.400       ,-0.525              ,-0.000              ,-163.172        ,0.00000           ,-0.00000              
15:17:53.188402     ,0.049       ,0.047       ,0.885       ,20.890      ,20.874      ,20.873      ,0.001       ,-0.042      ,-2.867      ,0.00008       ,18            ,1.582           ,150.200       ,-0.524              ,-0.000              ,-163.123        ,0.00000           ,-0.00000              
15:17:53.208418     ,0.051       ,0.047       ,0.885       ,20.890      ,20.873      ,20.873      ,-0.000      ,-0.034      ,-2.883      ,0.00008       ,18            ,1.582           ,150.000       ,-0.524              ,-0.000              ,-163.067        ,0.00000           ,-0.00000              
15:17:53.229172     ,0.049       ,0.047       ,0.836       ,20.860      ,20.871      ,20.873      ,-0.002      ,-0.032      ,-2.890      ,0.00008       ,18            ,1.582           ,150.000       ,-0.524              ,-0.000              ,-162.997        ,0.00000           ,-0.00000              
