Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
10:48:46.230764     ,0.000       ,0.000       ,5.360       ,5.307       ,-0.017      ,0.00031       ,2147481364    ,159.258         ,9.000         ,-0.031              ,-0.102              ,-4831.625       ,0.00767           ,0.00293               
10:48:46.250739     ,0.000       ,0.000       ,5.280       ,5.307       ,-0.017      ,0.00031       ,2147481364    ,159.258         ,12.000        ,-0.042              ,-0.102              ,-4831.616       ,0.00767           ,0.00293               
10:48:46.270753     ,0.000       ,0.000       ,5.280       ,5.307       ,-0.023      ,0.00038       ,2147481365    ,159.346         ,14.000        ,-0.049              ,-0.100              ,-4831.609       ,0.00000           ,0.00458               
10:48:46.290753     ,0.000       ,0.000       ,5.280       ,5.307       ,-0.023      ,0.00054       ,2147481367    ,159.521         ,15.000        ,-0.052              ,-0.099              ,-4831.604       ,0.00000           ,0.00585               
10:48:46.310764     ,0.000       ,0.000       ,5.280       ,5.307       ,-0.024      ,0.00077       ,2147481370    ,159.785         ,15.000        ,-0.052              ,-0.098              ,-4831.601       ,-0.00384          ,0.00663               
10:48:46.330749     ,0.000       ,0.000       ,5.280       ,5.307       ,-0.019      ,0.00107       ,2147481374    ,160.137         ,14.000        ,-0.049              ,-0.098              ,-4831.598       ,-0.00767          ,0.00671               
10:48:46.350743     ,0.000       ,0.000       ,5.260       ,5.307       ,-0.019      ,0.00138       ,2147481378    ,160.488         ,13.000        ,-0.045              ,-0.098              ,-4831.594       ,-0.00767          ,0.00671               
10:48:46.370761     ,0.000       ,0.000       ,5.260       ,5.307       ,-0.013      ,0.00169       ,2147481382    ,160.840         ,13.000        ,-0.045              ,-0.099              ,-4831.591       ,-0.01150          ,0.00608               
10:48:46.390755     ,0.000       ,0.000       ,5.260       ,5.307       ,-0.007      ,0.00199       ,2147481386    ,161.191         ,12.000        ,-0.042              ,-0.100              ,-4831.587       ,-0.01534          ,0.00472               
10:48:46.410764     ,0.000       ,0.000       ,5.260       ,5.307       ,-0.001      ,0.00230       ,2147481390    ,161.543         ,12.000        ,-0.042              ,-0.102              ,-4831.583       ,-0.01534          ,0.00284               
