Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
14:51:02.398952     ,0.879       ,0.880       ,18.996      ,16.130      ,16.178      ,16.177      ,0.001       ,0.000       ,0.095       ,0.000       ,0.038       ,880.000     ,0.001       ,16.178      ,0.01289       ,168           ,14.766          ,0.000         ,-0.000              ,-0.002              ,23922.094       ,0.00000           ,0.00069               ,0.000         ,0.000         ,0.040         ,-0.061        
14:51:02.402518     ,0.879       ,0.880       ,18.996      ,16.100      ,16.159      ,16.177      ,0.001       ,0.000       ,0.095       ,0.000       ,0.038       ,880.000     ,0.001       ,16.178      ,0.01289       ,168           ,14.766          ,0.000         ,-0.000              ,-0.002              ,23922.094       ,0.00000           ,0.00069               ,0.000         ,0.000         ,0.038         ,-0.061        
14:51:02.417593     ,0.879       ,0.880       ,19.013      ,16.080      ,16.140      ,16.177      ,0.001       ,0.000       ,0.095       ,0.000       ,0.038       ,880.000     ,0.001       ,16.178      ,0.01289       ,168           ,14.766          ,0.000         ,-0.000              ,-0.002              ,23922.094       ,0.00000           ,0.00058               ,0.000         ,0.000         ,0.038         ,-0.060        
14:51:02.422525     ,0.879       ,0.880       ,18.996      ,16.060      ,16.120      ,16.177      ,-0.056      ,-0.028      ,0.095       ,0.001       ,0.023       ,880.000     ,-0.056      ,16.120      ,0.01289       ,168           ,14.766          ,0.000         ,-0.000              ,-0.001              ,23922.094       ,0.00000           ,0.00050               ,0.000         ,0.000         ,0.026         ,-0.060        
14:51:02.435396     ,0.878       ,0.880       ,18.980      ,16.020      ,16.097      ,16.177      ,-0.056      ,-0.028      ,0.095       ,0.001       ,0.023       ,880.000     ,-0.056      ,16.120      ,0.01289       ,168           ,14.766          ,0.000         ,-0.000              ,-0.001              ,23922.094       ,0.00000           ,0.00042               ,0.000         ,0.000         ,0.023         ,-0.053        
14:51:02.442512     ,0.878       ,0.880       ,18.980      ,15.930      ,16.059      ,16.177      ,-0.118      ,-0.059      ,0.095       ,-0.002      ,0.011       ,880.000     ,-0.118      ,16.059      ,0.01281       ,167           ,14.678          ,0.000         ,-0.000              ,-0.001              ,23922.094       ,0.00000           ,0.00042               ,0.000         ,0.000         ,0.023         ,-0.053        
14:51:02.453988     ,0.881       ,0.880       ,18.980      ,15.870      ,16.016      ,16.177      ,-0.118      ,-0.059      ,0.095       ,-0.002      ,0.011       ,880.000     ,-0.118      ,16.059      ,0.01281       ,167           ,14.678          ,0.000         ,-0.000              ,-0.001              ,23922.094       ,0.00767           ,0.00047               ,0.000         ,0.000         ,0.011         ,-0.055        
14:51:02.462512     ,0.881       ,0.880       ,19.013      ,15.740      ,15.956      ,16.177      ,-0.220      ,-0.110      ,0.094       ,-0.001      ,-0.006      ,880.000     ,-0.220      ,15.956      ,0.01273       ,166           ,14.590          ,0.000         ,-0.000              ,-0.002              ,23922.094       ,0.00000           ,0.00052               ,0.000         ,0.000         ,0.005         ,-0.055        
14:51:02.472527     ,0.879       ,0.880       ,18.980      ,15.690      ,15.894      ,16.177      ,-0.220      ,-0.110      ,0.094       ,-0.001      ,-0.006      ,880.000     ,-0.220      ,15.956      ,0.01258       ,164           ,14.414          ,-0.200        ,0.001               ,-0.002              ,23922.094       ,0.00766           ,0.00067               ,0.000         ,0.000         ,-0.006        ,-0.051        
14:51:02.482526     ,0.879       ,0.880       ,18.996      ,15.620      ,15.827      ,16.177      ,-0.282      ,-0.141      ,0.094       ,-0.000      ,-0.016      ,880.000     ,-0.282      ,15.894      ,0.01243       ,162           ,14.238          ,-0.400        ,0.001               ,-0.003              ,23922.092       ,0.01534           ,0.00103               ,0.000         ,0.000         ,-0.016        ,-0.051        
14:51:02.492513     ,0.879       ,0.880       ,18.996      ,15.590      ,15.766      ,16.177      ,-0.350      ,-0.175      ,0.094       ,-0.000      ,-0.027      ,880.000     ,-0.350      ,15.827      ,0.01227       ,160           ,14.062          ,-0.600        ,0.002               ,-0.003              ,23922.092       ,0.01534           ,0.00103               ,0.000         ,0.000         ,-0.016        ,-0.046        
14:51:02.508662     ,0.879       ,0.880       ,18.996      ,15.550      ,15.700      ,16.177      ,-0.477      ,-0.238      ,0.093       ,-0.003      ,-0.049      ,880.000     ,-0.477      ,15.700      ,0.01212       ,158           ,13.887          ,-1.000        ,0.003               ,-0.005              ,23922.090       ,0.01533           ,0.00157               ,0.000         ,0.000         ,-0.027        ,-0.041        
14:51:02.512512     ,0.879       ,0.880       ,18.996      ,15.550      ,15.650      ,16.177      ,-0.477      ,-0.238      ,0.093       ,-0.003      ,-0.049      ,880.000     ,-0.477      ,15.700      ,0.01189       ,155           ,13.623          ,-1.400        ,0.005               ,-0.005              ,23922.090       ,0.01533           ,0.00157               ,0.000         ,0.000         ,-0.049        ,-0.041        
14:51:02.527376     ,0.881       ,0.880       ,18.996      ,15.510      ,15.595      ,16.177      ,-0.477      ,-0.291      ,0.093       ,0.001       ,-0.049      ,880.000     ,-0.477      ,15.700      ,0.01158       ,151           ,13.271          ,-1.800        ,0.006               ,-0.007              ,23922.086       ,0.01534           ,0.00225               ,0.000         ,0.000         ,-0.049        ,-0.028        
14:51:02.532516     ,0.881       ,0.880       ,18.996      ,15.460      ,15.546      ,16.177      ,-0.582      ,-0.291      ,0.093       ,0.001       ,-0.066      ,880.000     ,-0.582      ,15.595      ,0.01127       ,147           ,12.920          ,-2.200        ,0.008               ,-0.007              ,23922.086       ,0.01534           ,0.00225               ,0.000         ,0.000         ,-0.066        ,-0.028        
14:51:02.545947     ,0.881       ,0.880       ,18.980      ,15.360      ,15.492      ,16.177      ,-0.631      ,-0.315      ,0.092       ,0.003       ,-0.073      ,880.000     ,-0.631      ,15.546      ,0.01089       ,142           ,12.480          ,-2.600        ,0.009               ,-0.014              ,23922.084       ,0.03068           ,0.00464               ,0.000         ,0.000         ,-0.073        ,-0.019        
14:51:02.552525     ,0.881       ,0.880       ,18.980      ,15.310      ,15.448      ,16.177      ,-0.631      ,-0.315      ,0.092       ,0.003       ,-0.073      ,880.000     ,-0.631      ,15.546      ,0.01051       ,137           ,12.041          ,-2.800        ,0.010               ,-0.014              ,23922.084       ,0.03068           ,0.00464               ,0.000         ,0.000         ,-0.073        ,-0.019        
14:51:02.564587     ,0.881       ,0.880       ,18.996      ,15.220      ,15.396      ,16.177      ,-0.729      ,-0.364      ,0.091       ,-0.002      ,-0.092      ,880.000     ,-0.729      ,15.448      ,0.01005       ,131           ,11.514          ,-3.400        ,0.012               ,-0.019              ,23922.080       ,0.03838           ,0.00636               ,0.000         ,0.000         ,-0.092        ,-0.001        
14:51:02.572526     ,0.878       ,0.880       ,18.980      ,15.140      ,15.341      ,16.177      ,-0.781      ,-0.391      ,0.091       ,0.002       ,-0.099      ,880.000     ,-0.781      ,15.396      ,0.00951       ,124           ,10.898          ,-3.800        ,0.013               ,-0.026              ,23922.080       ,0.04599           ,0.00851               ,0.000         ,0.000         ,-0.099        ,-0.001        
14:51:02.583241     ,0.878       ,0.880       ,19.013      ,15.070      ,15.281      ,16.177      ,-0.836      ,-0.418      ,0.090       ,-0.000      ,-0.109      ,880.000     ,-0.836      ,15.341      ,0.00905       ,118           ,10.371          ,-4.400        ,0.015               ,-0.033              ,23922.076       ,0.05364           ,0.01103               ,0.000         ,0.000         ,-0.109        ,0.008         
14:51:02.592514     ,0.879       ,0.880       ,18.996      ,15.030      ,15.223      ,16.177      ,-0.896      ,-0.448      ,0.089       ,-0.000      ,-0.120      ,880.000     ,-0.896      ,15.281      ,0.00844       ,110           ,9.668           ,-5.000        ,0.017               ,-0.042              ,23922.076       ,0.04608           ,0.01386               ,0.000         ,0.000         ,-0.120        ,0.008         
14:51:02.602543     ,0.879       ,0.880       ,18.996      ,14.870      ,15.136      ,16.177      ,-0.953      ,-0.477      ,0.088       ,0.000       ,-0.130      ,880.000     ,-0.953      ,15.223      ,0.00782       ,102           ,8.965           ,-6.000        ,0.021               ,-0.042              ,23922.070       ,0.04608           ,0.01386               ,0.000         ,0.000         ,-0.120        ,0.027         
14:51:02.612514     ,0.881       ,0.880       ,19.013      ,14.770      ,15.045      ,16.177      ,-1.132      ,-0.566      ,0.087       ,-0.006      ,-0.162      ,880.000     ,-1.132      ,15.045      ,0.00721       ,94            ,8.262           ,-6.600        ,0.023               ,-0.051              ,23922.068       ,0.06131           ,0.01707               ,0.000         ,0.000         ,-0.130        ,0.027         
14:51:02.623873     ,0.881       ,0.880       ,18.980      ,14.650      ,14.946      ,16.177      ,-1.132      ,-0.566      ,0.087       ,-0.006      ,-0.162      ,880.000     ,-1.132      ,15.045      ,0.00644       ,84            ,7.383           ,-7.400        ,0.026               ,-0.061              ,23922.062       ,0.06134           ,0.02049               ,0.000         ,0.000         ,-0.162        ,0.052         
14:51:02.632512     ,0.881       ,0.880       ,18.980      ,14.600      ,14.853      ,16.177      ,-1.324      ,-0.662      ,0.086       ,-0.001      ,-0.192      ,880.000     ,-1.324      ,14.853      ,0.00575       ,75            ,6.592           ,-8.000        ,0.028               ,-0.061              ,23922.062       ,0.06134           ,0.02049               ,0.000         ,0.000         ,-0.162        ,0.052         
14:51:02.643604     ,0.881       ,0.880       ,18.980      ,14.480      ,14.746      ,16.177      ,-1.324      ,-0.662      ,0.086       ,-0.001      ,-0.192      ,880.000     ,-1.324      ,14.853      ,0.00491       ,64            ,5.625           ,-9.000        ,0.031               ,-0.073              ,23922.057       ,0.06915           ,0.02421               ,0.000         ,0.000         ,-0.192        ,0.075         
14:51:02.652533     ,0.881       ,0.880       ,18.963      ,14.370      ,14.651      ,16.177      ,-1.430      ,-0.715      ,0.084       ,0.004       ,-0.209      ,880.000     ,-1.430      ,14.746      ,0.00407       ,53            ,4.658           ,-9.600        ,0.034               ,-0.085              ,23922.057       ,0.08435           ,0.02840               ,0.000         ,0.000         ,-0.209        ,0.075         
