Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,PI_D(mA)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
18:52:06.933769     ,0.000       ,0.000       ,0.000       ,16.210      ,16.206      ,16.206      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,-0.00061      ,3005          ,264.111         ,0.000         ,-0.000              ,0.000               ,34514.191       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.059         ,-0.001        
18:52:06.943371     ,0.000       ,0.000       ,0.000       ,16.210      ,16.205      ,16.205      ,-0.001      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,-0.00061      ,3005          ,264.111         ,0.000         ,-0.000              ,0.000               ,34514.191       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.071         ,-0.001        
18:52:06.953245     ,0.000       ,0.000       ,0.000       ,16.240      ,16.210      ,16.207      ,0.003       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,-0.00061      ,3005          ,264.111         ,0.000         ,-0.000              ,0.000               ,34514.191       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.071         ,-0.001        
18:52:06.963309     ,0.000       ,0.000       ,0.000       ,16.220      ,16.209      ,16.207      ,0.001       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,-0.00061      ,3005          ,264.111         ,0.000         ,-0.000              ,0.000               ,34514.191       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.071         ,-0.001        
18:52:06.973199     ,0.000       ,0.000       ,0.000       ,16.210      ,16.207      ,16.207      ,-0.001      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,-0.00061      ,3005          ,264.111         ,0.000         ,-0.000              ,0.000               ,34514.191       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.071         ,0.000         
18:52:06.988661     ,0.000       ,0.000       ,0.000       ,16.210      ,16.206      ,16.207      ,-0.001      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,-0.00061      ,3005          ,264.111         ,0.000         ,-0.000              ,0.000               ,34514.191       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.071         ,-0.001        
18:52:06.993180     ,0.000       ,0.000       ,0.000       ,16.240      ,16.212      ,16.208      ,0.005       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,-0.00061      ,3005          ,264.111         ,0.000         ,-0.000              ,0.000               ,34514.191       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.081         ,-0.001        
18:52:07.008323     ,0.000       ,0.000       ,0.000       ,16.220      ,16.209      ,16.208      ,0.001       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,-0.00061      ,3005          ,264.111         ,0.000         ,-0.000              ,0.000               ,34514.191       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.081         ,-0.001        
18:52:07.013344     ,0.000       ,0.000       ,0.000       ,16.210      ,16.210      ,16.208      ,0.002       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,-0.00061      ,3005          ,264.111         ,0.000         ,-0.000              ,0.000               ,34514.191       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.081         ,-0.001        
18:52:07.026817     ,0.000       ,0.000       ,0.000       ,16.220      ,16.213      ,16.209      ,0.005       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,-0.00061      ,3005          ,264.111         ,0.000         ,-0.000              ,0.000               ,34514.191       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.081         ,0.000         
