Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,PI_D(mA)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg)
16:06:04.572419     ,0.049       ,0.000       ,0.853       ,11.900      ,11.895      ,11.891      ,0.004       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.290         ,4.290         
16:06:04.582803     ,0.049       ,0.000       ,0.853       ,11.900      ,11.896      ,11.892      ,0.004       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.290         ,4.290         
16:06:04.592739     ,0.049       ,0.000       ,0.853       ,11.900      ,11.896      ,11.892      ,0.004       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.290         ,4.290         
16:06:05.143694     ,0.051       ,0.000       ,0.853       ,11.890      ,11.886      ,11.892      ,-0.005      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:05.143734     ,0.051       ,0.000       ,0.836       ,11.900      ,11.895      ,11.892      ,0.003       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:05.163742     ,0.051       ,0.000       ,0.836       ,11.900      ,11.891      ,11.892      ,-0.000      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:05.173745     ,0.051       ,0.000       ,0.836       ,11.890      ,11.883      ,11.891      ,-0.008      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:05.183764     ,0.049       ,0.000       ,0.836       ,11.890      ,11.886      ,11.891      ,-0.005      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:05.193747     ,0.049       ,0.000       ,0.836       ,11.900      ,11.896      ,11.891      ,0.004       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:05.203741     ,0.049       ,0.000       ,0.836       ,11.900      ,11.893      ,11.891      ,0.002       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:05.213744     ,0.051       ,0.000       ,0.836       ,11.890      ,11.883      ,11.891      ,-0.008      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:05.223738     ,0.051       ,0.000       ,0.853       ,11.890      ,11.885      ,11.891      ,-0.006      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:05.233738     ,0.051       ,0.000       ,0.853       ,11.890      ,11.886      ,11.891      ,-0.005      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:05.779706     ,0.049       ,0.000       ,0.853       ,11.900      ,11.894      ,11.891      ,0.003       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.320         ,4.320         
16:06:05.782455     ,0.049       ,0.000       ,0.885       ,11.890      ,11.883      ,11.891      ,-0.007      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.320         ,4.320         
16:06:05.802482     ,0.049       ,0.000       ,0.853       ,11.900      ,11.892      ,11.891      ,0.002       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.320         ,4.320         
16:06:05.812494     ,0.049       ,0.000       ,0.853       ,11.890      ,11.884      ,11.890      ,-0.007      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.320         ,4.320         
16:06:05.822390     ,0.051       ,0.000       ,0.853       ,11.890      ,11.886      ,11.890      ,-0.004      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.320         ,4.320         
16:06:05.832531     ,0.051       ,0.000       ,0.836       ,11.890      ,11.887      ,11.890      ,-0.003      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.320         ,4.320         
16:06:05.842345     ,0.051       ,0.000       ,0.836       ,11.900      ,11.895      ,11.890      ,0.004       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.320         ,4.320         
16:06:05.852452     ,0.051       ,0.000       ,0.836       ,11.900      ,11.891      ,11.890      ,0.001       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.320         ,4.320         
