Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
11:20:48.296497     ,0.881       ,0.880       ,20.339      ,16.540      ,16.540      ,16.570      ,-0.040      ,-0.023      ,0.000          ,0.000       ,-1.437      ,0.000       ,-0.025      ,880.000     ,0.000       ,-0.040      ,16.53000      ,2147480931    ,0.000           ,121.201       ,0.000               ,-0.000              ,0.000           ,25744.82617       ,0.00000               ,-0.000        ,5.770         ,5.770         ,-0.025        ,-0.018        
11:20:48.306057     ,0.881       ,0.880       ,20.339      ,16.540      ,16.540      ,16.570      ,-0.030      ,-0.023      ,0.000          ,0.000       ,-0.709      ,0.000       ,-0.045      ,880.000     ,0.000       ,-0.030      ,16.54000      ,2147480931    ,0.000           ,121.201       ,0.000               ,-0.000              ,0.000           ,25744.82617       ,0.00000               ,-0.000        ,5.770         ,5.770         ,-0.045        ,-0.025        
11:20:48.316032     ,0.881       ,0.880       ,20.339      ,16.560      ,16.560      ,16.570      ,-0.010      ,-0.011      ,0.000          ,0.000       ,-0.080      ,0.000       ,-0.055      ,880.000     ,0.000       ,-0.010      ,16.56000      ,2147480931    ,0.000           ,121.201       ,0.000               ,-0.000              ,0.000           ,25744.82617       ,0.00000               ,-0.000        ,5.770         ,5.770         ,-0.055        ,-0.025        
11:20:48.346289     ,0.881       ,0.880       ,20.339      ,16.740      ,16.740      ,16.570      ,0.030       ,0.014       ,0.000          ,0.000       ,0.889       ,0.000       ,-0.045      ,880.000     ,0.000       ,0.030       ,16.60000      ,2147480931    ,0.000           ,121.201       ,0.000               ,-0.000              ,0.000           ,25744.82617       ,0.00000               ,-0.000        ,5.780         ,5.780         ,-0.045        ,-0.058        
11:20:48.355294     ,0.881       ,0.880       ,20.339      ,16.770      ,16.770      ,16.570      ,0.170       ,0.110       ,0.000          ,0.000       ,4.464       ,0.000       ,-0.035      ,880.000     ,0.000       ,0.170       ,16.74000      ,2147480931    ,0.000           ,121.201       ,0.000               ,-0.000              ,0.000           ,25744.82617       ,0.00000               ,-0.000        ,5.780         ,5.780         ,-0.035        ,-0.038        
11:20:48.376504     ,0.881       ,0.880       ,20.339      ,16.830      ,16.830      ,16.570      ,0.260       ,0.181       ,0.000          ,0.000       ,5.600       ,0.000       ,-0.025      ,880.000     ,0.000       ,0.260       ,16.83000      ,2147480931    ,0.000           ,121.201       ,0.000               ,-0.000              ,0.000           ,25744.82617       ,0.00000               ,-0.000        ,5.780         ,5.780         ,-0.025        ,-0.038        
11:20:48.394663     ,0.881       ,0.880       ,20.339      ,16.840      ,16.840      ,16.570      ,0.280       ,0.212       ,0.000          ,0.000       ,4.712       ,0.000       ,-0.015      ,880.000     ,0.000       ,0.280       ,16.85000      ,2147480931    ,0.000           ,121.201       ,0.000               ,-0.000              ,0.000           ,25744.82617       ,0.00000               ,-0.000        ,5.780         ,5.780         ,-0.015        ,-0.028        
11:20:48.417226     ,0.881       ,0.880       ,20.339      ,16.600      ,16.600      ,16.570      ,0.260       ,0.216       ,0.000          ,0.000       ,3.075       ,0.000       ,-0.005      ,880.000     ,0.000       ,0.260       ,16.83000      ,2147480931    ,0.000           ,121.201       ,0.000               ,-0.000              ,0.000           ,25744.82617       ,0.00000               ,-0.000        ,5.780         ,5.780         ,-0.005        ,-0.011        
11:20:48.438746     ,0.883       ,0.880       ,20.372      ,16.390      ,16.390      ,16.570      ,-0.270      ,-0.121      ,0.000          ,0.000       ,-10.000     ,0.000       ,-0.005      ,880.000     ,0.000       ,-0.270      ,16.30000      ,2147480931    ,0.000           ,121.201       ,0.000               ,-0.000              ,0.000           ,25744.82617       ,0.00000               ,-0.000        ,5.770         ,5.770         ,-0.005        ,-0.001        
11:20:48.468640     ,0.883       ,0.880       ,20.372      ,15.900      ,15.900      ,16.570      ,-0.270      ,-0.121      ,0.000          ,0.000       ,-10.000     ,0.000       ,-0.005      ,880.000     ,0.000       ,-0.270      ,16.30000      ,2147480928    ,-0.000          ,120.938       ,0.000               ,-0.000              ,0.000           ,25744.82422       ,0.00000               ,-0.000        ,5.770         ,5.770         ,-0.005        ,-0.001        
11:20:48.478680     ,0.883       ,0.880       ,20.372      ,15.870      ,15.870      ,16.570      ,-0.530      ,-0.324      ,0.000          ,0.000       ,-10.000     ,0.000       ,-0.015      ,880.000     ,0.000       ,-0.530      ,16.04000      ,2147480927    ,-0.000          ,120.850       ,0.000               ,-0.000              ,-0.000          ,25744.82422       ,0.00766               ,0.000         ,5.770         ,5.770         ,-0.015        ,-0.018        
11:20:48.504833     ,0.883       ,0.880       ,20.372      ,15.950      ,15.950      ,16.570      ,-0.700      ,-0.506      ,0.000          ,0.000       ,-10.000     ,0.000       ,-0.025      ,880.000     ,0.000       ,-0.700      ,15.87000      ,2147480923    ,-0.001          ,120.498       ,-0.600              ,0.002               ,-0.000          ,25744.82031       ,0.00766               ,0.000         ,5.770         ,5.770         ,-0.025        ,-0.018        
11:20:48.505103     ,0.883       ,0.880       ,20.372      ,15.840      ,15.840      ,16.570      ,-0.730      ,-0.591      ,0.000          ,0.000       ,-9.480      ,0.000       ,-0.035      ,880.000     ,0.000       ,-0.730      ,15.84000      ,2147480920    ,-0.001          ,120.234       ,-1.000              ,0.003               ,-0.001          ,25744.82031       ,0.00769               ,0.000         ,5.770         ,5.770         ,-0.035        ,-0.018        
11:20:48.525269     ,0.883       ,0.880       ,20.372      ,15.840      ,15.840      ,16.570      ,-0.730      ,-0.624      ,0.000          ,0.000       ,-7.126      ,0.000       ,-0.045      ,880.000     ,0.000       ,-0.730      ,15.84000      ,2147480915    ,-0.001          ,119.795       ,-1.600              ,0.006               ,-0.005          ,25744.81836       ,0.02300               ,0.002         ,5.760         ,5.760         ,-0.045        ,-0.034        
11:20:48.536415     ,0.883       ,0.880       ,20.372      ,15.850      ,15.850      ,16.570      ,-0.720      ,-0.644      ,0.000          ,0.000       ,-5.163      ,0.000       ,-0.055      ,880.000     ,0.000       ,-0.720      ,15.85000      ,2147480911    ,-0.002          ,119.443       ,-2.000              ,0.007               ,-0.005          ,25744.81836       ,0.02300               ,0.002         ,5.760         ,5.760         ,-0.055        ,-0.044        
11:20:48.545678     ,0.883       ,0.880       ,20.372      ,15.900      ,15.900      ,16.570      ,-0.670      ,-0.631      ,0.000          ,0.000       ,-2.669      ,0.000       ,-0.065      ,880.000     ,0.000       ,-0.670      ,15.90000      ,2147480908    ,-0.002          ,119.180       ,-2.400              ,0.008               ,-0.008          ,25744.81641       ,0.03069               ,0.003         ,5.760         ,5.760         ,-0.065        ,-0.044        
11:20:48.555814     ,0.883       ,0.880       ,20.372      ,15.920      ,15.920      ,16.570      ,-0.650      ,-0.628      ,0.000          ,0.000       ,-1.594      ,0.000       ,-0.075      ,880.000     ,0.000       ,-0.650      ,15.92000      ,2147480903    ,-0.002          ,118.740       ,-2.800              ,0.010               ,-0.012          ,25744.81445       ,0.02302               ,0.004         ,5.760         ,5.760         ,-0.075        ,-0.053        
11:20:48.586806     ,0.883       ,0.880       ,20.372      ,16.100      ,16.100      ,16.570      ,-0.470      ,-0.516      ,0.000          ,0.000       ,3.020       ,0.000       ,-0.095      ,880.000     ,0.000       ,-0.470      ,16.10000      ,2147480888    ,-0.003          ,117.422       ,-4.000              ,0.014               ,-0.023          ,25744.81055       ,0.03832               ,0.008         ,5.770         ,5.770         ,-0.085        ,-0.075        
11:20:48.609747     ,0.879       ,0.880       ,20.372      ,16.020      ,16.020      ,16.570      ,-0.470      ,-0.516      ,0.000          ,0.000       ,3.020       ,0.000       ,-0.095      ,880.000     ,0.000       ,-0.470      ,16.10000      ,2147480875    ,-0.004          ,116.279       ,-6.000              ,0.021               ,-0.030          ,25744.80469       ,0.03832               ,0.010         ,5.770         ,5.770         ,-0.095        ,-0.076        
