Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,PI_D(mA)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg)
15:55:25.997625     ,0.049       ,0.000       ,0.836       ,11.890      ,11.880      ,11.880      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.310         ,4.310         
15:55:25.997736     ,0.049       ,0.000       ,0.836       ,11.890      ,11.886      ,11.883      ,0.003       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.310         ,4.310         
15:55:26.509717     ,0.049       ,0.000       ,0.836       ,11.890      ,11.883      ,11.883      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.310         ,4.310         
15:55:26.512711     ,0.049       ,0.000       ,0.885       ,11.890      ,11.884      ,11.883      ,0.001       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.310         ,4.310         
15:55:27.021703     ,0.049       ,0.000       ,0.885       ,11.900      ,11.890      ,11.885      ,0.006       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
15:55:27.022786     ,0.051       ,0.000       ,0.853       ,11.900      ,11.889      ,11.886      ,0.004       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
15:55:27.533685     ,0.051       ,0.000       ,0.836       ,11.900      ,11.889      ,11.886      ,0.003       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.290         ,4.290         
15:55:27.533738     ,0.051       ,0.000       ,0.836       ,11.900      ,11.892      ,11.887      ,0.005       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.290         ,4.290         
15:55:28.049705     ,0.049       ,0.000       ,0.885       ,11.890      ,11.885      ,11.886      ,-0.002      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.310         ,4.310         
15:55:28.052752     ,0.049       ,0.000       ,0.853       ,11.890      ,11.886      ,11.886      ,-0.000      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.310         ,4.310         
15:55:28.561658     ,0.049       ,0.000       ,0.885       ,11.900      ,11.895      ,11.887      ,0.007       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.310         ,4.310         
15:55:28.563418     ,0.051       ,0.000       ,0.853       ,11.890      ,11.885      ,11.887      ,-0.002      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.310         ,4.310         
15:55:29.069626     ,0.049       ,0.000       ,0.869       ,11.900      ,11.898      ,11.888      ,0.011       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
15:55:29.072925     ,0.051       ,0.000       ,0.853       ,11.890      ,11.885      ,11.888      ,-0.003      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
