Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
18:24:06.264486     ,0.883       ,0.880       ,19.406      ,15.710      ,15.710      ,15.652      ,0.148       ,0.127       ,0.000          ,0.000       ,1.432       ,0.000       ,0.043       ,880.000     ,0.000       ,0.148       ,15.80000      ,2147483644    ,-0.000          ,359.648       ,0.000               ,-0.000              ,-0.000          ,25397.81445       ,0.00000               ,0.000         ,5.640         ,5.640         ,0.053         ,0.041         
18:24:06.273736     ,0.883       ,0.880       ,19.406      ,15.540      ,15.540      ,15.652      ,-0.112      ,-0.037      ,0.000          ,0.000       ,-5.062      ,0.000       ,0.043       ,880.000     ,0.000       ,-0.112      ,15.54000      ,2147483645    ,-0.000          ,359.736       ,0.000               ,-0.000              ,0.000           ,25397.81445       ,-0.00768              ,-0.000        ,5.640         ,5.640         ,0.043         ,0.041         
18:24:06.283722     ,0.883       ,0.880       ,19.406      ,15.530      ,15.530      ,15.652      ,-0.122      ,-0.062      ,0.000          ,0.000       ,-4.170      ,0.000       ,0.033       ,880.000     ,0.000       ,-0.122      ,15.53000      ,2147483645    ,-0.000          ,359.736       ,0.000               ,-0.000              ,0.000           ,25397.81445       ,0.00000               ,-0.000        ,5.640         ,5.640         ,0.033         ,0.051         
18:24:06.293734     ,0.883       ,0.880       ,19.406      ,15.500      ,15.500      ,15.652      ,-0.152      ,-0.096      ,0.000          ,0.000       ,-3.952      ,0.000       ,0.023       ,880.000     ,0.000       ,-0.152      ,15.50000      ,2147483645    ,-0.000          ,359.736       ,0.000               ,-0.000              ,0.001           ,25397.81445       ,0.00000               ,-0.000        ,5.630         ,5.630         ,0.023         ,0.033         
18:24:06.303725     ,0.883       ,0.880       ,19.406      ,15.380      ,15.380      ,15.652      ,-0.272      ,-0.187      ,0.000          ,0.000       ,-6.078      ,0.000       ,0.013       ,880.000     ,0.000       ,-0.272      ,15.38000      ,2147483645    ,-0.000          ,359.736       ,0.000               ,-0.000              ,0.001           ,25397.81445       ,0.00000               ,-0.000        ,5.630         ,5.630         ,0.013         ,0.025         
18:24:06.313767     ,0.883       ,0.880       ,19.406      ,15.140      ,15.140      ,15.652      ,-0.512      ,-0.360      ,0.000          ,0.000       ,-10.000     ,0.000       ,0.003       ,880.000     ,0.000       ,-0.512      ,15.14000      ,2147483645    ,-0.000          ,359.736       ,0.000               ,-0.000              ,0.001           ,25397.81445       ,0.00000               ,-0.000        ,5.630         ,5.630         ,0.003         ,0.010         
18:24:06.336597     ,0.879       ,0.880       ,19.373      ,15.070      ,15.070      ,15.652      ,-0.582      ,-0.475      ,0.000          ,0.000       ,-7.313      ,0.000       ,-0.017      ,880.000     ,0.000       ,-0.582      ,15.07000      ,2147483642    ,-0.000          ,359.473       ,0.000               ,-0.000              ,0.001           ,25397.81250       ,0.00768               ,-0.000        ,5.630         ,5.630         ,-0.017        ,-0.005        
18:24:06.343763     ,0.879       ,0.880       ,19.373      ,15.010      ,15.010      ,15.652      ,-0.642      ,-0.540      ,0.000          ,0.000       ,-7.070      ,0.000       ,-0.027      ,880.000     ,0.000       ,-0.642      ,15.01000      ,2147483639    ,-0.001          ,359.209       ,-0.400              ,0.001               ,-0.002          ,25397.81055       ,0.02300               ,0.001         ,5.630         ,5.630         ,-0.027        ,-0.005        
18:24:06.352863     ,0.879       ,0.880       ,19.373      ,15.000      ,15.000      ,15.652      ,-0.652      ,-0.571      ,0.000          ,0.000       ,-5.583      ,0.000       ,-0.037      ,880.000     ,0.000       ,-0.652      ,15.00000      ,2147483636    ,-0.001          ,358.945       ,-0.800              ,0.003               ,-0.004          ,25397.81055       ,0.02300               ,0.001         ,5.630         ,5.630         ,-0.037        ,-0.018        
18:24:06.362741     ,0.879       ,0.880       ,19.373      ,15.070      ,15.070      ,15.652      ,-0.582      ,-0.546      ,0.000          ,0.000       ,-2.458      ,0.000       ,-0.047      ,880.000     ,0.000       ,-0.582      ,15.07000      ,2147483632    ,-0.001          ,358.594       ,-1.000              ,0.003               ,-0.008          ,25397.81055       ,0.03071               ,0.003         ,5.630         ,5.630         ,-0.047        ,-0.025        
18:24:06.373655     ,0.879       ,0.880       ,19.373      ,15.180      ,15.180      ,15.652      ,-0.472      ,-0.486      ,0.000          ,0.000       ,0.852       ,0.000       ,-0.057      ,880.000     ,0.000       ,-0.472      ,15.18000      ,2147483628    ,-0.002          ,358.242       ,-1.400              ,0.005               ,-0.012          ,25397.80859       ,0.03069               ,0.004         ,5.620         ,5.620         ,-0.057        ,-0.047        
