Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
08:38:03.238266     ,0.000       ,0.880       ,0.000       ,15.330      ,15.330      ,15.327      ,0.003       ,0.001       ,0.001       ,0.013       ,0.000       ,0.014       ,880.000     ,0.000       ,0.003       ,15.330      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24776.254       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.014         ,0.011         
08:38:03.248253     ,0.000       ,0.880       ,0.000       ,15.330      ,15.330      ,15.327      ,0.003       ,0.001       ,0.001       ,0.013       ,0.000       ,0.014       ,880.000     ,0.000       ,0.003       ,15.330      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24776.254       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.014         ,0.011         
08:38:03.263788     ,0.000       ,0.880       ,0.000       ,15.330      ,15.330      ,15.327      ,0.003       ,0.001       ,0.001       ,0.013       ,0.000       ,0.014       ,880.000     ,0.000       ,0.003       ,15.330      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24776.254       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.014         ,0.011         
08:38:03.268246     ,0.000       ,0.880       ,0.000       ,15.320      ,15.320      ,15.327      ,-0.007      ,-0.000      ,-0.002      ,0.013       ,-0.000      ,0.013       ,880.000     ,0.000       ,-0.007      ,15.320      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24776.254       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.013         ,0.011         
08:38:03.278240     ,0.000       ,0.880       ,0.000       ,15.330      ,15.330      ,15.327      ,0.003       ,0.000       ,0.001       ,0.013       ,0.000       ,0.013       ,880.000     ,0.000       ,0.003       ,15.330      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24776.254       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.013         ,0.010         
08:38:03.288255     ,0.000       ,0.880       ,0.000       ,15.320      ,15.320      ,15.327      ,-0.007      ,-0.001      ,-0.002      ,0.013       ,-0.000      ,0.012       ,880.000     ,0.000       ,-0.007      ,15.320      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24776.254       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.012         ,0.011         
08:38:03.298241     ,0.000       ,0.880       ,0.000       ,15.330      ,15.330      ,15.327      ,0.003       ,-0.000      ,0.001       ,0.013       ,0.000       ,0.013       ,880.000     ,0.000       ,0.003       ,15.330      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24776.254       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.013         ,0.011         
08:38:03.308257     ,0.000       ,0.880       ,0.000       ,15.330      ,15.330      ,15.327      ,0.003       ,0.000       ,0.001       ,0.013       ,-0.000      ,0.013       ,880.000     ,0.000       ,0.003       ,15.330      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24776.254       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.013         ,0.013         
08:38:03.318262     ,0.000       ,0.880       ,0.000       ,15.330      ,15.330      ,15.327      ,0.003       ,0.000       ,0.001       ,0.013       ,0.000       ,0.013       ,880.000     ,0.000       ,0.003       ,15.330      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24776.254       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.013         ,0.011         
08:38:03.328257     ,0.000       ,0.880       ,0.000       ,15.340      ,15.340      ,15.327      ,0.013       ,0.002       ,0.004       ,0.013       ,0.000       ,0.015       ,880.000     ,0.000       ,0.013       ,15.340      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24776.254       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.015         ,0.011         
