Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
09:30:00.665826     ,0.878       ,0.880       ,19.193      ,15.370      ,15.370      ,15.362      ,0.008       ,0.003       ,0.003       ,-0.004      ,-0.000      ,-0.001      ,880.000     ,0.000       ,0.008       ,15.370      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,0.008         
09:30:00.675847     ,0.878       ,0.880       ,19.193      ,15.370      ,15.370      ,15.362      ,0.008       ,0.003       ,0.003       ,-0.004      ,0.000       ,-0.001      ,880.000     ,0.000       ,0.008       ,15.370      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.003        
09:30:00.685846     ,0.878       ,0.880       ,19.193      ,15.390      ,15.390      ,15.362      ,0.028       ,0.009       ,0.009       ,-0.003      ,0.000       ,0.006       ,880.000     ,0.000       ,0.028       ,15.390      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.006         ,0.001         
09:30:00.695821     ,0.878       ,0.880       ,19.193      ,15.390      ,15.390      ,15.362      ,0.028       ,0.009       ,0.009       ,-0.003      ,-0.000      ,0.006       ,880.000     ,0.000       ,0.028       ,15.390      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.006         ,0.001         
09:30:00.705835     ,0.878       ,0.880       ,19.193      ,15.380      ,15.380      ,15.362      ,0.018       ,0.006       ,0.006       ,-0.003      ,-0.000      ,0.003       ,880.000     ,0.000       ,0.018       ,15.380      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.003         ,0.004         
09:30:00.715819     ,0.878       ,0.880       ,19.193      ,15.390      ,15.390      ,15.362      ,0.028       ,0.009       ,0.009       ,-0.002      ,0.000       ,0.007       ,880.000     ,0.000       ,0.028       ,15.390      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.007         ,0.004         
09:30:00.725821     ,0.878       ,0.880       ,19.193      ,15.400      ,15.400      ,15.362      ,0.038       ,0.013       ,0.013       ,-0.002      ,-0.000      ,0.011       ,880.000     ,0.000       ,0.038       ,15.400      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.011         ,0.005         
09:30:00.735831     ,0.878       ,0.880       ,19.193      ,15.420      ,15.420      ,15.362      ,0.058       ,0.019       ,0.019       ,-0.001      ,0.000       ,0.019       ,880.000     ,0.000       ,0.058       ,15.420      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.019         ,0.009         
09:30:00.756583     ,0.879       ,0.880       ,19.193      ,15.380      ,15.380      ,15.362      ,-0.002      ,-0.001      ,-0.001      ,-0.000      ,0.000       ,-0.001      ,880.000     ,0.000       ,-0.002      ,15.360      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,0.004         
09:30:00.765344     ,0.879       ,0.880       ,19.193      ,15.420      ,15.420      ,15.362      ,-0.002      ,-0.001      ,-0.001      ,-0.000      ,0.000       ,-0.001      ,880.000     ,0.000       ,-0.002      ,15.360      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.009         ,0.004         
09:30:00.765833     ,0.879       ,0.880       ,19.193      ,15.420      ,15.420      ,15.362      ,0.058       ,0.019       ,0.019       ,0.001       ,0.000       ,0.009       ,880.000     ,0.000       ,0.058       ,15.420      ,0.00192       ,2147483572    ,353.320         ,0.000         ,-0.000              ,-0.000              ,24846.924       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.009         ,0.004         
09:30:00.775839     ,0.879       ,0.880       ,19.193      ,15.570      ,15.570      ,15.362      ,0.208       ,0.069       ,0.069       ,0.004       ,0.000       ,0.019       ,880.000     ,0.000       ,0.208       ,15.570      ,0.00199       ,2147483573    ,353.408         ,0.000         ,-0.000              ,0.000               ,24846.924       ,-0.00766          ,-0.00011              ,0.000         ,0.000         ,0.019         ,0.018         
09:30:00.785855     ,0.879       ,0.880       ,19.193      ,15.510      ,15.510      ,15.362      ,0.148       ,0.049       ,0.049       ,0.006       ,-0.000      ,0.029       ,880.000     ,0.000       ,0.148       ,15.510      ,0.00199       ,2147483573    ,353.408         ,0.000         ,-0.000              ,0.001               ,24846.924       ,0.00000           ,-0.00021              ,0.000         ,0.000         ,0.029         ,0.017         
09:30:00.795824     ,0.879       ,0.880       ,19.193      ,15.400      ,15.400      ,15.362      ,0.038       ,0.013       ,0.013       ,0.007       ,-0.000      ,0.020       ,880.000     ,0.000       ,0.038       ,15.400      ,0.00207       ,2147483574    ,353.496         ,0.000         ,-0.000              ,0.001               ,24846.924       ,-0.00768          ,-0.00041              ,0.000         ,0.000         ,0.020         ,0.017         
09:30:00.805836     ,0.879       ,0.880       ,19.193      ,15.540      ,15.540      ,15.362      ,0.178       ,0.059       ,0.059       ,0.010       ,0.000       ,0.030       ,880.000     ,0.000       ,0.178       ,15.540      ,0.00207       ,2147483574    ,353.496         ,0.000         ,-0.000              ,0.002               ,24846.924       ,0.00000           ,-0.00058              ,0.000         ,0.000         ,0.030         ,0.018         
09:30:00.815823     ,0.879       ,0.880       ,19.193      ,15.550      ,15.550      ,15.362      ,0.188       ,0.063       ,0.063       ,0.013       ,-0.000      ,0.040       ,880.000     ,0.000       ,0.188       ,15.550      ,0.00215       ,2147483575    ,353.584         ,0.000         ,-0.000              ,0.003               ,24846.926       ,-0.00766          ,-0.00084              ,0.000         ,0.000         ,0.040         ,0.027         
09:30:00.825835     ,0.879       ,0.880       ,19.193      ,15.380      ,15.380      ,15.362      ,0.018       ,0.006       ,0.006       ,0.014       ,-0.000      ,0.030       ,880.000     ,0.000       ,0.018       ,15.380      ,0.00215       ,2147483575    ,353.584         ,0.000         ,-0.000              ,0.003               ,24846.926       ,0.00000           ,-0.00106              ,0.000         ,0.000         ,0.030         ,0.038         
09:30:00.835846     ,0.879       ,0.880       ,19.193      ,15.340      ,15.340      ,15.362      ,-0.022      ,-0.007      ,-0.007      ,0.013       ,0.000       ,0.020       ,880.000     ,0.000       ,-0.022      ,15.340      ,0.00222       ,2147483576    ,353.672         ,0.400         ,-0.001              ,0.004               ,24846.926       ,-0.00767          ,-0.00136              ,0.000         ,0.000         ,0.020         ,0.020         
09:30:00.864543     ,0.878       ,0.880       ,19.225      ,15.560      ,15.560      ,15.362      ,0.198       ,0.066       ,0.066       ,0.016       ,0.000       ,0.020       ,880.000     ,0.000       ,0.198       ,15.560      ,0.00245       ,2147483579    ,353.936         ,1.000         ,-0.003              ,0.006               ,24846.926       ,-0.01534          ,-0.00184              ,0.000         ,0.000         ,0.020         ,0.010         
09:30:00.865675     ,0.878       ,0.880       ,19.225      ,15.590      ,15.590      ,15.362      ,0.198       ,0.066       ,0.066       ,0.016       ,0.000       ,0.020       ,880.000     ,0.000       ,0.198       ,15.560      ,0.00253       ,2147483580    ,354.023         ,1.000         ,-0.003              ,0.007               ,24846.928       ,-0.00767          ,-0.00237              ,0.000         ,0.000         ,0.020         ,0.010         
09:30:00.865818     ,0.878       ,0.880       ,19.225      ,15.590      ,15.590      ,15.362      ,0.228       ,0.076       ,0.076       ,0.020       ,-0.000      ,0.030       ,880.000     ,0.000       ,0.228       ,15.590      ,0.00253       ,2147483580    ,354.023         ,1.000         ,-0.003              ,0.009               ,24846.928       ,-0.00766          ,-0.00294              ,0.000         ,0.000         ,0.030         ,0.010         
09:30:00.875849     ,0.878       ,0.880       ,19.225      ,15.600      ,15.600      ,15.362      ,0.238       ,0.079       ,0.079       ,0.024       ,-0.000      ,0.040       ,880.000     ,0.000       ,0.238       ,15.600      ,0.00268       ,2147483582    ,354.199         ,1.000         ,-0.003              ,0.011               ,24846.928       ,-0.01534          ,-0.00353              ,0.000         ,0.000         ,0.040         ,0.038         
09:30:00.885840     ,0.878       ,0.880       ,19.225      ,15.600      ,15.600      ,15.362      ,0.238       ,0.079       ,0.079       ,0.028       ,-0.000      ,0.050       ,880.000     ,0.000       ,0.238       ,15.600      ,0.00276       ,2147483583    ,354.287         ,1.000         ,-0.003              ,0.012               ,24846.928       ,-0.00767          ,-0.00415              ,0.000         ,0.000         ,0.050         ,0.050         
