Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
16:50:20.246320     ,0.051       ,0.000       ,0.869       ,20.810      ,20.813      ,20.836      ,-0.023      ,-0.498      ,0.000       ,0.00813       ,2147474587    ,283.623         ,150.000       ,-0.524              ,-0.000              ,1446.619        ,0.00000           ,-0.00000              
16:50:20.267019     ,0.051       ,0.000       ,0.869       ,20.830      ,20.816      ,20.836      ,-0.020      ,-0.472      ,0.000       ,0.00813       ,2147474587    ,283.623         ,150.000       ,-0.524              ,-0.000              ,1446.673        ,0.00000           ,-0.00000              
16:50:20.287766     ,0.051       ,0.000       ,0.885       ,20.810      ,20.805      ,20.836      ,-0.031      ,-0.445      ,0.000       ,0.00813       ,2147474587    ,283.623         ,150.200       ,-0.524              ,-0.000              ,1446.726        ,0.00000           ,-0.00000              
16:50:20.308509     ,0.051       ,0.000       ,0.885       ,20.830      ,20.834      ,20.836      ,-0.002      ,-0.414      ,0.000       ,0.00813       ,2147474587    ,283.623         ,150.600       ,-0.526              ,0.000               ,1446.776        ,0.00000           ,0.00000               
16:50:20.321996     ,0.049       ,0.000       ,0.885       ,20.810      ,20.813      ,20.836      ,-0.023      ,-0.379      ,0.000       ,0.00813       ,2147474587    ,283.623         ,151.000       ,-0.527              ,0.000               ,1446.820        ,0.00000           ,0.00000               
16:50:20.341985     ,0.049       ,0.000       ,0.885       ,20.840      ,20.836      ,20.836      ,0.000       ,-0.341      ,0.000       ,0.00813       ,2147474587    ,283.623         ,151.000       ,-0.527              ,0.000               ,1446.869        ,0.00000           ,0.00000               
16:50:20.361983     ,0.051       ,0.000       ,0.869       ,20.840      ,20.829      ,20.836      ,-0.007      ,-0.307      ,0.000       ,0.00813       ,2147474587    ,283.623         ,151.000       ,-0.527              ,0.000               ,1446.919        ,0.00000           ,0.00000               
16:50:20.381997     ,0.051       ,0.000       ,0.869       ,20.830      ,20.832      ,20.836      ,-0.004      ,-0.277      ,0.000       ,0.00813       ,2147474587    ,283.623         ,150.600       ,-0.526              ,0.000               ,1446.969        ,0.00000           ,0.00000               
16:50:20.402002     ,0.051       ,0.000       ,0.869       ,20.840      ,20.845      ,20.836      ,0.009       ,-0.242      ,0.000       ,0.00821       ,2147474588    ,283.711         ,150.200       ,-0.524              ,-0.000              ,1447.019        ,-0.00384          ,-0.00016              
16:50:20.422001     ,0.049       ,0.000       ,0.885       ,20.840      ,20.838      ,20.836      ,0.002       ,-0.207      ,0.000       ,0.00821       ,2147474588    ,283.711         ,149.600       ,-0.522              ,-0.000              ,1447.067        ,0.00000           ,-0.00033              
16:50:20.441993     ,0.049       ,0.000       ,0.885       ,20.840      ,20.837      ,20.836      ,0.001       ,-0.174      ,0.000       ,0.00821       ,2147474588    ,283.711         ,149.200       ,-0.521              ,-0.000              ,1447.115        ,0.00000           ,-0.00045              
16:50:20.461981     ,0.051       ,0.000       ,0.885       ,20.850      ,20.847      ,20.836      ,0.011       ,-0.141      ,0.000       ,0.00821       ,2147474588    ,283.711         ,148.600       ,-0.519              ,-0.001              ,1447.166        ,0.00000           ,-0.00054              
16:50:20.482011     ,0.051       ,0.000       ,0.885       ,20.850      ,20.847      ,20.836      ,0.011       ,-0.110      ,0.000       ,0.00821       ,2147474588    ,283.711         ,148.600       ,-0.519              ,-0.001              ,1447.217        ,0.00000           ,-0.00060              
16:50:20.502000     ,0.051       ,0.000       ,0.885       ,20.850      ,20.850      ,20.836      ,0.014       ,-0.081      ,0.000       ,0.00828       ,2147474589    ,283.799         ,149.200       ,-0.521              ,-0.001              ,1447.268        ,-0.00383          ,-0.00065              
16:50:20.521991     ,0.051       ,0.000       ,0.885       ,20.850      ,20.851      ,20.836      ,0.015       ,-0.049      ,0.000       ,0.00828       ,2147474589    ,283.799         ,149.800       ,-0.523              ,-0.001              ,1447.317        ,0.00000           ,-0.00068              
16:50:20.541981     ,0.051       ,0.000       ,0.885       ,20.860      ,20.857      ,20.836      ,0.021       ,-0.016      ,0.000       ,0.00828       ,2147474589    ,283.799         ,149.600       ,-0.522              ,-0.001              ,1447.365        ,0.00000           ,-0.00070              
16:50:20.561986     ,0.051       ,0.000       ,0.885       ,20.860      ,20.856      ,20.836      ,0.020       ,0.012       ,0.000       ,0.00828       ,2147474589    ,283.799         ,149.200       ,-0.521              ,-0.001              ,1447.416        ,0.00000           ,-0.00072              
16:50:20.582006     ,0.049       ,0.000       ,0.885       ,20.860      ,20.860      ,20.836      ,0.024       ,0.043       ,0.000       ,0.00836       ,2147474590    ,283.887         ,149.400       ,-0.522              ,-0.001              ,1447.467        ,-0.00383          ,-0.00090              
16:50:20.601997     ,0.049       ,0.000       ,0.885       ,20.860      ,20.862      ,20.836      ,0.026       ,0.071       ,0.000       ,0.00836       ,2147474590    ,283.887         ,149.800       ,-0.523              ,-0.001              ,1447.518        ,0.00000           ,-0.00091              
16:50:20.622050     ,0.049       ,0.000       ,0.885       ,20.850      ,20.853      ,20.836      ,0.017       ,0.094       ,0.000       ,0.00836       ,2147474590    ,283.887         ,150.000       ,-0.524              ,-0.001              ,1447.567        ,0.00000           ,-0.00087              
16:50:20.642143     ,0.049       ,0.000       ,0.869       ,20.890      ,20.881      ,20.836      ,0.045       ,0.107       ,0.000       ,0.00836       ,2147474590    ,283.887         ,149.800       ,-0.523              ,-0.001              ,1447.615        ,0.00000           ,-0.00086              
16:50:20.662794     ,0.049       ,0.001       ,0.869       ,20.890      ,20.874      ,20.836      ,0.038       ,0.137       ,0.000       ,0.00844       ,2147474591    ,283.975         ,149.400       ,-0.522              ,-0.001              ,1447.667        ,-0.00384          ,-0.00089              
16:50:20.683691     ,0.049       ,0.001       ,0.885       ,20.870      ,20.875      ,20.836      ,0.039       ,0.167       ,0.000       ,0.00844       ,2147474591    ,283.975         ,149.200       ,-0.521              ,-0.001              ,1447.718        ,0.00000           ,-0.00101              
16:50:20.704720     ,0.049       ,0.001       ,0.885       ,20.870      ,20.884      ,20.836      ,0.048       ,0.197       ,0.000       ,0.00844       ,2147474591    ,283.975         ,149.800       ,-0.523              ,-0.001              ,1447.769        ,0.00000           ,-0.00094              
16:50:20.725866     ,0.049       ,0.002       ,0.885       ,20.890      ,20.885      ,20.836      ,0.049       ,0.222       ,0.000       ,0.00851       ,2147474592    ,284.062         ,150.600       ,-0.526              ,-0.001              ,1447.818        ,-0.00384          ,-0.00095              
16:50:20.746629     ,0.051       ,0.003       ,0.869       ,20.890      ,20.877      ,20.836      ,0.041       ,0.268       ,0.000       ,0.00851       ,2147474592    ,284.062         ,150.800       ,-0.526              ,-0.001              ,1447.867        ,0.00000           ,-0.00118              
16:50:20.767495     ,0.051       ,0.003       ,0.869       ,20.890      ,20.889      ,20.836      ,0.052       ,0.295       ,0.000       ,0.00851       ,2147474592    ,284.062         ,150.400       ,-0.525              ,-0.001              ,1447.922        ,0.00000           ,-0.00111              
16:50:20.788409     ,0.051       ,0.004       ,0.885       ,20.890      ,20.895      ,20.836      ,0.059       ,0.324       ,0.000       ,0.00859       ,2147474593    ,284.150         ,150.400       ,-0.525              ,-0.001              ,1447.976        ,-0.00383          ,-0.00118              
16:50:20.809144     ,0.049       ,0.005       ,0.869       ,20.900      ,20.899      ,20.836      ,0.063       ,0.356       ,0.000       ,0.00859       ,2147474593    ,284.150         ,151.200       ,-0.528              ,-0.001              ,1448.029        ,0.00000           ,-0.00128              
16:50:20.822005     ,0.049       ,0.005       ,0.869       ,20.900      ,20.895      ,20.836      ,0.059       ,0.387       ,0.000       ,0.00859       ,2147474593    ,284.150         ,152.000       ,-0.531              ,-0.001              ,1448.070        ,0.00000           ,-0.00119              
16:50:20.841989     ,0.049       ,0.006       ,0.885       ,20.890      ,20.892      ,20.836      ,0.056       ,0.413       ,0.000       ,0.00867       ,2147474594    ,284.238         ,151.600       ,-0.529              ,-0.001              ,1448.118        ,-0.00383          ,-0.00123              
16:50:20.861992     ,0.049       ,0.007       ,0.869       ,20.900      ,20.903      ,20.836      ,0.067       ,0.440       ,0.000       ,0.00867       ,2147474594    ,284.238         ,150.800       ,-0.526              ,-0.001              ,1448.168        ,0.00000           ,-0.00132              
16:50:20.882015     ,0.049       ,0.008       ,0.869       ,20.900      ,20.897      ,20.836      ,0.061       ,0.468       ,0.000       ,0.00867       ,2147474594    ,284.238         ,150.200       ,-0.524              ,-0.001              ,1448.220        ,0.00000           ,-0.00121              
16:50:20.901996     ,0.049       ,0.009       ,0.885       ,20.890      ,20.891      ,20.836      ,0.055       ,0.490       ,0.000       ,0.00874       ,2147474595    ,284.326         ,150.400       ,-0.525              ,-0.001              ,1448.270        ,-0.00383          ,-0.00125              
16:50:20.921989     ,0.049       ,0.010       ,0.885       ,20.900      ,20.902      ,20.836      ,0.066       ,0.516       ,0.000       ,0.00874       ,2147474595    ,284.326         ,150.400       ,-0.525              ,-0.628              ,1448.318        ,0.00000           ,-0.00133              
16:50:20.941981     ,0.049       ,0.011       ,0.885       ,20.920      ,20.911      ,20.836      ,0.075       ,0.542       ,0.000       ,0.00874       ,2147474595    ,284.326         ,149.800       ,-0.523              ,-0.628              ,1448.366        ,0.00000           ,-0.00122              
16:50:20.961994     ,0.051       ,0.012       ,0.885       ,20.910      ,20.904      ,20.836      ,0.068       ,0.562       ,0.000       ,0.00882       ,2147474596    ,284.414         ,148.800       ,-0.519              ,-0.628              ,1448.415        ,-0.00384          ,-0.00126              
16:50:20.982014     ,0.051       ,0.013       ,0.885       ,20.900      ,20.908      ,20.836      ,0.072       ,0.583       ,0.000       ,0.00882       ,2147474596    ,284.414         ,148.600       ,-0.519              ,-0.628              ,1448.466        ,0.00000           ,-0.00134              
16:50:21.001997     ,0.051       ,0.014       ,0.885       ,20.930      ,20.929      ,20.836      ,0.092       ,0.608       ,0.000       ,0.00882       ,2147474596    ,284.414         ,148.800       ,-0.519              ,-0.628              ,1448.517        ,0.00000           ,-0.00123              
16:50:21.022000     ,0.051       ,0.016       ,0.885       ,20.950      ,20.931      ,20.836      ,0.095       ,0.639       ,0.000       ,0.00890       ,2147474597    ,284.502         ,149.200       ,-0.521              ,-0.628              ,1448.567        ,-0.00383          ,-0.00126              
16:50:21.042173     ,0.051       ,0.016       ,0.885       ,20.930      ,20.926      ,20.836      ,0.090       ,0.670       ,0.000       ,0.00890       ,2147474597    ,284.502         ,149.400       ,-0.522              ,-0.628              ,1448.616        ,0.00000           ,-0.00131              
16:50:21.062806     ,0.049       ,0.018       ,0.885       ,20.900      ,20.921      ,20.836      ,0.085       ,0.686       ,0.000       ,0.00897       ,2147474598    ,284.590         ,149.400       ,-0.522              ,-0.628              ,1448.667        ,-0.00384          ,-0.00137              
16:50:21.083366     ,0.051       ,0.019       ,0.853       ,20.890      ,20.909      ,20.836      ,0.073       ,0.708       ,0.000       ,0.00897       ,2147474598    ,284.590         ,149.200       ,-0.521              ,-0.628              ,1448.718        ,0.00000           ,-0.00141              
16:50:21.103061     ,0.051       ,0.021       ,0.853       ,20.930      ,20.918      ,20.836      ,0.082       ,0.718       ,0.000       ,0.00905       ,2147474599    ,284.678         ,149.800       ,-0.523              ,-0.628              ,1448.770        ,-0.00383          ,-0.00151              
16:50:21.123762     ,0.049       ,0.022       ,0.885       ,20.960      ,20.928      ,20.836      ,0.092       ,0.730       ,0.000       ,0.00913       ,2147474600    ,284.766         ,150.600       ,-0.526              ,-0.628              ,1448.819        ,-0.00384          ,-0.00173              
16:50:21.144282     ,0.049       ,0.023       ,0.885       ,20.920      ,20.920      ,20.836      ,0.084       ,0.753       ,0.000       ,0.00913       ,2147474600    ,284.766         ,151.000       ,-0.527              ,-0.628              ,1448.869        ,0.00000           ,-0.00189              
16:50:21.165114     ,0.049       ,0.025       ,0.885       ,20.920      ,20.945      ,20.836      ,0.109       ,0.771       ,0.000       ,0.00920       ,2147474601    ,284.854         ,151.000       ,-0.527              ,-0.628              ,1448.920        ,-0.00384          ,-0.00200              
16:50:21.185754     ,0.051       ,0.027       ,0.869       ,20.920      ,20.927      ,20.836      ,0.091       ,0.809       ,0.000       ,0.00920       ,2147474601    ,284.854         ,151.000       ,-0.527              ,-0.628              ,1448.971        ,0.00000           ,-0.00212              
16:50:21.206426     ,0.053       ,0.029       ,0.869       ,20.950      ,20.933      ,20.836      ,0.097       ,0.833       ,0.000       ,0.00928       ,2147474602    ,284.941         ,151.000       ,-0.527              ,-0.628              ,1449.021        ,-0.00383          ,-0.00217              
16:50:21.227291     ,0.053       ,0.031       ,0.869       ,20.970      ,20.948      ,20.836      ,0.112       ,0.862       ,0.000       ,0.00936       ,2147474603    ,285.029         ,150.800       ,-0.526              ,-0.628              ,1449.072        ,-0.00384          ,-0.00220              
16:50:21.248093     ,0.049       ,0.033       ,0.885       ,20.930      ,20.937      ,20.836      ,0.101       ,0.886       ,0.000       ,0.00943       ,2147474604    ,285.117         ,150.400       ,-0.525              ,-0.628              ,1449.124        ,-0.00384          ,-0.00240              
16:50:21.268946     ,0.051       ,0.034       ,0.885       ,20.980      ,20.988      ,20.836      ,0.152       ,0.951       ,0.000       ,0.00951       ,2147474605    ,285.205         ,150.000       ,-0.524              ,-0.628              ,1449.177        ,-0.00384          ,-0.00258              
16:50:21.289810     ,0.051       ,0.036       ,0.869       ,20.960      ,20.950      ,20.836      ,0.114       ,0.965       ,0.000       ,0.00959       ,2147474606    ,285.293         ,150.200       ,-0.524              ,-0.628              ,1449.246        ,-0.00384          ,-0.00288              
16:50:21.302001     ,0.051       ,0.038       ,0.869       ,20.930      ,20.939      ,20.836      ,0.103       ,0.982       ,0.000       ,0.00966       ,2147474607    ,285.381         ,150.600       ,-0.526              ,-0.628              ,1449.271        ,-0.00383          ,-0.00315              
16:50:21.321989     ,0.051       ,0.040       ,0.869       ,20.950      ,20.959      ,20.836      ,0.123       ,0.995       ,0.000       ,0.00974       ,2147474608    ,285.469         ,151.000       ,-0.527              ,-0.628              ,1449.320        ,-0.00384          ,-0.00334              
16:50:21.342040     ,0.049       ,0.042       ,0.869       ,20.980      ,20.964      ,20.836      ,0.128       ,1.017       ,0.000       ,0.00982       ,2147474609    ,285.557         ,150.600       ,-0.526              ,-0.628              ,1449.369        ,-0.00384          ,-0.00348              
16:50:21.361981     ,0.049       ,0.044       ,0.885       ,21.040      ,21.005      ,20.836      ,0.169       ,1.058       ,0.000       ,0.00989       ,2147474610    ,285.645         ,150.200       ,-0.524              ,-0.628              ,1449.420        ,-0.00384          ,-0.00358              
16:50:21.382005     ,0.049       ,0.047       ,0.885       ,21.010      ,20.998      ,20.836      ,0.162       ,1.115       ,0.000       ,0.01005       ,2147474612    ,285.820         ,150.000       ,-0.524              ,-0.628              ,1449.471        ,-0.00766          ,-0.00381              
