Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
08:28:32.586909     ,0.439       ,0.000       ,9.187       ,21.060      ,21.060      ,0.000       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.606893     ,0.439       ,0.000       ,9.187       ,21.020      ,21.033      ,-0.013      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.626904     ,0.439       ,0.000       ,9.155       ,21.030      ,21.032      ,-0.002      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.646901     ,0.441       ,0.000       ,9.122       ,21.040      ,21.034      ,0.006       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.666906     ,0.441       ,0.000       ,9.122       ,21.040      ,21.036      ,0.004       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.686913     ,0.439       ,0.000       ,9.187       ,21.020      ,21.033      ,-0.013      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.706912     ,0.438       ,0.000       ,9.171       ,21.020      ,21.031      ,-0.011      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.727425     ,0.438       ,0.000       ,9.171       ,21.060      ,21.035      ,0.025       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.748779     ,0.439       ,0.000       ,9.138       ,21.060      ,21.038      ,0.022       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.769957     ,0.441       ,0.000       ,9.171       ,21.030      ,21.037      ,-0.007      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.791297     ,0.441       ,0.000       ,9.171       ,21.000      ,21.033      ,-0.033      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.812768     ,0.439       ,0.000       ,9.138       ,21.020      ,21.032      ,-0.012      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.834237     ,0.441       ,0.000       ,9.138       ,21.070      ,21.035      ,0.035       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.855784     ,0.441       ,0.000       ,9.138       ,21.060      ,21.037      ,0.023       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.866903     ,0.439       ,0.000       ,9.122       ,21.020      ,21.036      ,-0.016      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.886910     ,0.441       ,0.000       ,9.122       ,21.020      ,21.035      ,-0.015      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.906905     ,0.441       ,0.000       ,9.171       ,21.070      ,21.037      ,0.033       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.926904     ,0.441       ,0.000       ,9.155       ,21.060      ,21.038      ,0.022       ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.946910     ,0.438       ,0.000       ,9.155       ,21.030      ,21.038      ,-0.008      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
08:28:32.966975     ,0.438       ,0.000       ,9.171       ,21.020      ,21.037      ,-0.017      ,0.000       ,0.000       ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,0.000               ,-1723.858       ,0.00000           ,0.00000               
