Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,PI_D(mA)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
17:42:06.194417     ,0.051       ,0.880       ,0.869       ,16.180      ,16.175      ,16.172      ,0.003       ,0.017       ,-0.000      ,-0.068      ,-0.068      ,880.000     ,0.003       ,16.175      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.205185     ,0.051       ,0.880       ,0.885       ,16.190      ,16.175      ,16.172      ,0.003       ,0.017       ,-0.000      ,-0.068      ,-0.068      ,880.000     ,0.003       ,16.175      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
17:42:06.214364     ,0.051       ,0.880       ,0.869       ,16.190      ,16.176      ,16.172      ,0.004       ,0.021       ,-0.000      ,-0.059      ,-0.059      ,880.000     ,0.004       ,16.176      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
17:42:06.226264     ,0.049       ,0.880       ,0.869       ,16.190      ,16.176      ,16.172      ,0.004       ,0.021       ,-0.000      ,-0.059      ,-0.059      ,880.000     ,0.004       ,16.176      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
17:42:06.234384     ,0.051       ,0.880       ,0.869       ,16.180      ,16.176      ,16.172      ,0.004       ,0.019       ,-0.000      ,-0.106      ,-0.106      ,880.000     ,0.004       ,16.176      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
17:42:06.246084     ,0.049       ,0.880       ,0.885       ,16.180      ,16.176      ,16.172      ,0.004       ,0.019       ,-0.000      ,-0.106      ,-0.106      ,880.000     ,0.004       ,16.176      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.254365     ,0.049       ,0.880       ,0.869       ,16.180      ,16.175      ,16.172      ,0.003       ,0.015       ,-0.000      ,-0.082      ,-0.082      ,880.000     ,0.003       ,16.175      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.265631     ,0.051       ,0.880       ,0.885       ,16.190      ,16.176      ,16.172      ,0.003       ,0.015       ,-0.000      ,-0.082      ,-0.082      ,880.000     ,0.003       ,16.175      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.274366     ,0.049       ,0.880       ,0.885       ,16.190      ,16.177      ,16.172      ,0.005       ,0.026       ,-0.000      ,-0.116      ,-0.116      ,880.000     ,0.005       ,16.177      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.286646     ,0.049       ,0.880       ,0.869       ,16.180      ,16.177      ,16.172      ,0.005       ,0.026       ,-0.000      ,-0.116      ,-0.116      ,880.000     ,0.005       ,16.177      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.294363     ,0.049       ,0.880       ,0.869       ,16.180      ,16.176      ,16.172      ,0.005       ,0.023       ,-0.000      ,-0.102      ,-0.102      ,880.000     ,0.005       ,16.176      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.306521     ,0.049       ,0.880       ,0.869       ,16.180      ,16.176      ,16.172      ,0.005       ,0.023       ,-0.000      ,-0.102      ,-0.102      ,880.000     ,0.005       ,16.176      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.004        
17:42:06.314461     ,0.051       ,0.880       ,0.885       ,16.190      ,16.176      ,16.172      ,0.006       ,0.028       ,-0.000      ,-0.082      ,-0.082      ,880.000     ,0.006       ,16.177      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.004        
17:42:06.325351     ,0.051       ,0.880       ,0.885       ,16.180      ,16.175      ,16.172      ,0.005       ,0.024       ,-0.000      ,-0.134      ,-0.134      ,880.000     ,0.005       ,16.176      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
17:42:06.334430     ,0.049       ,0.880       ,0.885       ,16.180      ,16.175      ,16.172      ,0.003       ,0.014       ,-0.000      ,-0.077      ,-0.077      ,880.000     ,0.003       ,16.175      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
17:42:06.346141     ,0.049       ,0.880       ,0.869       ,16.190      ,16.178      ,16.172      ,0.004       ,0.018       ,-0.000      ,-0.019      ,-0.019      ,880.000     ,0.004       ,16.175      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.008        
17:42:06.354404     ,0.049       ,0.880       ,0.869       ,16.190      ,16.177      ,16.172      ,0.006       ,0.029       ,-0.000      ,-0.087      ,-0.087      ,880.000     ,0.006       ,16.178      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.008        
17:42:06.364832     ,0.051       ,0.880       ,0.869       ,16.190      ,16.177      ,16.172      ,0.006       ,0.029       ,-0.000      ,-0.163      ,-0.163      ,880.000     ,0.006       ,16.177      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.013        
17:42:06.374372     ,0.049       ,0.880       ,0.885       ,16.180      ,16.177      ,16.172      ,0.006       ,0.028       ,-0.000      ,-0.112      ,-0.112      ,880.000     ,0.006       ,16.177      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.013        
17:42:06.387967     ,0.049       ,0.880       ,0.869       ,16.180      ,16.177      ,16.172      ,0.006       ,0.028       ,-0.000      ,-0.112      ,-0.112      ,880.000     ,0.006       ,16.177      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.394366     ,0.049       ,0.880       ,0.885       ,16.180      ,16.176      ,16.172      ,0.004       ,0.021       ,-0.000      ,-0.116      ,-0.116      ,880.000     ,0.004       ,16.176      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.406701     ,0.049       ,0.880       ,0.869       ,16.180      ,16.175      ,16.172      ,0.004       ,0.021       ,-0.000      ,-0.116      ,-0.116      ,880.000     ,0.004       ,16.176      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.006        
17:42:06.414363     ,0.049       ,0.880       ,0.869       ,16.180      ,16.173      ,16.172      ,0.002       ,0.008       ,-0.000      ,-0.033      ,-0.033      ,880.000     ,0.002       ,16.173      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.006        
17:42:06.424412     ,0.051       ,0.880       ,0.885       ,16.180      ,16.173      ,16.172      ,0.002       ,0.008       ,-0.000      ,-0.033      ,-0.033      ,880.000     ,0.002       ,16.173      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.434513     ,0.051       ,0.880       ,0.869       ,16.190      ,16.174      ,16.172      ,0.002       ,0.009       ,-0.000      ,-0.008      ,-0.008      ,880.000     ,0.002       ,16.173      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.445456     ,0.051       ,0.880       ,0.885       ,16.190      ,16.175      ,16.172      ,0.003       ,0.014       ,-0.000      ,-0.038      ,-0.038      ,880.000     ,0.003       ,16.174      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.454365     ,0.051       ,0.880       ,0.869       ,16.190      ,16.175      ,16.172      ,0.004       ,0.018       ,-0.000      ,-0.070      ,-0.070      ,880.000     ,0.004       ,16.175      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.001         
17:42:06.464364     ,0.049       ,0.880       ,0.885       ,16.190      ,16.176      ,16.172      ,0.005       ,0.024       ,-0.000      ,-0.082      ,-0.082      ,880.000     ,0.005       ,16.176      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.004        
17:42:06.474374     ,0.049       ,0.880       ,0.869       ,16.190      ,16.178      ,16.172      ,0.007       ,0.034       ,-0.000      ,-0.119      ,-0.119      ,880.000     ,0.007       ,16.178      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.004        
17:42:06.484490     ,0.049       ,0.880       ,0.869       ,16.180      ,16.178      ,16.172      ,0.007       ,0.034       ,-0.000      ,-0.119      ,-0.119      ,880.000     ,0.007       ,16.178      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.004        
17:42:06.494365     ,0.049       ,0.880       ,0.885       ,16.180      ,16.178      ,16.172      ,0.006       ,0.030       ,-0.000      ,-0.174      ,-0.174      ,880.000     ,0.006       ,16.178      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.004        
17:42:06.504378     ,0.049       ,0.880       ,0.885       ,16.180      ,16.178      ,16.172      ,0.006       ,0.030       ,-0.000      ,-0.174      ,-0.174      ,880.000     ,0.006       ,16.178      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.003         
17:42:06.520255     ,0.049       ,0.880       ,0.869       ,16.190      ,16.179      ,16.172      ,0.006       ,0.030       ,-0.000      ,-0.174      ,-0.174      ,880.000     ,0.006       ,16.178      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.003        
17:42:06.524379     ,0.049       ,0.880       ,0.869       ,16.190      ,16.178      ,16.172      ,0.007       ,0.034       ,-0.000      ,-0.106      ,-0.106      ,880.000     ,0.007       ,16.179      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.003        
17:42:06.540543     ,0.049       ,0.880       ,0.869       ,16.190      ,16.178      ,16.172      ,0.006       ,0.032       ,-0.000      ,-0.156      ,-0.156      ,880.000     ,0.006       ,16.178      ,0.00000       ,1517          ,133.330         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.003        
