Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,PI_D(mA)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg)
18:26:40.501377     ,0.000       ,0.000       ,0.000       ,16.080      ,16.078      ,16.078      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.507404     ,0.000       ,0.000       ,0.000       ,16.090      ,16.079      ,16.079      ,0.001       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.519765     ,0.000       ,0.000       ,0.000       ,16.090      ,16.080      ,16.079      ,0.001       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.527109     ,0.000       ,0.000       ,0.000       ,16.090      ,16.080      ,16.079      ,0.001       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.538604     ,0.000       ,0.000       ,0.000       ,16.100      ,16.082      ,16.080      ,0.002       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.547232     ,0.000       ,0.000       ,0.000       ,16.090      ,16.083      ,16.080      ,0.003       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.557200     ,0.000       ,0.000       ,0.000       ,16.090      ,16.082      ,16.081      ,0.001       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.567212     ,0.000       ,0.000       ,0.000       ,16.090      ,16.082      ,16.081      ,0.001       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.577115     ,0.000       ,0.000       ,0.000       ,16.100      ,16.084      ,16.081      ,0.003       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.587385     ,0.000       ,0.000       ,0.000       ,16.100      ,16.085      ,16.082      ,0.003       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.597093     ,0.000       ,0.000       ,0.000       ,16.100      ,16.087      ,16.082      ,0.005       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.611815     ,0.000       ,0.000       ,0.000       ,16.100      ,16.089      ,16.083      ,0.006       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.617248     ,0.000       ,0.000       ,0.000       ,16.120      ,16.094      ,16.083      ,0.010       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.629480     ,0.000       ,0.000       ,0.000       ,16.090      ,16.091      ,16.084      ,0.007       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.637190     ,0.000       ,0.000       ,0.000       ,16.100      ,16.092      ,16.085      ,0.007       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.648203     ,0.000       ,0.000       ,0.000       ,16.100      ,16.093      ,16.085      ,0.008       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
18:26:40.657230     ,0.000       ,0.000       ,0.000       ,16.120      ,16.097      ,16.086      ,0.012       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.16866       ,3120          ,274.219         ,0.000         ,-0.000              ,0.000               ,34514.234       ,0.00000           ,0.00000               ,0.000         ,0.000         
