Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
10:30:04.659673     ,0.879       ,0.880       ,20.159      ,14.570      ,14.570      ,14.391      ,-0.001      ,-0.002      ,0.000          ,0.000       ,-0.172      ,0.000       ,0.070       ,880.000     ,0.000       ,-0.001      ,14.39000      ,27            ,0.000           ,2.373         ,0.000               ,-0.000              ,0.001           ,24942.74805       ,0.00000               ,-0.000        ,5.280         ,5.280         ,0.070         ,0.065         
10:30:04.676758     ,0.879       ,0.880       ,20.175      ,14.690      ,14.690      ,14.391      ,0.239       ,0.152       ,0.000          ,0.000       ,5.939       ,0.000       ,0.080       ,880.000     ,0.000       ,0.239       ,14.63000      ,28            ,0.000           ,2.461         ,0.000               ,-0.000              ,0.001           ,24942.74805       ,0.00000               ,-0.000        ,5.280         ,5.280         ,0.080         ,0.079         
10:30:04.694301     ,0.879       ,0.880       ,20.175      ,14.770      ,14.770      ,14.391      ,0.339       ,0.237       ,0.000          ,0.000       ,7.074       ,0.000       ,0.090       ,880.000     ,0.000       ,0.339       ,14.73000      ,29            ,0.000           ,2.549         ,0.000               ,-0.000              ,0.002           ,24942.74805       ,0.00000               ,-0.001        ,5.280         ,5.280         ,0.100         ,0.090         
10:30:04.703129     ,0.879       ,0.880       ,20.175      ,14.710      ,14.710      ,14.391      ,0.379       ,0.287       ,0.000          ,0.000       ,6.320       ,0.000       ,0.100       ,880.000     ,0.000       ,0.379       ,14.77000      ,29            ,0.000           ,2.549         ,0.000               ,-0.000              ,0.003           ,24942.74805       ,-0.00767              ,-0.001        ,5.280         ,5.280         ,0.110         ,0.099         
10:30:04.712233     ,0.879       ,0.880       ,20.175      ,14.600      ,14.600      ,14.391      ,0.319       ,0.271       ,0.000          ,0.000       ,3.245       ,0.000       ,0.110       ,880.000     ,0.000       ,0.319       ,14.71000      ,29            ,0.000           ,2.549         ,0.000               ,-0.000              ,0.003           ,24942.74805       ,0.00000               ,-0.001        ,5.280         ,5.280         ,0.120         ,0.108         
10:30:04.724232     ,0.879       ,0.880       ,20.175      ,14.590      ,14.590      ,14.391      ,0.209       ,0.213       ,0.000          ,0.000       ,-0.267      ,0.000       ,0.120       ,880.000     ,0.000       ,0.209       ,14.60000      ,29            ,0.000           ,2.549         ,0.200               ,-0.001              ,0.004           ,24942.74805       ,0.00000               ,-0.001        ,5.280         ,5.280         ,0.130         ,0.118         
10:30:04.734207     ,0.879       ,0.880       ,20.175      ,14.590      ,14.590      ,14.391      ,0.199       ,0.205       ,0.000          ,0.000       ,-0.169      ,0.000       ,0.140       ,880.000     ,0.000       ,0.199       ,14.59000      ,30            ,0.000           ,2.637         ,0.600               ,-0.002              ,0.004           ,24942.74805       ,0.00000               ,-0.001        ,5.280         ,5.280         ,0.140         ,0.128         
10:30:04.744240     ,0.879       ,0.880       ,20.175      ,14.600      ,14.600      ,14.391      ,0.199       ,0.205       ,0.000          ,0.000       ,-0.169      ,0.000       ,0.140       ,880.000     ,0.000       ,0.199       ,14.59000      ,30            ,0.000           ,2.637         ,1.000               ,-0.003              ,0.005           ,24942.74805       ,-0.00767              ,-0.002        ,5.280         ,5.280         ,0.150         ,0.140         
10:30:04.753153     ,0.879       ,0.880       ,20.175      ,14.610      ,14.610      ,14.391      ,0.209       ,0.210       ,0.000          ,0.000       ,0.187       ,0.000       ,0.150       ,880.000     ,0.000       ,0.209       ,14.60000      ,31            ,0.000           ,2.725         ,1.000               ,-0.003              ,0.006           ,24942.74805       ,0.00000               ,-0.002        ,5.280         ,5.280         ,0.150         ,0.149         
10:30:04.764162     ,0.879       ,0.880       ,20.175      ,14.630      ,14.630      ,14.391      ,0.219       ,0.216       ,0.000          ,0.000       ,0.447       ,0.000       ,0.160       ,880.000     ,0.000       ,0.219       ,14.61000      ,31            ,0.000           ,2.725         ,1.000               ,-0.003              ,0.006           ,24942.74805       ,-0.00767              ,-0.002        ,5.280         ,5.280         ,0.170         ,0.159         
