Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
15:32:43.346243     ,0.883       ,0.880       ,24.089      ,16.250      ,16.242      ,16.230      ,0.014       ,0.007       ,0.000       ,-0.000      ,0.002       ,880.000     ,0.014       ,16.243      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.000        
15:32:43.349990     ,0.883       ,0.880       ,24.089      ,16.250      ,16.242      ,16.230      ,0.012       ,0.006       ,0.000       ,-0.000      ,0.002       ,880.000     ,0.012       ,16.242      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.000        
15:32:43.364938     ,0.883       ,0.880       ,24.089      ,16.240      ,16.240      ,16.230      ,0.013       ,0.006       ,0.000       ,0.000       ,0.002       ,880.000     ,0.013       ,16.242      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.001        
15:32:43.373448     ,0.879       ,0.880       ,24.040      ,16.240      ,16.237      ,16.230      ,0.007       ,0.000       ,0.000       ,-0.000      ,-0.000      ,880.000     ,0.007       ,16.237      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.001        
15:32:43.386667     ,0.879       ,0.880       ,24.040      ,16.250      ,16.239      ,16.230      ,0.007       ,0.000       ,0.000       ,-0.000      ,-0.000      ,880.000     ,0.007       ,16.237      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.000        
15:32:43.389993     ,0.879       ,0.880       ,24.040      ,16.250      ,16.239      ,16.230      ,0.009       ,0.000       ,0.000       ,-0.000      ,0.000       ,880.000     ,0.009       ,16.239      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.000        
15:32:43.405282     ,0.879       ,0.880       ,24.040      ,16.250      ,16.239      ,16.230      ,0.010       ,0.000       ,0.000       ,-0.001      ,-0.000      ,880.000     ,0.010       ,16.239      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,0.001         
15:32:43.410000     ,0.879       ,0.880       ,24.040      ,16.260      ,16.242      ,16.230      ,0.009       ,0.000       ,0.000       ,-0.001      ,-0.000      ,880.000     ,0.009       ,16.239      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,0.001         
15:32:43.425983     ,0.879       ,0.880       ,24.040      ,16.250      ,16.242      ,16.230      ,0.012       ,0.006       ,0.000       ,0.000       ,0.002       ,880.000     ,0.012       ,16.242      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.001        
15:32:43.429998     ,0.879       ,0.880       ,24.040      ,16.250      ,16.241      ,16.230      ,0.012       ,0.006       ,0.000       ,-0.000      ,0.002       ,880.000     ,0.012       ,16.242      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.001        
15:32:43.445647     ,0.879       ,0.880       ,24.040      ,16.250      ,16.241      ,16.230      ,0.011       ,0.006       ,0.000       ,-0.000      ,0.002       ,880.000     ,0.011       ,16.241      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.000        
15:32:43.449993     ,0.879       ,0.880       ,24.040      ,16.250      ,16.242      ,16.230      ,0.012       ,0.006       ,0.000       ,0.000       ,0.002       ,880.000     ,0.012       ,16.241      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.000        
15:32:43.467519     ,0.879       ,0.880       ,24.040      ,16.250      ,16.242      ,16.230      ,0.013       ,0.006       ,0.000       ,0.000       ,0.002       ,880.000     ,0.013       ,16.242      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,0.001         
15:32:43.473485     ,0.876       ,0.880       ,23.909      ,16.250      ,16.242      ,16.230      ,0.012       ,0.006       ,0.000       ,0.000       ,0.002       ,880.000     ,0.012       ,16.242      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,0.001         
15:32:43.484978     ,0.876       ,0.880       ,23.909      ,16.250      ,16.242      ,16.230      ,0.012       ,0.006       ,0.000       ,0.000       ,0.002       ,880.000     ,0.012       ,16.242      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.000        
15:32:43.490042     ,0.876       ,0.880       ,23.909      ,16.240      ,16.240      ,16.230      ,0.013       ,0.006       ,0.000       ,-0.000      ,0.002       ,880.000     ,0.013       ,16.242      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.002         ,-0.000        
15:32:43.502577     ,0.876       ,0.880       ,23.909      ,16.240      ,16.237      ,16.230      ,0.010       ,0.000       ,0.000       ,-0.000      ,0.002       ,880.000     ,0.010       ,16.240      ,0.00000       ,98            ,8.613           ,0.000         ,-0.000              ,-0.000              ,23922.098       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,-0.001        
