Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,ADRC_KP     ,ADRC_PGain     ,ADRC_U0(Nm) ,ADRC_Z1(kg) ,ADRC_Z2(Nm) ,ADRC_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
16:07:52.133414     ,0.876       ,0.880       ,19.717      ,14.970      ,14.970      ,14.497      ,0.363       ,500.000     ,4.000          ,-745.483    ,0.373       ,8.203       ,-0.005      ,880.000     ,0.000       ,0.363       ,14.86000      ,2147483622    ,0.000           ,357.715       ,0.000               ,-0.000              ,0.000           ,24940.14648       ,0.00000               ,-0.000        ,5.280         ,5.280         ,-0.005        ,-0.009        
16:07:52.154018     ,0.876       ,0.880       ,19.717      ,14.900      ,14.900      ,14.497      ,0.473       ,500.000     ,4.000          ,-953.401    ,0.477       ,10.000      ,0.000       ,880.000     ,0.000       ,0.473       ,14.97000      ,2147483622    ,0.000           ,357.715       ,0.000               ,-0.000              ,0.000           ,24940.14648       ,0.00000               ,-0.000        ,5.280         ,5.280         ,0.000         ,-0.010        
16:07:52.177701     ,0.876       ,0.880       ,19.717      ,14.690      ,14.690      ,14.497      ,0.193       ,500.000     ,1.000          ,-103.501    ,0.207       ,-3.813      ,0.010       ,880.000     ,0.000       ,0.193       ,14.69000      ,2147483622    ,0.000           ,357.715       ,0.000               ,-0.000              ,0.000           ,24940.14648       ,0.00000               ,-0.000        ,5.280         ,5.280         ,0.010         ,0.009         
16:07:52.205911     ,0.876       ,0.880       ,19.717      ,14.650      ,14.650      ,14.497      ,0.193       ,500.000     ,1.000          ,-75.427     ,0.151       ,-5.249      ,0.015       ,880.000     ,0.000       ,0.193       ,14.69000      ,2147483622    ,0.000           ,357.715       ,0.000               ,-0.000              ,0.000           ,24940.14648       ,0.00000               ,-0.000        ,5.280         ,5.280         ,0.010         ,0.008         
16:07:52.231162     ,0.879       ,0.880       ,19.749      ,14.790      ,14.790      ,14.497      ,0.293       ,500.000     ,2.000          ,-281.573    ,0.282       ,1.077       ,0.020       ,880.000     ,0.000       ,0.293       ,14.79000      ,2147483622    ,0.000           ,357.715       ,0.000               ,-0.000              ,0.000           ,24940.14648       ,0.00000               ,-0.000        ,5.280         ,5.280         ,0.020         ,0.011         
16:07:52.247996     ,0.879       ,0.880       ,19.749      ,15.000      ,15.000      ,14.497      ,0.293       ,500.000     ,4.000          ,-893.454    ,0.447       ,7.515       ,0.025       ,880.000     ,0.000       ,0.293       ,14.79000      ,2147483622    ,0.000           ,357.715       ,0.000               ,-0.000              ,0.000           ,24940.14648       ,0.00000               ,-0.000        ,5.270         ,5.270         ,0.025         ,0.015         
16:07:52.255533     ,0.879       ,0.880       ,19.749      ,14.970      ,14.970      ,14.497      ,0.453       ,500.000     ,4.000          ,-893.454    ,0.447       ,7.515       ,0.025       ,880.000     ,0.000       ,0.453       ,14.95000      ,2147483623    ,0.000           ,357.803       ,0.000               ,-0.000              ,-0.000          ,24940.14648       ,0.00000               ,0.000         ,5.270         ,5.270         ,0.030         ,0.025         
16:07:52.283450     ,0.879       ,0.880       ,19.749      ,15.190      ,15.190      ,14.497      ,0.463       ,500.000     ,2.000          ,-470.495    ,0.470       ,5.587       ,0.035       ,880.000     ,0.000       ,0.463       ,14.96000      ,2147483624    ,0.000           ,357.891       ,0.000               ,-0.000              ,0.000           ,24940.14648       ,0.00000               ,-0.000        ,5.260         ,5.260         ,0.035         ,0.020         
16:07:52.296199     ,0.879       ,0.880       ,19.749      ,15.190      ,15.190      ,14.497      ,0.463       ,500.000     ,2.000          ,-470.495    ,0.470       ,5.587       ,0.035       ,880.000     ,0.000       ,0.463       ,14.96000      ,2147483626    ,0.000           ,358.066       ,0.200               ,-0.001              ,0.000           ,24940.14844       ,0.00000               ,-0.000        ,5.220         ,5.220         ,0.035         ,0.027         
16:07:52.303791     ,0.879       ,0.880       ,19.749      ,15.210      ,15.210      ,14.497      ,0.693       ,500.000     ,4.000          ,-1443.111   ,0.722       ,9.342       ,0.045       ,880.000     ,0.000       ,0.693       ,15.19000      ,2147483627    ,0.001           ,358.154       ,0.600               ,-0.002              ,0.001           ,24940.14844       ,-0.01534              ,-0.000        ,5.220         ,5.220         ,0.045         ,0.022         
16:07:52.314603     ,0.879       ,0.880       ,19.749      ,15.320      ,15.320      ,14.497      ,0.713       ,500.000     ,4.000          ,-1443.111   ,0.722       ,9.342       ,0.045       ,880.000     ,0.000       ,0.713       ,15.21000      ,2147483629    ,0.001           ,358.330       ,1.000               ,-0.003              ,0.001           ,24940.15039       ,-0.00767              ,-0.000        ,5.240         ,5.240         ,0.050         ,0.050         
16:07:52.344449     ,0.879       ,0.880       ,19.749      ,15.180      ,15.180      ,14.497      ,0.823       ,500.000     ,4.000          ,-1655.583   ,0.828       ,10.000      ,0.050       ,880.000     ,0.000       ,0.823       ,15.32000      ,2147483635    ,0.001           ,358.857       ,1.400               ,-0.005              ,0.002           ,24940.15234       ,-0.01533              ,-0.001        ,5.230         ,5.230         ,0.050         ,0.050         
16:07:52.353420     ,0.879       ,0.880       ,19.749      ,15.210      ,15.210      ,14.497      ,0.713       ,500.000     ,2.000          ,-727.075    ,0.727       ,2.264       ,0.060       ,880.000     ,0.000       ,0.713       ,15.21000      ,2147483638    ,0.001           ,359.121       ,2.000               ,-0.007              ,0.005           ,24940.15430       ,-0.02302              ,-0.002        ,5.230         ,5.230         ,0.060         ,0.060         
