Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
10:11:01.391666     ,0.876       ,0.880       ,20.011      ,15.340      ,15.340      ,15.674      ,-0.334      ,-0.331      ,0.000          ,0.000       ,-6.765      ,0.000       ,0.020       ,880.000     ,0.000       ,-0.334      ,15.34000      ,9324          ,-0.007          ,99.492        ,0.000               ,-0.000              ,0.000           ,25541.63281       ,0.00000               ,-0.000        ,5.720         ,5.720         ,0.020         ,0.019         
10:11:01.401656     ,0.876       ,0.880       ,20.011      ,15.210      ,15.210      ,15.674      ,-0.464      ,-0.472      ,0.000          ,0.000       ,-8.286      ,0.000       ,0.010       ,880.000     ,0.000       ,-0.464      ,15.21000      ,9324          ,-0.007          ,99.492        ,0.000               ,-0.000              ,0.000           ,25541.63281       ,0.00000               ,-0.000        ,5.730         ,5.730         ,0.010         ,0.006         
10:11:01.425218     ,0.879       ,0.880       ,20.011      ,15.030      ,15.030      ,15.674      ,-0.644      ,-0.664      ,0.000          ,0.000       ,-8.261      ,0.000       ,-0.010      ,880.000     ,0.000       ,-0.644      ,15.03000      ,9321          ,-0.007          ,99.229        ,0.000               ,-0.000              ,-0.001          ,25541.63281       ,0.01536               ,0.000         ,5.730         ,5.730         ,-0.010        ,0.000         
10:11:01.431624     ,0.879       ,0.880       ,20.011      ,15.030      ,15.030      ,15.674      ,-0.644      ,-0.661      ,0.000          ,0.000       ,-6.595      ,0.000       ,-0.020      ,880.000     ,0.000       ,-0.644      ,15.03000      ,9319          ,-0.007          ,99.053        ,-0.400              ,0.001               ,-0.003          ,25541.63086       ,0.01533               ,0.001         ,5.730         ,5.730         ,-0.020        ,-0.011        
10:11:01.441699     ,0.879       ,0.880       ,20.011      ,14.970      ,14.970      ,15.674      ,-0.704      ,-0.715      ,0.000          ,0.000       ,-6.406      ,0.000       ,-0.030      ,880.000     ,0.000       ,-0.704      ,14.97000      ,9317          ,-0.007          ,98.877        ,-0.800              ,0.003               ,-0.005          ,25541.63086       ,0.01535               ,0.002         ,5.730         ,5.730         ,-0.030        ,-0.018        
10:11:01.451695     ,0.879       ,0.880       ,20.011      ,15.030      ,15.030      ,15.674      ,-0.644      ,-0.660      ,0.000          ,0.000       ,-4.056      ,0.000       ,-0.040      ,880.000     ,0.000       ,-0.644      ,15.03000      ,9314          ,-0.008          ,98.613        ,-1.000              ,0.003               ,-0.007          ,25541.62891       ,0.02298               ,0.002         ,5.730         ,5.730         ,-0.040        ,-0.041        
10:11:01.471659     ,0.879       ,0.880       ,20.011      ,15.260      ,15.260      ,15.674      ,-0.414      ,-0.421      ,0.000          ,0.000       ,1.611       ,0.000       ,-0.060      ,880.000     ,0.000       ,-0.414      ,15.26000      ,9306          ,-0.008          ,97.910        ,-1.600              ,0.006               ,-0.016          ,25541.62500       ,0.03070               ,0.005         ,5.730         ,5.730         ,-0.060        ,-0.048        
10:11:01.490135     ,0.879       ,0.880       ,20.011      ,15.250      ,15.250      ,15.674      ,-0.424      ,-0.421      ,0.000          ,0.000       ,1.242       ,0.000       ,-0.070      ,880.000     ,0.000       ,-0.424      ,15.25000      ,9301          ,-0.009          ,97.471        ,-2.400              ,0.008               ,-0.021          ,25541.62305       ,0.03834               ,0.007         ,5.730         ,5.730         ,-0.070        ,-0.061        
10:11:01.491691     ,0.879       ,0.880       ,20.011      ,15.220      ,15.220      ,15.674      ,-0.454      ,-0.450      ,0.000          ,0.000       ,0.355       ,0.000       ,-0.080      ,880.000     ,0.000       ,-0.454      ,15.22000      ,9295          ,-0.009          ,96.943        ,-3.200              ,0.011               ,-0.028          ,25541.62305       ,0.04601               ,0.009         ,5.730         ,5.730         ,-0.080        ,-0.071        
10:11:01.501642     ,0.879       ,0.880       ,20.011      ,15.210      ,15.210      ,15.674      ,-0.464      ,-0.463      ,0.000          ,0.000       ,-0.014      ,0.000       ,-0.090      ,880.000     ,0.000       ,-0.464      ,15.21000      ,9288          ,-0.010          ,96.328        ,-4.200              ,0.015               ,-0.036          ,25541.61914       ,0.05372               ,0.012         ,5.730         ,5.730         ,-0.090        ,-0.093        
10:11:01.521646     ,0.879       ,0.880       ,20.011      ,15.310      ,15.310      ,15.674      ,-0.304      ,-0.303      ,0.000          ,0.000       ,2.724       ,0.000       ,-0.110      ,880.000     ,0.000       ,-0.304      ,15.37000      ,9281          ,-0.010          ,95.713        ,-6.000              ,0.021               ,-0.055          ,25541.61328       ,0.06134               ,0.018         ,5.730         ,5.730         ,-0.110        ,-0.109        
10:11:01.531666     ,0.879       ,0.880       ,20.011      ,15.430      ,15.430      ,15.674      ,-0.244      ,-0.241      ,0.000          ,0.000       ,3.371       ,0.000       ,-0.120      ,880.000     ,0.000       ,-0.244      ,15.43000      ,9264          ,-0.011          ,94.219        ,-7.200              ,0.025               ,-0.066          ,25541.60938       ,0.06898               ,0.022         ,5.730         ,5.730         ,-0.120        ,-0.121        
10:11:01.555260     ,0.881       ,0.880       ,20.011      ,15.440      ,15.440      ,15.674      ,-0.164      ,-0.161      ,0.000          ,0.000       ,3.623       ,0.000       ,-0.140      ,880.000     ,0.000       ,-0.164      ,15.51000      ,9254          ,-0.012          ,93.340        ,-9.000              ,0.031               ,-0.091          ,25541.60352       ,0.08432               ,0.030         ,5.720         ,5.720         ,-0.140        ,-0.131        
