Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
15:36:29.412764     ,0.883       ,0.880       ,21.043      ,15.680      ,15.680      ,15.702      ,-0.022      ,0.017       ,0.000          ,0.000       ,-0.733      ,0.000       ,0.110       ,880.000     ,0.000       ,-0.022      ,15.68000      ,9391          ,-0.002          ,105.381       ,0.000               ,-0.000              ,0.000           ,25445.31836       ,0.00000               ,-0.000        ,5.760         ,5.760         ,0.110         ,0.108         
15:36:29.424507     ,0.883       ,0.880       ,21.043      ,15.620      ,15.620      ,15.702      ,-0.072      ,-0.007      ,0.000          ,0.000       ,-1.381      ,0.000       ,0.100       ,880.000     ,0.000       ,-0.072      ,15.63000      ,9392          ,-0.002          ,105.469       ,0.000               ,-0.000              ,0.000           ,25445.31836       ,-0.00767              ,-0.000        ,5.760         ,5.760         ,0.090         ,0.099         
15:36:29.439112     ,0.883       ,0.880       ,21.043      ,15.600      ,15.600      ,15.702      ,-0.102      ,-0.041      ,0.000          ,0.000       ,-1.750      ,0.000       ,0.080       ,880.000     ,0.000       ,-0.102      ,15.60000      ,9392          ,-0.002          ,105.469       ,0.000               ,-0.000              ,0.001           ,25445.31836       ,0.00000               ,-0.000        ,5.760         ,5.760         ,0.080         ,0.079         
15:36:29.459227     ,0.883       ,0.880       ,21.043      ,15.530      ,15.530      ,15.702      ,-0.172      ,-0.091      ,0.000          ,0.000       ,-2.242      ,0.000       ,0.060       ,880.000     ,0.000       ,-0.172      ,15.53000      ,9393          ,-0.002          ,105.557       ,0.000               ,-0.000              ,0.002           ,25445.31836       ,0.00000               ,-0.001        ,5.760         ,5.760         ,0.060         ,0.060         
15:36:29.474450     ,0.883       ,0.880       ,21.043      ,15.240      ,15.240      ,15.702      ,-0.462      ,-0.236      ,0.000          ,0.000       ,-5.907      ,0.000       ,0.040       ,880.000     ,0.000       ,-0.462      ,15.24000      ,9393          ,-0.002          ,105.557       ,0.000               ,-0.000              ,0.002           ,25445.31836       ,0.00000               ,-0.001        ,5.760         ,5.760         ,0.040         ,0.050         
15:36:29.484600     ,0.883       ,0.880       ,21.043      ,15.100      ,15.100      ,15.702      ,-0.602      ,-0.322      ,0.000          ,0.000       ,-7.245      ,0.000       ,0.030       ,880.000     ,0.000       ,-0.602      ,15.10000      ,9393          ,-0.002          ,105.557       ,0.000               ,-0.000              ,0.003           ,25445.31641       ,0.00000               ,-0.001        ,5.760         ,5.760         ,0.030         ,0.041         
15:36:29.499107     ,0.883       ,0.880       ,21.043      ,15.180      ,15.180      ,15.702      ,-0.522      ,-0.338      ,0.000          ,0.000       ,-4.803      ,0.000       ,0.020       ,880.000     ,0.000       ,-0.522      ,15.18000      ,9391          ,-0.002          ,105.381       ,0.000               ,-0.000              ,0.003           ,25445.31641       ,0.01533               ,-0.001        ,5.770         ,5.770         ,0.020         ,0.020         
15:36:29.519118     ,0.883       ,0.880       ,21.043      ,15.190      ,15.190      ,15.702      ,-0.512      ,-0.382      ,0.000          ,0.000       ,-3.496      ,0.000       ,0.000       ,880.000     ,0.000       ,-0.512      ,15.19000      ,9387          ,-0.002          ,105.029       ,-0.600              ,0.002               ,-0.000          ,25445.31445       ,0.01535               ,0.000         ,5.770         ,5.770         ,0.000         ,0.000         
15:36:29.534623     ,0.883       ,0.880       ,21.043      ,15.120      ,15.120      ,15.702      ,-0.582      ,-0.455      ,0.000          ,0.000       ,-3.385      ,0.000       ,-0.020      ,880.000     ,0.000       ,-0.582      ,15.12000      ,9382          ,-0.003          ,104.590       ,-1.200              ,0.004               ,-0.006          ,25445.31445       ,0.02299               ,0.002         ,5.770         ,5.770         ,-0.020        ,-0.003        
15:36:29.549157     ,0.883       ,0.880       ,21.043      ,15.140      ,15.140      ,15.702      ,-0.562      ,-0.468      ,0.000          ,0.000       ,-2.560      ,0.000       ,-0.030      ,880.000     ,0.000       ,-0.562      ,15.14000      ,9378          ,-0.003          ,104.238       ,-1.800              ,0.006               ,-0.010          ,25445.31250       ,0.03069               ,0.003         ,5.770         ,5.770         ,-0.030        ,-0.029        
