Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
15:38:29.923514     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:29.943485     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:29.963483     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:29.983473     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.003478     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.023475     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.043477     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.063484     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.083479     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.103482     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.123505     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.143497     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.163480     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.183479     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.203490     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.223479     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.243496     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.263482     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.283476     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.303476     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.323484     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.343484     ,0.000       ,0.000       ,5.280       ,5.280       ,0.000       ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.363481     ,0.000       ,0.000       ,5.300       ,5.280       ,-0.001      ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.383478     ,0.000       ,0.000       ,5.300       ,5.280       ,-0.003      ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.403486     ,0.000       ,0.000       ,5.300       ,5.280       ,-0.006      ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.423480     ,0.000       ,0.000       ,5.300       ,5.280       ,-0.009      ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
15:38:30.443487     ,0.000       ,0.000       ,5.300       ,5.280       ,-0.012      ,-0.00023      ,1009          ,88.682          ,0.000         ,-0.000              ,0.000               ,-3703.214       ,0.00000           ,0.00000               
