Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
14:13:33.042929     ,0.878       ,0.880       ,18.963      ,16.240      ,16.232      ,16.212      ,0.020       ,0.007       ,0.025       ,-0.000      ,0.032       ,880.000     ,0.000       ,0.020       ,16.232      ,0.35021       ,4613          ,45.439          ,0.000         ,-0.000              ,-0.000              ,24338.076       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.032         ,0.028         
14:13:33.052944     ,0.878       ,0.880       ,18.963      ,16.250      ,16.233      ,16.212      ,0.020       ,0.007       ,0.025       ,0.000       ,0.032       ,880.000     ,0.000       ,0.020       ,16.233      ,0.35021       ,4613          ,45.439          ,0.000         ,-0.000              ,-0.000              ,24338.076       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.032         ,0.029         
14:13:33.062927     ,0.878       ,0.880       ,18.963      ,16.240      ,16.232      ,16.212      ,0.019       ,0.006       ,0.026       ,-0.000      ,0.032       ,880.000     ,0.000       ,0.019       ,16.232      ,0.35021       ,4613          ,45.439          ,0.000         ,-0.000              ,-0.000              ,24338.076       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.032         ,0.029         
14:13:33.072932     ,0.878       ,0.880       ,18.963      ,16.240      ,16.232      ,16.212      ,0.019       ,0.006       ,0.026       ,0.000       ,0.032       ,880.000     ,0.000       ,0.019       ,16.232      ,0.35021       ,4613          ,45.439          ,0.000         ,-0.000              ,-0.000              ,24338.076       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.032         ,0.029         
14:13:33.082921     ,0.878       ,0.880       ,18.963      ,16.240      ,16.232      ,16.212      ,0.020       ,0.007       ,0.026       ,0.000       ,0.032       ,880.000     ,0.000       ,0.020       ,16.232      ,0.35021       ,4613          ,45.439          ,0.000         ,-0.000              ,-0.000              ,24338.076       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.032         ,0.028         
14:13:33.092929     ,0.878       ,0.880       ,18.963      ,16.220      ,16.230      ,16.212      ,0.018       ,0.006       ,0.026       ,-0.000      ,0.032       ,880.000     ,0.000       ,0.018       ,16.230      ,0.35021       ,4613          ,45.439          ,0.000         ,-0.000              ,-0.000              ,24338.076       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.032         ,0.017         
14:13:33.102936     ,0.878       ,0.880       ,18.963      ,16.220      ,16.226      ,16.212      ,0.014       ,0.005       ,0.026       ,-0.000      ,0.031       ,880.000     ,0.000       ,0.014       ,16.226      ,0.35021       ,4613          ,45.439          ,0.000         ,-0.000              ,-0.000              ,24338.076       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.031         ,0.028         
14:13:33.112942     ,0.878       ,0.880       ,18.963      ,16.220      ,16.224      ,16.212      ,0.012       ,0.004       ,0.026       ,0.000       ,0.030       ,880.000     ,0.000       ,0.012       ,16.224      ,0.35021       ,4613          ,45.439          ,0.000         ,-0.000              ,-0.000              ,24338.076       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.030         ,0.027         
14:13:33.126489     ,0.879       ,0.880       ,18.963      ,16.240      ,16.225      ,16.212      ,0.012       ,0.004       ,0.026       ,0.000       ,0.030       ,880.000     ,0.000       ,0.012       ,16.225      ,0.35021       ,4613          ,45.439          ,0.000         ,-0.000              ,-0.000              ,24338.076       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.030         ,0.027         
14:13:33.132921     ,0.879       ,0.880       ,18.963      ,16.220      ,16.219      ,16.212      ,0.007       ,0.002       ,0.026       ,-0.000      ,0.029       ,880.000     ,0.000       ,0.007       ,16.219      ,0.35021       ,4613          ,45.439          ,0.000         ,-0.000              ,-0.000              ,24338.076       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.029         ,0.027         
