Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m)   ,EncoderValue  ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
11:33:10.781862     ,0.883       ,0.000       ,19.668      ,6.080       ,6.080       ,6.080       ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,-0.001        
11:33:10.791825     ,0.883       ,0.000       ,19.668      ,6.080       ,6.080       ,6.080       ,0.000       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,-0.001        
11:33:10.801940     ,0.883       ,0.000       ,19.668      ,6.070       ,6.070       ,6.077       ,-0.007      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,-0.001        
11:33:10.813834     ,0.883       ,0.000       ,19.668      ,6.070       ,6.070       ,6.075       ,-0.005      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,-0.001        
11:33:10.822762     ,0.883       ,0.000       ,19.668      ,6.070       ,6.070       ,6.074       ,-0.004      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,-0.001        
11:33:10.836370     ,0.876       ,0.000       ,19.668      ,6.080       ,6.080       ,6.075       ,0.005       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,-0.003        
11:33:10.851838     ,0.876       ,0.000       ,19.668      ,6.080       ,6.080       ,6.076       ,0.004       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,-0.001        
11:33:10.861945     ,0.876       ,0.000       ,19.668      ,6.070       ,6.070       ,6.075       ,-0.005      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,0.000         
11:33:10.871720     ,0.876       ,0.000       ,19.668      ,6.070       ,6.070       ,6.074       ,-0.004      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,-0.003        
11:33:10.881791     ,0.876       ,0.000       ,19.668      ,6.080       ,6.080       ,6.075       ,0.005       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,-0.001        
11:33:10.892628     ,0.876       ,0.000       ,19.668      ,6.070       ,6.070       ,6.075       ,-0.005      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,0.000         
11:33:10.901816     ,0.876       ,0.000       ,19.668      ,6.080       ,6.080       ,6.075       ,0.005       ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,-0.001        
11:33:10.913888     ,0.876       ,0.000       ,19.668      ,6.070       ,6.070       ,6.075       ,-0.005      ,0.000       ,0.000          ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147476669    ,-0.710          ,106.611       ,0.000               ,-0.000              ,0.000           ,25745.25195       ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         ,0.004         
