Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m)   ,EncoderValue  ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
15:04:25.315215     ,0.879       ,0.880       ,18.783      ,14.100      ,14.100      ,14.110      ,-0.010      ,-0.003      ,-0.003         ,-0.003      ,-0.007      ,0.000       ,-0.010      ,880.000     ,0.000       ,-0.010      ,14.10000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.010        ,-0.008        
15:04:25.325206     ,0.879       ,0.880       ,18.783      ,14.100      ,14.100      ,14.110      ,-0.010      ,-0.003      ,-0.003         ,-0.003      ,-0.008      ,0.000       ,-0.011      ,880.000     ,0.000       ,-0.010      ,14.10000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.011        ,-0.009        
15:04:25.335229     ,0.879       ,0.880       ,18.783      ,14.090      ,14.090      ,14.110      ,-0.020      ,-0.004      ,-0.004         ,-0.007      ,-0.008      ,-0.000      ,-0.012      ,880.000     ,0.000       ,-0.020      ,14.09000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.012        ,-0.011        
15:04:25.345254     ,0.879       ,0.880       ,18.783      ,14.090      ,14.090      ,14.110      ,-0.020      ,-0.005      ,-0.005         ,-0.007      ,-0.008      ,0.000       ,-0.013      ,880.000     ,0.000       ,-0.020      ,14.09000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.013        ,-0.008        
15:04:25.355220     ,0.879       ,0.880       ,18.783      ,14.100      ,14.100      ,14.110      ,-0.010      ,-0.004      ,-0.004         ,-0.003      ,-0.008      ,0.000       ,-0.013      ,880.000     ,0.000       ,-0.010      ,14.10000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.013        ,-0.008        
15:04:25.368766     ,0.879       ,0.880       ,18.832      ,14.130      ,14.130      ,14.110      ,0.020       ,-0.001      ,-0.001         ,0.007       ,-0.008      ,0.000       ,-0.009      ,880.000     ,0.000       ,0.020       ,14.13000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.009        ,-0.019        
15:04:25.375200     ,0.879       ,0.880       ,18.832      ,14.130      ,14.130      ,14.110      ,0.020       ,0.001       ,0.001          ,0.007       ,-0.008      ,-0.000      ,-0.007      ,880.000     ,0.000       ,0.020       ,14.13000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.007        ,-0.019        
15:04:25.385203     ,0.879       ,0.880       ,18.832      ,14.130      ,14.130      ,14.110      ,0.020       ,0.003       ,0.003          ,0.007       ,-0.007      ,0.000       ,-0.005      ,880.000     ,0.000       ,0.020       ,14.13000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.005        ,-0.008        
15:04:25.395209     ,0.879       ,0.880       ,18.832      ,14.100      ,14.100      ,14.110      ,-0.010      ,0.001       ,0.001          ,-0.003      ,-0.008      ,-0.000      ,-0.007      ,880.000     ,0.000       ,-0.010      ,14.10000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.007        ,-0.004        
15:04:25.405215     ,0.879       ,0.880       ,18.832      ,14.100      ,14.100      ,14.110      ,-0.010      ,-0.000      ,-0.000         ,-0.003      ,-0.008      ,0.000       ,-0.008      ,880.000     ,0.000       ,-0.010      ,14.10000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.008        ,-0.009        
15:04:25.415209     ,0.879       ,0.880       ,18.832      ,14.090      ,14.090      ,14.110      ,-0.020      ,-0.002      ,-0.002         ,-0.007      ,-0.008      ,-0.000      ,-0.010      ,880.000     ,0.000       ,-0.020      ,14.09000      ,2             ,0.000           ,0.176         ,0.000               ,-0.000              ,0.000           ,25210.88281       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.010        ,-0.006        
