Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
10:36:10.669316     ,0.000       ,0.000       ,5.270       ,5.301       ,0.015       ,0.00238       ,2147481544    ,175.078         ,-6.000        ,0.021               ,0.094               ,-4610.035       ,0.00000           ,-0.01074              
10:36:10.689311     ,0.000       ,0.000       ,5.340       ,5.301       ,0.017       ,0.00230       ,2147481543    ,174.990         ,-10.000       ,0.035               ,0.097               ,-4610.042       ,0.00000           ,-0.00767              
10:36:10.709303     ,0.000       ,0.000       ,5.340       ,5.301       ,0.015       ,0.00207       ,2147481540    ,174.727         ,-11.000       ,0.038               ,0.101               ,-4610.047       ,0.00384           ,-0.00384              
10:36:10.729317     ,0.000       ,0.000       ,5.340       ,5.301       ,0.012       ,0.00184       ,2147481537    ,174.463         ,-12.000       ,0.042               ,0.105               ,-4610.051       ,0.01150           ,0.00077               
10:36:10.749296     ,0.000       ,0.000       ,5.340       ,5.301       ,0.012       ,0.00153       ,2147481533    ,174.111         ,-12.000       ,0.042               ,0.105               ,-4610.057       ,0.01150           ,0.00077               
10:36:10.769287     ,0.000       ,0.000       ,5.340       ,5.301       ,0.008       ,0.00123       ,2147481529    ,173.760         ,-13.000       ,0.045               ,0.110               ,-4610.062       ,0.01151           ,0.00537               
10:36:10.789305     ,0.000       ,0.000       ,5.360       ,5.301       ,0.003       ,0.00084       ,2147481524    ,173.320         ,-14.000       ,0.049               ,0.113               ,-4610.068       ,0.01535           ,0.00844               
10:36:10.809316     ,0.000       ,0.000       ,5.360       ,5.301       ,-0.003      ,0.00046       ,2147481519    ,172.881         ,-14.000       ,0.049               ,-0.092              ,-4610.070       ,0.01918           ,0.01228               
10:36:10.829332     ,0.000       ,0.000       ,5.360       ,5.301       ,-0.009      ,0.00015       ,2147481515    ,172.529         ,-8.000        ,0.028               ,-0.089              ,-4610.061       ,0.01917           ,0.01534               
10:36:10.849301     ,0.000       ,0.000       ,5.360       ,5.301       ,-0.009      ,-0.00008      ,2147481512    ,172.266         ,-3.000        ,0.010               ,-0.089              ,-4610.051       ,0.01917           ,0.01534               
10:36:10.869298     ,0.000       ,0.000       ,5.360       ,5.301       ,-0.014      ,-0.00031      ,2147481509    ,172.002         ,2.000         ,-0.007              ,-0.089              ,-4610.042       ,0.01534           ,0.01611               
10:36:10.889313     ,0.000       ,0.000       ,5.280       ,5.301       ,-0.014      ,-0.00038      ,2147481508    ,171.914         ,6.000         ,-0.021              ,-0.089              ,-4610.034       ,0.01534           ,0.01611               
10:36:10.909291     ,0.000       ,0.000       ,5.280       ,5.301       ,-0.019      ,-0.00038      ,2147481508    ,171.914         ,9.000         ,-0.031              ,-0.089              ,-4610.028       ,0.01150           ,0.01611               
10:36:10.929296     ,0.000       ,0.000       ,5.280       ,5.301       ,-0.020      ,-0.00038      ,2147481508    ,171.914         ,11.000        ,-0.038              ,-0.091              ,-4610.023       ,0.00384           ,0.01380               
10:36:10.949324     ,0.000       ,0.000       ,5.280       ,5.301       ,-0.020      ,-0.00031      ,2147481509    ,172.002         ,11.000        ,-0.038              ,-0.095              ,-4610.021       ,0.00000           ,0.00997               
10:36:10.969301     ,0.000       ,0.000       ,5.280       ,5.301       ,-0.017      ,-0.00008      ,2147481512    ,172.266         ,11.000        ,-0.038              ,-0.099              ,-4610.017       ,0.00000           ,0.00613               
