Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,ADRC_KP     ,ADRC_PGain     ,ADRC_U0(Nm) ,ADRC_Z1(kg) ,ADRC_Z2(Nm) ,ADRC_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
09:38:21.247913     ,0.000       ,0.880       ,0.000       ,15.680      ,15.680      ,15.739      ,-0.019      ,500.000     ,1.000          ,10.241      ,-0.020      ,1.354       ,0.015       ,880.000     ,0.000       ,-0.019      ,15.72000      ,0             ,0.000           ,0.000         ,1.000               ,-0.003              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.015         ,0.023         
09:38:21.248044     ,0.000       ,0.880       ,0.000       ,15.720      ,15.720      ,15.739      ,-0.019      ,500.000     ,1.000          ,10.241      ,-0.020      ,1.354       ,0.015       ,880.000     ,0.000       ,-0.019      ,15.72000      ,0             ,0.000           ,0.000         ,1.000               ,-0.003              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.015         ,0.023         
09:38:21.252253     ,0.000       ,0.880       ,0.000       ,15.780      ,15.780      ,15.739      ,0.041       ,500.000     ,1.000          ,-20.222     ,0.040       ,3.473       ,0.020       ,880.000     ,0.000       ,0.041       ,15.78000      ,0             ,0.000           ,0.000         ,1.000               ,-0.003              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.020         ,0.023         
09:38:21.257424     ,0.000       ,0.880       ,0.000       ,15.840      ,15.840      ,15.739      ,0.101       ,500.000     ,1.000          ,-51.064     ,0.102       ,5.293       ,0.025       ,880.000     ,0.000       ,0.101       ,15.84000      ,0             ,0.000           ,0.000         ,0.800               ,-0.003              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.025         ,0.013         
09:38:21.263404     ,0.000       ,0.880       ,0.000       ,15.850      ,15.850      ,15.739      ,0.111       ,500.000     ,1.000          ,-58.008     ,0.116       ,4.837       ,0.030       ,880.000     ,0.000       ,0.111       ,15.85000      ,0             ,0.000           ,0.000         ,0.400               ,-0.001              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.030         ,0.020         
09:38:21.269421     ,0.000       ,0.880       ,0.000       ,15.810      ,15.810      ,15.739      ,0.071       ,500.000     ,1.000          ,-38.857     ,0.078       ,2.385       ,0.035       ,880.000     ,0.000       ,0.071       ,15.81000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.035         ,0.020         
09:38:21.275501     ,0.000       ,0.880       ,0.000       ,15.860      ,15.860      ,15.739      ,0.121       ,500.000     ,1.000          ,-60.865     ,0.122       ,3.716       ,0.040       ,880.000     ,0.000       ,0.121       ,15.86000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.040         ,0.029         
09:38:21.281579     ,0.000       ,0.880       ,0.000       ,15.890      ,15.890      ,15.739      ,0.151       ,500.000     ,1.000          ,-76.811     ,0.154       ,4.296       ,0.045       ,880.000     ,0.000       ,0.151       ,15.89000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.045         ,0.033         
09:38:21.282250     ,0.000       ,0.880       ,0.000       ,15.830      ,15.830      ,15.739      ,0.091       ,500.000     ,1.000          ,-48.939     ,0.098       ,1.254       ,0.050       ,880.000     ,0.000       ,0.091       ,15.83000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.050         ,0.033         
09:38:21.287621     ,0.000       ,0.880       ,0.000       ,15.770      ,15.770      ,15.739      ,0.031       ,500.000     ,1.000          ,-17.503     ,0.035       ,-1.464      ,0.055       ,880.000     ,0.000       ,0.031       ,15.77000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.055         ,0.047         
09:38:21.297921     ,0.000       ,0.880       ,0.000       ,15.720      ,15.720      ,15.739      ,-0.029      ,500.000     ,1.000          ,15.637      ,-0.031      ,-3.172      ,0.045       ,880.000     ,0.000       ,-0.029      ,15.71000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.045         ,0.050         
09:38:21.297997     ,0.000       ,0.880       ,0.000       ,15.710      ,15.710      ,15.739      ,-0.029      ,500.000     ,1.000          ,15.637      ,-0.031      ,-3.172      ,0.045       ,880.000     ,0.000       ,-0.029      ,15.71000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.045         ,0.050         
09:38:21.303656     ,0.000       ,0.880       ,0.000       ,15.590      ,15.590      ,15.739      ,-0.149      ,500.000     ,1.000          ,73.457      ,-0.147      ,-7.210      ,0.040       ,880.000     ,0.000       ,-0.149      ,15.59000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.040         ,0.043         
09:38:21.309683     ,0.000       ,0.880       ,0.000       ,15.550      ,15.550      ,15.739      ,-0.189      ,500.000     ,1.000          ,96.989      ,-0.194      ,-7.698      ,0.035       ,880.000     ,0.000       ,-0.189      ,15.55000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.035         ,0.039         
09:38:21.315902     ,0.000       ,0.880       ,0.000       ,15.590      ,15.590      ,15.739      ,-0.149      ,500.000     ,1.000          ,78.974      ,-0.158      ,-4.765      ,0.030       ,880.000     ,0.000       ,-0.149      ,15.59000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.030         ,0.044         
09:38:21.317252     ,0.000       ,0.880       ,0.000       ,15.610      ,15.610      ,15.739      ,-0.129      ,500.000     ,1.000          ,67.187      ,-0.134      ,-2.916      ,0.025       ,880.000     ,0.000       ,-0.129      ,15.61000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.025         ,0.044         
09:38:21.322278     ,0.000       ,0.880       ,0.000       ,15.650      ,15.650      ,15.739      ,-0.089      ,500.000     ,1.000          ,46.591      ,-0.093      ,-0.732      ,0.020       ,880.000     ,0.000       ,-0.089      ,15.65000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.020         ,0.033         
09:38:21.328007     ,0.000       ,0.880       ,0.000       ,15.650      ,15.650      ,15.739      ,-0.089      ,500.000     ,1.000          ,44.675      ,-0.089      ,-0.480      ,0.015       ,880.000     ,0.000       ,-0.089      ,15.65000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.015         ,0.023         
09:38:21.332253     ,0.000       ,0.880       ,0.000       ,15.720      ,15.720      ,15.739      ,-0.019      ,500.000     ,1.000          ,10.872      ,-0.022      ,2.273       ,0.010       ,880.000     ,0.000       ,-0.019      ,15.72000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.010         ,0.023         
09:38:21.338076     ,0.000       ,0.880       ,0.000       ,15.750      ,15.750      ,15.739      ,0.011       ,500.000     ,1.000          ,-6.256      ,0.013       ,3.142       ,0.015       ,880.000     ,0.000       ,0.011       ,15.75000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.015         ,0.022         
09:38:21.349716     ,0.000       ,0.880       ,0.000       ,15.780      ,15.780      ,15.739      ,0.041       ,500.000     ,1.000          ,-22.471     ,0.045       ,3.148       ,0.025       ,880.000     ,0.000       ,0.041       ,15.78000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.025         ,0.014         
09:38:21.356107     ,0.000       ,0.880       ,0.000       ,15.830      ,15.830      ,15.739      ,0.091       ,500.000     ,1.000          ,-46.191     ,0.092       ,4.463       ,0.030       ,880.000     ,0.000       ,0.091       ,15.83000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.030         ,0.011         
09:38:21.356787     ,0.000       ,0.880       ,0.000       ,15.850      ,15.850      ,15.739      ,0.091       ,500.000     ,1.000          ,-46.191     ,0.092       ,4.463       ,0.030       ,880.000     ,0.000       ,0.091       ,15.83000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.030         ,0.011         
09:38:21.357259     ,0.000       ,0.880       ,0.000       ,15.850      ,15.850      ,15.739      ,0.111       ,500.000     ,1.000          ,-57.398     ,0.115       ,4.515       ,0.035       ,880.000     ,0.000       ,0.111       ,15.85000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.035         ,0.011         
09:38:21.362259     ,0.000       ,0.880       ,0.000       ,15.790      ,15.790      ,15.739      ,0.051       ,500.000     ,1.000          ,-29.071     ,0.058       ,1.393       ,0.040       ,880.000     ,0.000       ,0.051       ,15.79000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.040         ,0.020         
09:38:21.368088     ,0.000       ,0.880       ,0.000       ,15.740      ,15.740      ,15.739      ,0.001       ,500.000     ,1.000          ,-2.377      ,0.005       ,-0.974      ,0.045       ,880.000     ,0.000       ,0.001       ,15.74000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.045         ,0.036         
09:38:21.372264     ,0.000       ,0.880       ,0.000       ,15.690      ,15.690      ,15.739      ,-0.049      ,500.000     ,1.000          ,23.874      ,-0.048      ,-2.832      ,0.040       ,880.000     ,0.000       ,-0.049      ,15.69000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.670         ,5.670         ,0.040         ,0.042         
09:38:21.378205     ,0.000       ,0.880       ,0.000       ,15.710      ,15.710      ,15.739      ,-0.029      ,500.000     ,1.000          ,16.016      ,-0.032      ,-1.684      ,0.035       ,880.000     ,0.000       ,-0.029      ,15.71000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.035         ,0.041         
09:38:21.384171     ,0.000       ,0.880       ,0.000       ,15.630      ,15.630      ,15.739      ,-0.109      ,500.000     ,1.000          ,53.528      ,-0.107      ,-4.396      ,0.030       ,880.000     ,0.000       ,-0.109      ,15.63000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.030         ,0.036         
09:38:21.390156     ,0.000       ,0.880       ,0.000       ,15.620      ,15.620      ,15.739      ,-0.119      ,500.000     ,1.000          ,61.185      ,-0.122      ,-4.176      ,0.025       ,880.000     ,0.000       ,-0.119      ,15.62000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.025         ,0.029         
09:38:21.401769     ,0.000       ,0.880       ,0.000       ,15.650      ,15.650      ,15.739      ,-0.059      ,500.000     ,1.000          ,31.051      ,-0.062      ,-0.574      ,0.015       ,880.000     ,0.000       ,-0.059      ,15.68000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.015         ,0.022         
09:38:21.402265     ,0.000       ,0.880       ,0.000       ,15.670      ,15.670      ,15.739      ,-0.069      ,500.000     ,1.000          ,34.375      ,-0.069      ,-0.773      ,0.010       ,880.000     ,0.000       ,-0.069      ,15.67000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.010         ,0.022         
09:38:21.402308     ,0.000       ,0.880       ,0.000       ,15.670      ,15.670      ,15.739      ,-0.069      ,500.000     ,1.000          ,34.375      ,-0.069      ,-0.773      ,0.010       ,880.000     ,0.000       ,-0.069      ,15.67000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.010         ,0.015         
09:38:21.408276     ,0.000       ,0.880       ,0.000       ,15.680      ,15.680      ,15.739      ,-0.059      ,500.000     ,1.000          ,29.807      ,-0.060      ,-0.300      ,0.005       ,880.000     ,0.000       ,-0.059      ,15.68000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.005         ,0.023         
09:38:21.412280     ,0.000       ,0.880       ,0.000       ,15.740      ,15.740      ,15.739      ,0.001       ,500.000     ,1.000          ,0.588       ,-0.001      ,2.050       ,0.010       ,880.000     ,0.000       ,0.001       ,15.74000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.010         ,0.011         
09:38:21.418404     ,0.000       ,0.880       ,0.000       ,15.780      ,15.780      ,15.739      ,0.041       ,500.000     ,1.000          ,-20.720     ,0.041       ,3.392       ,0.015       ,880.000     ,0.000       ,0.041       ,15.78000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.015         ,0.014         
09:38:21.424382     ,0.000       ,0.880       ,0.000       ,15.800      ,15.800      ,15.739      ,0.061       ,500.000     ,1.000          ,-31.843     ,0.064       ,3.651       ,0.020       ,880.000     ,0.000       ,0.061       ,15.80000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.660         ,5.660         ,0.020         ,0.010         
09:38:21.430382     ,0.000       ,0.880       ,0.000       ,15.790      ,15.790      ,15.739      ,0.051       ,500.000     ,1.000          ,-27.617     ,0.055       ,2.630       ,0.025       ,880.000     ,0.000       ,0.051       ,15.79000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.650         ,5.650         ,0.025         ,0.001         
09:38:21.436413     ,0.000       ,0.880       ,0.000       ,15.830      ,15.830      ,15.739      ,0.091       ,500.000     ,1.000          ,-46.138     ,0.092       ,3.633       ,0.030       ,880.000     ,0.000       ,0.091       ,15.83000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.650         ,5.650         ,0.030         ,0.019         
09:38:21.437256     ,0.000       ,0.880       ,0.000       ,15.850      ,15.850      ,15.739      ,0.111       ,500.000     ,1.000          ,-56.980     ,0.114       ,3.821       ,0.035       ,880.000     ,0.000       ,0.111       ,15.85000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.650         ,5.650         ,0.035         ,0.019         
09:38:21.448209     ,0.000       ,0.880       ,0.000       ,15.750      ,15.750      ,15.739      ,-0.059      ,500.000     ,1.000          ,28.248      ,-0.056      ,-3.528      ,0.035       ,880.000     ,0.000       ,-0.059      ,15.68000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.650         ,5.650         ,0.035         ,0.034         
09:38:21.452128     ,0.000       ,0.880       ,0.000       ,15.690      ,15.690      ,15.739      ,-0.059      ,500.000     ,1.000          ,28.248      ,-0.056      ,-3.528      ,0.035       ,880.000     ,0.000       ,-0.059      ,15.68000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.650         ,5.650         ,0.030         ,0.034         
09:38:21.452255     ,0.000       ,0.880       ,0.000       ,15.690      ,15.690      ,15.739      ,-0.049      ,500.000     ,1.000          ,26.140      ,-0.052      ,-2.701      ,0.030       ,880.000     ,0.000       ,-0.049      ,15.69000      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24935.62305       ,0.00000               ,0.000         ,5.650         ,5.650         ,0.030         ,0.034         
