Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
16:28:06.937068     ,0.000       ,0.900       ,0.000       ,12.630      ,12.588      ,-0.003      ,0.00130       ,17            ,1.494           ,0.000         ,-0.000              ,0.000               ,-2281.955       ,0.00000           ,0.00000               
16:28:06.957108     ,0.000       ,0.900       ,0.000       ,12.720      ,12.588      ,-0.016      ,0.00130       ,17            ,1.494           ,0.000         ,-0.000              ,0.000               ,-2281.955       ,0.00000           ,0.00000               
16:28:06.977074     ,0.000       ,0.900       ,0.000       ,12.740      ,12.588      ,-0.034      ,0.00130       ,17            ,1.494           ,0.000         ,-0.000              ,0.000               ,-2281.955       ,0.00000           ,0.00000               
16:28:06.997068     ,0.000       ,0.900       ,0.000       ,12.710      ,12.588      ,-0.050      ,0.00130       ,17            ,1.494           ,0.000         ,-0.000              ,0.000               ,-2281.955       ,0.00000           ,0.00000               
16:28:07.017080     ,0.000       ,0.900       ,0.000       ,13.060      ,12.588      ,-0.107      ,0.00146       ,19            ,1.670           ,0.000         ,-0.000              ,-0.000              ,-2281.955       ,-0.00767          ,-0.00011              
16:28:07.037054     ,0.000       ,0.900       ,0.000       ,13.380      ,12.588      ,-0.194      ,0.00161       ,21            ,1.846           ,0.000         ,-0.000              ,-0.001              ,-2281.955       ,-0.00767          ,-0.00062              
16:28:07.057081     ,0.000       ,0.900       ,0.000       ,13.810      ,12.588      ,-0.321      ,0.00176       ,23            ,2.021           ,0.000         ,-0.000              ,-0.001              ,-2281.955       ,-0.00767          ,-0.00142              
16:28:07.077075     ,0.000       ,0.900       ,0.000       ,14.240      ,12.588      ,-0.495      ,0.00199       ,26            ,2.285           ,0.000         ,-0.000              ,-0.002              ,-2281.955       ,-0.01150          ,-0.00247              
16:28:07.097122     ,0.000       ,0.900       ,0.000       ,14.540      ,12.588      ,-0.707      ,0.00222       ,29            ,2.549           ,0.000         ,-0.000              ,-0.004              ,-2281.955       ,-0.01151          ,-0.00387              
16:28:07.117116     ,0.000       ,0.900       ,0.000       ,14.650      ,12.588      ,-0.892      ,0.00245       ,32            ,2.812           ,0.000         ,-0.000              ,-0.005              ,-2281.955       ,-0.01151          ,-0.00541              
16:28:07.137053     ,0.000       ,0.900       ,0.000       ,14.670      ,12.588      ,-1.042      ,0.00276       ,36            ,3.164           ,0.000         ,-0.000              ,-0.007              ,-2281.955       ,-0.01534          ,-0.00679              
16:28:07.157056     ,0.000       ,0.900       ,0.000       ,15.100      ,12.588      ,-1.192      ,0.00322       ,42            ,3.691           ,0.000         ,-0.000              ,-0.008              ,-2281.955       ,-0.02300          ,-0.00833              
16:28:07.177073     ,0.000       ,0.900       ,0.000       ,15.550      ,12.588      ,-1.344      ,0.00391       ,51            ,4.482           ,0.400         ,-0.001              ,-0.010              ,-2281.953       ,-0.03451          ,-0.01041              
16:28:07.197080     ,0.000       ,0.900       ,0.000       ,15.790      ,12.588      ,-1.489      ,0.00468       ,61            ,5.361           ,1.000         ,-0.003              ,-0.013              ,-2281.951       ,-0.03838          ,-0.01324              
