Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
11:36:40.844285     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.031      ,-0.05116      ,2147482982    ,301.465         ,-49.000       ,0.171               ,-0.105              ,-4377.197       ,0.00000           ,-0.00000              
11:36:40.864307     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.034      ,-0.05116      ,2147482982    ,301.465         ,-49.000       ,0.171               ,-0.105              ,-4377.213       ,0.00000           ,-0.00000              
11:36:40.884288     ,0.000       ,0.000       ,5.340       ,5.300       ,-0.034      ,-0.05116      ,2147482982    ,301.465         ,-49.000       ,0.171               ,-0.105              ,-4377.229       ,0.00000           ,-0.00000              
11:36:40.904272     ,0.000       ,0.000       ,5.340       ,5.300       ,-0.031      ,-0.05116      ,2147482982    ,301.465         ,-49.000       ,0.171               ,-0.105              ,-4377.246       ,0.00000           ,-0.00000              
11:36:40.924291     ,0.000       ,0.000       ,5.340       ,5.300       ,-0.029      ,-0.05116      ,2147482982    ,301.465         ,-49.000       ,0.171               ,-0.105              ,-4377.262       ,0.00000           ,-0.00000              
11:36:40.944285     ,0.000       ,0.000       ,5.340       ,5.300       ,-0.027      ,-0.05116      ,2147482982    ,301.465         ,-49.000       ,0.171               ,-0.105              ,-4377.276       ,0.00000           ,-0.00000              
11:36:40.964288     ,0.000       ,0.000       ,5.340       ,5.300       ,-0.024      ,-0.05116      ,2147482982    ,301.465         ,-48.000       ,0.168               ,-0.105              ,-4377.292       ,0.00000           ,-0.00000              
11:36:40.984291     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.024      ,-0.05116      ,2147482982    ,301.465         ,-48.000       ,0.168               ,-0.105              ,-4377.309       ,0.00000           ,-0.00000              
11:36:41.004293     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.027      ,-0.05116      ,2147482982    ,301.465         ,-48.000       ,0.168               ,-0.105              ,-4377.324       ,0.00000           ,-0.00000              
11:36:41.024284     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.029      ,-0.05116      ,2147482982    ,301.465         ,-48.000       ,0.168               ,-0.105              ,-4377.338       ,0.00000           ,-0.00000              
11:36:41.044293     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.031      ,-0.05116      ,2147482982    ,301.465         ,-47.000       ,0.164               ,-0.105              ,-4377.354       ,0.00000           ,-0.00000              
11:36:41.064281     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.034      ,-0.05116      ,2147482982    ,301.465         ,-47.000       ,0.164               ,-0.105              ,-4377.372       ,0.00000           ,-0.00000              
11:36:41.084291     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05116      ,2147482982    ,301.465         ,-48.000       ,0.168               ,-0.105              ,-4377.388       ,0.00000           ,-0.00000              
11:36:41.104308     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05116      ,2147482982    ,301.465         ,-48.000       ,0.168               ,-0.105              ,-4377.405       ,0.00000           ,-0.00000              
11:36:41.124300     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05116      ,2147482982    ,301.465         ,-49.000       ,0.171               ,-0.105              ,-4377.422       ,0.00000           ,-0.00000              
11:36:41.144296     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05116      ,2147482982    ,301.465         ,-49.000       ,0.171               ,-0.105              ,-4377.439       ,0.00000           ,-0.00000              
11:36:41.164303     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-49.000       ,0.171               ,-0.105              ,-4377.455       ,-0.00384          ,-0.00062              
11:36:41.184290     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-49.000       ,0.171               ,-0.106              ,-4377.470       ,0.00000           ,-0.00109              
11:36:41.204290     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-49.000       ,0.171               ,-0.106              ,-4377.487       ,0.00000           ,-0.00109              
11:36:41.224307     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-49.000       ,0.171               ,-0.105              ,-4377.503       ,0.00000           ,-0.00053              
11:36:41.244290     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-49.000       ,0.171               ,-0.105              ,-4377.520       ,0.00000           ,-0.00026              
11:36:41.264284     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-49.000       ,0.171               ,-0.105              ,-4377.536       ,0.00000           ,-0.00013              
11:36:41.284284     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-49.000       ,0.171               ,-0.105              ,-4377.552       ,0.00000           ,-0.00006              
11:36:41.304291     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-49.000       ,0.171               ,-0.105              ,-4377.567       ,0.00000           ,-0.00003              
11:36:41.324291     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-48.000       ,0.168               ,-0.105              ,-4377.583       ,0.00000           ,-0.00002              
11:36:41.344282     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-48.000       ,0.168               ,-0.105              ,-4377.599       ,0.00000           ,-0.00001              
11:36:41.364285     ,0.000       ,0.000       ,5.360       ,5.300       ,-0.035      ,-0.05108      ,2147482983    ,301.553         ,-48.000       ,0.168               ,-0.105              ,-4377.616       ,0.00000           ,-0.00000              
11:36:41.384277     ,0.000       ,0.000       ,5.340       ,5.300       ,-0.034      ,-0.05108      ,2147482983    ,301.553         ,-49.000       ,0.171               ,-0.105              ,-4377.635       ,0.00000           ,-0.00000              
11:36:41.404294     ,0.000       ,0.000       ,5.340       ,5.300       ,-0.031      ,-0.05108      ,2147482983    ,301.553         ,-50.000       ,0.175               ,-0.105              ,-4377.652       ,0.00000           ,-0.00000              
11:36:41.424301     ,0.000       ,0.000       ,5.340       ,5.300       ,-0.029      ,-0.05108      ,2147482983    ,301.553         ,-51.000       ,0.178               ,-0.105              ,-4377.669       ,0.00000           ,-0.00000              
