Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m)   ,EncoderValue  ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
18:44:32.402564     ,0.883       ,0.880       ,19.356      ,14.090      ,14.090      ,14.288      ,-0.158      ,-0.152      ,0.000          ,0.000       ,-2.106      ,0.000       ,-0.043      ,880.000     ,0.000       ,-0.158      ,14.13000      ,2147483557    ,-0.000          ,352.002       ,0.000               ,-0.000              ,0.000           ,25694.35156       ,0.00000               ,-0.000        ,5.230         ,5.230         ,-0.043        ,-0.041        
18:44:32.412335     ,0.883       ,0.880       ,19.356      ,14.140      ,14.140      ,14.288      ,-0.198      ,-0.187      ,0.000          ,0.000       ,-3.715      ,0.000       ,-0.053      ,880.000     ,0.000       ,-0.198      ,14.09000      ,2147483557    ,-0.000          ,352.002       ,0.000               ,-0.000              ,0.000           ,25694.35156       ,0.00000               ,-0.000        ,5.230         ,5.230         ,-0.053        ,-0.053        
18:44:32.422528     ,0.883       ,0.880       ,19.356      ,14.210      ,14.210      ,14.288      ,-0.148      ,-0.143      ,0.000          ,0.000       ,-3.441      ,0.000       ,-0.063      ,880.000     ,0.000       ,-0.148      ,14.14000      ,2147483557    ,-0.000          ,352.002       ,0.000               ,-0.000              ,0.000           ,25694.35156       ,0.00000               ,-0.000        ,5.230         ,5.230         ,-0.063        ,-0.061        
18:44:32.432302     ,0.883       ,0.880       ,19.356      ,14.370      ,14.370      ,14.288      ,-0.078      ,-0.074      ,0.000          ,0.000       ,-2.702      ,0.000       ,-0.073      ,880.000     ,0.000       ,-0.078      ,14.21000      ,2147483557    ,-0.000          ,352.002       ,0.000               ,-0.000              ,0.000           ,25694.35156       ,0.00000               ,-0.000        ,5.230         ,5.230         ,-0.073        ,-0.075        
18:44:32.442527     ,0.883       ,0.880       ,19.356      ,14.430      ,14.430      ,14.288      ,0.082       ,0.081       ,0.000          ,0.000       ,-0.058      ,0.000       ,-0.063      ,880.000     ,0.000       ,0.082       ,14.37000      ,2147483557    ,-0.000          ,352.002       ,0.000               ,-0.000              ,0.000           ,25694.35156       ,0.00000               ,-0.000        ,5.230         ,5.230         ,-0.063        ,-0.065        
18:44:32.452290     ,0.883       ,0.880       ,19.356      ,14.430      ,14.430      ,14.288      ,0.142       ,0.135       ,0.000          ,0.000       ,1.516       ,0.000       ,-0.053      ,880.000     ,0.000       ,0.142       ,14.43000      ,2147483557    ,-0.000          ,352.002       ,0.000               ,-0.000              ,0.000           ,25694.35156       ,0.00000               ,-0.000        ,5.230         ,5.230         ,-0.053        ,-0.053        
18:44:32.462336     ,0.883       ,0.880       ,19.356      ,14.380      ,14.380      ,14.288      ,0.142       ,0.134       ,0.000          ,0.000       ,2.306       ,0.000       ,-0.043      ,880.000     ,0.000       ,0.142       ,14.43000      ,2147483557    ,-0.000          ,352.002       ,0.000               ,-0.000              ,0.000           ,25694.35156       ,0.00000               ,-0.000        ,5.240         ,5.240         ,-0.043        ,-0.043        
18:44:32.483287     ,0.883       ,0.880       ,19.356      ,14.160      ,14.160      ,14.288      ,-0.128      ,-0.124      ,0.000          ,0.000       ,-1.538      ,0.000       ,-0.043      ,880.000     ,0.000       ,-0.128      ,14.16000      ,2147483557    ,-0.000          ,352.002       ,0.000               ,-0.000              ,0.000           ,25694.35156       ,0.00000               ,-0.000        ,5.240         ,5.240         ,-0.043        ,-0.044        
18:44:32.505997     ,0.879       ,0.880       ,19.373      ,14.130      ,14.130      ,14.288      ,-0.158      ,-0.149      ,0.000          ,0.000       ,-2.775      ,0.000       ,-0.053      ,880.000     ,0.000       ,-0.158      ,14.13000      ,2147483557    ,-0.000          ,352.002       ,0.000               ,-0.000              ,0.000           ,25694.35156       ,0.00000               ,-0.000        ,5.220         ,5.220         ,-0.053        ,-0.053        
18:44:32.512541     ,0.879       ,0.880       ,19.373      ,14.280      ,14.280      ,14.288      ,-0.008      ,-0.005      ,0.000          ,0.000       ,-0.690      ,0.000       ,-0.063      ,880.000     ,0.000       ,-0.008      ,14.28000      ,2147483557    ,-0.000          ,352.002       ,0.000               ,-0.000              ,0.000           ,25694.35156       ,0.00000               ,-0.000        ,5.220         ,5.220         ,-0.063        ,-0.062        
