Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
09:15:13.300298     ,0.000       ,0.000       ,0.000       ,21.010      ,21.010      ,-0.000      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.320252     ,0.000       ,0.000       ,0.000       ,21.011      ,21.010      ,0.001       ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.340248     ,0.000       ,0.000       ,0.000       ,21.011      ,21.010      ,0.001       ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.360249     ,0.000       ,0.000       ,0.000       ,21.010      ,21.010      ,-0.000      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.380243     ,0.000       ,0.000       ,0.000       ,21.009      ,21.010      ,-0.001      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.400242     ,0.000       ,0.000       ,0.000       ,21.008      ,21.010      ,-0.002      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.420263     ,0.000       ,0.000       ,0.000       ,21.008      ,21.010      ,-0.002      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.440244     ,0.000       ,0.000       ,0.000       ,21.008      ,21.009      ,-0.002      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.460222     ,0.000       ,0.000       ,0.000       ,21.006      ,21.009      ,-0.003      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.480222     ,0.000       ,0.000       ,0.000       ,21.002      ,21.009      ,-0.007      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.500222     ,0.000       ,0.000       ,0.000       ,20.996      ,21.008      ,-0.011      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.520221     ,0.000       ,0.000       ,0.000       ,20.992      ,21.007      ,-0.015      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.540220     ,0.000       ,0.000       ,0.000       ,20.990      ,21.005      ,-0.015      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.560250     ,0.000       ,0.000       ,0.000       ,20.992      ,21.004      ,-0.013      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.580239     ,0.000       ,0.000       ,0.000       ,20.992      ,21.004      ,-0.011      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.600224     ,0.000       ,0.000       ,0.000       ,20.992      ,21.003      ,-0.011      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.620248     ,0.000       ,0.000       ,0.000       ,20.990      ,21.002      ,-0.012      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.640243     ,0.000       ,0.000       ,0.000       ,20.988      ,21.001      ,-0.013      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.660244     ,0.000       ,0.000       ,0.000       ,20.986      ,21.001      ,-0.015      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.680240     ,0.000       ,0.000       ,0.000       ,20.985      ,21.000      ,-0.015      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.700246     ,0.000       ,0.000       ,0.000       ,20.985      ,20.999      ,-0.015      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.720241     ,0.000       ,0.000       ,0.000       ,20.984      ,20.999      ,-0.015      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.740222     ,0.000       ,0.000       ,0.000       ,20.984      ,20.998      ,-0.014      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.760243     ,0.000       ,0.000       ,0.000       ,20.985      ,20.997      ,-0.012      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.780234     ,0.000       ,0.000       ,0.000       ,20.986      ,20.997      ,-0.011      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.800248     ,0.000       ,0.000       ,0.000       ,20.985      ,20.997      ,-0.012      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.820223     ,0.000       ,0.000       ,0.000       ,20.984      ,20.997      ,-0.013      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.840241     ,0.000       ,0.000       ,0.000       ,20.983      ,20.997      ,-0.014      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.860222     ,0.000       ,0.000       ,0.000       ,20.982      ,20.997      ,-0.015      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.880231     ,0.000       ,0.000       ,0.000       ,20.982      ,20.997      ,-0.015      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.900241     ,0.000       ,0.000       ,0.000       ,20.984      ,20.997      ,-0.013      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.920239     ,0.000       ,0.000       ,0.000       ,20.986      ,20.997      ,-0.011      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
09:15:13.940248     ,0.000       ,0.000       ,0.000       ,20.986      ,20.997      ,-0.011      ,0.000       ,0.000       ,0.00000       ,404           ,35.508          ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               
