Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
16:35:40.929176     ,0.051       ,0.052       ,0.934       ,20.860      ,20.859      ,20.815      ,0.044       ,0.079       ,0.004       ,0.01887       ,2147474702    ,293.730         ,150.800       ,-0.526              ,-0.000              ,1285.606        ,0.00000           ,-0.00000              
16:35:40.949829     ,0.051       ,0.052       ,0.934       ,20.860      ,20.856      ,20.815      ,0.041       ,0.081       ,0.004       ,0.01887       ,2147474702    ,293.730         ,150.200       ,-0.524              ,-0.000              ,1285.656        ,0.00000           ,-0.00000              
16:35:40.970493     ,0.051       ,0.052       ,0.951       ,20.840      ,20.845      ,20.815      ,0.031       ,0.082       ,0.005       ,0.01887       ,2147474702    ,293.730         ,149.600       ,-0.522              ,-0.000              ,1285.707        ,0.00000           ,-0.00000              
16:35:40.991134     ,0.051       ,0.052       ,0.951       ,20.840      ,20.849      ,20.815      ,0.034       ,0.081       ,0.005       ,0.01887       ,2147474702    ,293.730         ,149.600       ,-0.522              ,-0.000              ,1285.757        ,0.00000           ,-0.00000              
16:35:41.011720     ,0.051       ,0.052       ,0.951       ,20.840      ,20.840      ,20.815      ,0.026       ,0.079       ,0.005       ,0.01887       ,2147474702    ,293.730         ,150.000       ,-0.524              ,0.000               ,1285.807        ,0.00000           ,0.00000               
16:35:41.032540     ,0.051       ,0.052       ,0.951       ,20.850      ,20.843      ,20.815      ,0.029       ,0.077       ,0.006       ,0.01887       ,2147474702    ,293.730         ,149.800       ,-0.523              ,0.000               ,1285.852        ,0.00000           ,0.00000               
16:35:41.054287     ,0.051       ,0.053       ,0.934       ,20.850      ,20.845      ,20.815      ,0.030       ,0.074       ,0.006       ,0.01887       ,2147474702    ,293.730         ,149.400       ,-0.522              ,0.000               ,1285.907        ,0.00000           ,0.00000               
16:35:41.065288     ,0.051       ,0.053       ,0.934       ,20.840      ,20.844      ,20.815      ,0.030       ,0.074       ,0.007       ,0.01887       ,2147474702    ,293.730         ,149.000       ,-0.520              ,0.000               ,1285.930        ,0.00000           ,0.00000               
16:35:41.085284     ,0.053       ,0.053       ,0.967       ,20.850      ,20.853      ,20.815      ,0.038       ,0.073       ,0.007       ,0.01887       ,2147474702    ,293.730         ,149.000       ,-0.520              ,0.000               ,1285.980        ,0.00000           ,0.00000               
16:35:41.105277     ,0.055       ,0.053       ,0.984       ,20.850      ,20.846      ,20.815      ,0.031       ,0.071       ,0.007       ,0.01887       ,2147474702    ,293.730         ,149.000       ,-0.520              ,0.000               ,1286.029        ,0.00000           ,0.00000               
16:35:41.125307     ,0.055       ,0.053       ,0.984       ,20.850      ,20.848      ,20.815      ,0.033       ,0.070       ,0.008       ,0.01887       ,2147474702    ,293.730         ,149.000       ,-0.520              ,0.000               ,1286.077        ,0.00000           ,0.00000               
16:35:41.145304     ,0.053       ,0.053       ,0.967       ,20.830      ,20.837      ,20.815      ,0.022       ,0.067       ,0.008       ,0.01887       ,2147474702    ,293.730         ,148.600       ,-0.519              ,0.000               ,1286.126        ,0.00000           ,0.00000               
16:35:41.165287     ,0.055       ,0.053       ,0.967       ,20.850      ,20.853      ,20.815      ,0.038       ,0.066       ,0.008       ,0.01887       ,2147474702    ,293.730         ,148.200       ,-0.517              ,0.000               ,1286.176        ,0.00000           ,0.00000               
16:35:41.185276     ,0.055       ,0.054       ,0.967       ,20.860      ,20.849      ,20.815      ,0.034       ,0.067       ,0.009       ,0.01887       ,2147474702    ,293.730         ,148.400       ,-0.518              ,0.000               ,1286.227        ,0.00000           ,0.00000               
16:35:41.205274     ,0.051       ,0.054       ,0.951       ,20.850      ,20.846      ,20.815      ,0.031       ,0.066       ,0.009       ,0.01887       ,2147474702    ,293.730         ,148.800       ,-0.519              ,0.000               ,1286.278        ,0.00000           ,0.00000               
16:35:41.225300     ,0.055       ,0.054       ,0.951       ,20.860      ,20.863      ,20.815      ,0.049       ,0.066       ,0.009       ,0.01887       ,2147474702    ,293.730         ,149.400       ,-0.522              ,0.000               ,1286.353        ,0.00000           ,0.00000               
16:35:41.245277     ,0.055       ,0.054       ,0.984       ,20.840      ,20.845      ,20.815      ,0.031       ,0.065       ,0.010       ,0.01887       ,2147474702    ,293.730         ,149.800       ,-0.523              ,0.000               ,1286.379        ,0.00000           ,0.00000               
16:35:41.265281     ,0.055       ,0.054       ,0.984       ,20.850      ,20.853      ,20.815      ,0.038       ,0.066       ,0.010       ,0.01887       ,2147474702    ,293.730         ,150.400       ,-0.525              ,0.000               ,1286.432        ,0.00000           ,0.00000               
16:35:41.285273     ,0.053       ,0.054       ,0.984       ,20.840      ,20.839      ,20.815      ,0.024       ,0.065       ,0.010       ,0.01887       ,2147474702    ,293.730         ,151.200       ,-0.528              ,0.000               ,1286.509        ,0.00000           ,0.00000               
16:35:41.305270     ,0.053       ,0.054       ,0.967       ,20.860      ,20.855      ,20.815      ,0.041       ,0.067       ,0.011       ,0.01887       ,2147474702    ,293.730         ,152.200       ,-0.531              ,0.000               ,1286.559        ,0.00000           ,0.00000               
16:35:41.325291     ,0.053       ,0.054       ,0.967       ,20.860      ,20.853      ,20.815      ,0.039       ,0.068       ,0.011       ,0.01887       ,2147474702    ,293.730         ,152.400       ,-0.532              ,0.000               ,1286.608        ,0.00000           ,0.00000               
16:35:41.345272     ,0.053       ,0.055       ,0.967       ,20.860      ,20.860      ,20.815      ,0.045       ,0.070       ,0.011       ,0.01887       ,2147474702    ,293.730         ,151.800       ,-0.530              ,0.000               ,1286.636        ,0.00000           ,0.00000               
